model,ext,nodes,edges,time,mem
result0_10000,xmi,10821,20305,1551,67649
result0_100000,xmi,101454,190347,13604,429288
result0_1000000,xmi,1097699,2059555,162270,1792515
result0_50000,xmi,46105,86482,6129,270908
result0_500000,xmi,494124,927265,66150,515701
