model,ext,nodes,edges,time,mem
result0_10000,xmi,10320,10925,1102,45061
result0_100000,xmi,102121,106381,7070,380930
result0_1000000,xmi,924823,924802,64326,3334144
result0_50000,xmi,54074,54073,3941,196608
result0_500000,xmi,488531,489061,35338,1830914
