model,nodes,edges,time,mem
CSS,47,46,38,401
WrspmDomainmodel,10,14,33,357
experiment,5,4,53,346
modembed,203,352,95,1304
xmof,245,431,49,1677
JavaSource,13,22,49,346
bmmOmg,132,358,35,1121
training,20,31,15,382
After,14,22,13,371
SortMerge,10,11,12,364
IdObjectsDsl,34,33,15,387
editor,433,703,71,2590
XUL-Interactorl,97,141,24,741
murdercase,18,23,15,358
MSOfficeExcel_SpreadsheetMLBasicDef,121,197,30,827
ds,126,154,32,820
Spec,58,98,20,419
tigerstripe-core,179,244,36,1086
CoreDsl,182,261,34,1100
ViewPointAD,39,48,18,392
Gatekeeper,172,241,36,1090
TroposIntegratingActorConcept,8,13,11,334
ChooseEditor,87,186,26,786
jobtool,31,41,17,393
designNotes,6,5,12,357
tbool,8,7,14,357
classification,16,18,15,365
storymodel,45,58,18,411
PDL2,23,31,16,382
org.eclipse.emf.cdo.defs,29,39,16,384
Notation,80,98,21,449
GameServerModel,38,72,17,397
RobotTask,52,76,18,413
picu,6,4,14,354
taskmodel,164,250,34,1086
ModelQueryLanguage,11,11,14,371
RFCMapping,72,94,21,715
General,192,218,36,1090
rails,21,30,16,380
wcs100,268,372,68,2347
ServiceFeatureModel,97,127,25,746
GraphML,49,74,18,411
martinfowlerdsl,19,30,23,382
Room,263,438,50,1632
c_sharp,444,810,75,2550
ConditionModel,27,42,15,372
confious.owl,377,779,72,3148
hbmodel,50,53,20,680
SRM,16,21,14,367
graal-featureextensions,4,3,11,346
componentCore,36,45,18,393
ares,31,35,38,386
Contract,10,15,35,357
HaxeDSL,41,57,17,403
org.eclipse.jst.server.generic.servertype,82,98,24,765
rolebinding,16,19,15,367
AbstractUI,5,4,47,345
ddic,133,154,87,1120
diagram,3,2,11,325
GAIA,124,158,27,820
NHSM,9,12,46,357
Xtype,15,15,13,345
esb,215,304,41,1240
MSOfficeExcel_SpreadsheetMLWorkbookProp,1,0,67,346
org.eclipse.emf.cdo.server.defs,55,60,18,409
closures,8,8,12,334
UIML-3.0,11,12,16,684
customer,33,38,16,393
trustMetamodel,35,45,15,386
JKind,78,131,22,762
Enumliterals2,9,9,13,371
ComDiag,14,23,12,371
salesystem,9,12,11,356
tracability,25,43,15,381
environment,96,176,26,801
VDMapping,9,10,13,356
PPTP,40,65,17,396
kompicsComponents,41,65,18,400
PetriNets,14,31,14,371
em,26,25,15,382
MSOfficeExcel_SpreadsheetMLPrintingSetup,514,630,74,2137
fact,75,103,28,1015
opmodel,63,106,22,749
Modulob,55,73,22,726
TefkatTrace,17,22,14,371
ObserverAdvice,5,8,11,356
JavaAbstractSyntax,1,0,15,968
diagnostic,12,13,13,357
gmfgraph_1.26,218,341,41,1564
SimpleGMF,5,5,11,357
TextualWorkbench,217,319,54,1571
Perceptory,1,0,10,324
StructuredText,231,228,36,887
ETPhys,47,60,18,388
rosResolutionModel,36,48,39,397
AsmL,172,329,37,1218
builtins,4,3,12,346
tableur_visitable_aspects,16,27,15,371
ProMarte,336,618,61,2134
tracemodel,79,141,25,739
cp1model,30,41,15,386
symbol,107,172,22,796
expr,12,13,12,371
CPL,91,138,25,748
HelloJvmTypes,13,13,12,371
compose,48,79,19,723
api2mol,45,61,17,397
UMLDI-ModelManagement,26,50,16,382
PCS.owl,1184,2425,281,15584
webproject,27,32,15,351
Genesis,22,32,14,360
UserSpiele,20,21,15,357
lcoordinates,16,18,13,337
miner,26,32,15,374
SimpleUML,12,16,12,363
operations,14,15,18,646
frontend.koan,22,33,13,362
XML,25,36,15,374
HTML,172,241,34,1155
ETMap,19,22,14,357
UMLForOOClassModeling,41,58,17,390
CollaborativeMDEProcess,33,44,15,385
actions,43,61,20,990
AutBE,11,12,12,346
EXPRESSb,531,1066,94,3297
ebnfmm,24,43,15,348
ProofProcess-v1.0.0.11,49,74,18,406
QVT_SimpleUML,29,58,16,374
ASMLogo,120,165,25,729
Collaborations_Interactions_UML,43,97,19,420
component.bpel,9,9,14,347
com.ibm.commerce.subscription.facade.datatypes,75,99,180,14772
SecureUML,1,0,9,316
bpmn,172,259,35,852
RobotMLLibraries,381,476,62,2142
controller,8,8,12,326
RelationsToTraceClass,23,22,15,356
EclipseLaunchConfigurations,135,147,25,543
SonarModelBusPlugin,21,28,14,366
CIM15,4378,7728,736,17157
instance,80,138,62,3354
dependency,24,38,15,416
library_types,1,0,9,214
GeoTrans,1,0,8,234
eJava,40,42,16,409
Class,1,0,8,214
cpc,17,22,14,242
sbvrOMG,272,532,54,2604
RecordMapper,23,27,15,221
Equipment,419,672,83,2819
Physis,15,14,14,200
PrimitiveTypes,15,14,14,212
aspectj,85,138,25,635
ID,8,8,12,239
COBOL,64,86,21,438
Cal,210,354,43,1354
SCADE,443,924,84,2889
QVTOperationalCS,211,276,41,1351
statemachine_metamodel,8,10,12,212
VisualizationModel,19,27,15,228
DTInfo,27,32,14,406
Copy of component.camel,254,314,125,5622
com.ibm.commerce.oagis9.datatypes.codelists,282,281,40,1300
Dc6,28,38,16,387
XMorphLanguage_abstractSyntax,1,0,10,401
it.matiuz.menumaker.model,21,21,15,243
Elf,14,17,15,228
BlockClassBase,12,17,16,582
State,24,36,18,408
XBNFwithCardinality,8,12,14,386
MongoSQL,68,93,22,487
event,84,140,26,614
tp4,50,71,20,440
EqualMM,26,56,17,414
MiniJava,95,170,26,684
modembedmodel,81,136,23,667
SharedPreferencesModel,27,34,15,243
class_diagramm_simple,17,16,14,232
graph,22,30,15,221
ArchitectureDSL,70,105,26,658
UCTE,298,521,69,2345
unifiedflat,385,476,61,2003
rif11a_xsd,425,586,85,2725
Persons,5,6,67,208
Geographical,331,373,52,1078
PL1,46,77,18,447
extractor,14,14,14,409
gbind,268,572,54,1964
TPTPStaticAnalysisUtilities,64,96,31,600
discovery,25,28,16,416
