model,nodes,edges,time,mem
CSS,47,46,42,375
WrspmDomainmodel,10,14,36,318
experiment,5,4,53,317
modembed,203,352,114,1396
xmof,245,431,50,1655
JavaSource,13,22,56,318
bmmOmg,132,358,37,1062
training,20,31,16,335
After,14,22,14,324
SortMerge,10,11,12,318
IdObjectsDsl,34,33,16,337
editor,433,703,75,2508
XUL-Interactorl,97,141,25,704
murdercase,18,23,15,336
MSOfficeExcel_SpreadsheetMLBasicDef,121,197,30,1024
ds,126,154,33,1009
Spec,58,98,20,645
tigerstripe-core,179,244,37,1085
CoreDsl,182,261,35,1080
ViewPointAD,39,48,17,364
Gatekeeper,172,241,36,1062
TroposIntegratingActorConcept,8,13,11,318
ChooseEditor,87,186,27,712
jobtool,31,41,17,363
designNotes,6,5,11,317
tbool,8,7,13,317
classification,16,18,13,328
storymodel,45,58,19,364
PDL2,23,31,15,328
org.eclipse.emf.cdo.defs,29,39,17,335
Notation,80,98,22,395
GameServerModel,38,72,16,346
RobotTask,52,76,18,645
picu,6,4,12,317
taskmodel,164,250,35,1062
ModelQueryLanguage,11,11,14,318
RFCMapping,72,94,22,666
General,192,218,37,1075
rails,21,30,14,327
wcs100,268,372,69,2487
ServiceFeatureModel,97,127,24,701
GraphML,49,74,18,364
martinfowlerdsl,19,30,15,324
Room,263,438,49,1683
c_sharp,444,810,73,2517
ConditionModel,27,42,15,346
confious.owl,377,779,72,3146
hbmodel,50,53,20,653
SRM,16,21,15,327
graal-featureextensions,4,3,12,318
componentCore,36,45,17,365
ares,31,35,39,336
Contract,10,15,35,318
HaxeDSL,41,57,17,363
org.eclipse.jst.server.generic.servertype,82,98,24,676
rolebinding,16,19,14,335
AbstractUI,5,4,47,315
ddic,133,154,88,1001
diagram,3,2,12,318
GAIA,124,158,26,736
NHSM,9,12,48,317
Xtype,15,15,15,336
esb,215,304,42,1401
MSOfficeExcel_SpreadsheetMLWorkbookProp,1,0,68,307
org.eclipse.emf.cdo.server.defs,55,60,19,372
closures,8,8,12,318
UIML-3.0,11,12,16,607
customer,33,38,17,339
trustMetamodel,35,45,17,349
JKind,78,131,22,684
Enumliterals2,9,9,12,318
ComDiag,14,23,14,317
salesystem,9,12,13,318
tracability,25,43,16,355
environment,96,176,27,719
VDMapping,9,10,12,317
PPTP,40,65,17,363
kompicsComponents,41,65,17,365
PetriNets,14,31,14,336
em,26,25,14,337
MSOfficeExcel_SpreadsheetMLPrintingSetup,514,630,75,1960
fact,75,103,27,939
opmodel,63,106,23,663
Modulob,55,73,21,647
TefkatTrace,17,22,14,336
ObserverAdvice,5,8,13,317
JavaAbstractSyntax,1,0,14,853
diagnostic,12,13,13,317
gmfgraph_1.26,218,341,43,1397
SimpleGMF,5,5,12,318
TextualWorkbench,217,319,55,1614
Perceptory,1,0,10,308
StructuredText,231,228,38,836
ETPhys,47,60,19,375
rosResolutionModel,36,48,17,364
AsmL,172,329,38,1388
builtins,4,3,12,317
tableur_visitable_aspects,16,27,15,327
ProMarte,336,618,61,2208
tracemodel,79,141,24,694
cp1model,30,41,15,345
symbol,107,172,28,986
expr,12,13,14,317
CPL,91,138,24,694
HelloJvmTypes,13,13,13,333
compose,48,79,19,637
api2mol,45,61,16,388
UMLDI-ModelManagement,26,50,16,355
PCS.owl,1184,2425,295,2104
webproject,27,32,15,335
Genesis,22,32,15,358
UserSpiele,20,21,15,345
lcoordinates,16,18,14,356
miner,26,32,15,352
SimpleUML,12,16,14,356
operations,14,15,18,629
frontend.koan,22,33,14,359
XML,25,36,15,352
HTML,172,241,35,1143
ETMap,19,22,14,346
UMLForOOClassModeling,41,58,18,384
CollaborativeMDEProcess,33,44,17,379
actions,43,61,20,966
AutBE,11,12,13,339
EXPRESSb,531,1066,94,3358
ebnfmm,24,43,15,348
ProofProcess-v1.0.0.11,49,74,19,391
QVT_SimpleUML,29,58,16,372
ASMLogo,120,165,26,749
Collaborations_Interactions_UML,43,97,24,398
component.bpel,9,9,13,339
com.ibm.commerce.subscription.facade.datatypes,75,99,182,14756
SecureUML,1,0,10,317
bpmn,172,259,37,1089
RobotMLLibraries,381,476,56,2126
controller,8,8,12,329
RelationsToTraceClass,23,22,17,353
EclipseLaunchConfigurations,135,147,25,529
SonarModelBusPlugin,21,28,14,341
CIM15,4378,7728,727,18269
instance,80,138,63,3195
dependency,24,38,16,267
library_types,1,0,10,226
GeoTrans,1,0,9,207
eJava,40,42,17,373
Class,1,0,9,194
cpc,17,22,13,195
sbvrOMG,272,532,158,2531
RecordMapper,23,27,15,338
Equipment,419,672,84,2860
Physis,15,14,13,195
PrimitiveTypes,15,14,12,202
aspectj,85,138,23,702
ID,8,8,12,194
COBOL,64,86,20,525
Cal,210,354,42,1269
SCADE,443,924,84,2949
QVTOperationalCS,211,276,40,1285
statemachine_metamodel,8,10,12,194
VisualizationModel,19,27,14,210
DTInfo,27,32,16,336
Copy of component.camel,254,314,121,5698
com.ibm.commerce.oagis9.datatypes.codelists,282,281,42,1326
Dc6,28,38,15,356
XMorphLanguage_abstractSyntax,1,0,11,333
it.matiuz.menumaker.model,21,21,14,205
Elf,14,17,14,190
BlockClassBase,12,17,15,484
State,24,36,16,365
XBNFwithCardinality,8,12,14,333
MongoSQL,68,93,21,546
event,84,140,23,568
tp4,50,71,20,396
EqualMM,26,56,17,498
MiniJava,95,170,26,736
modembedmodel,81,136,23,561
SharedPreferencesModel,27,34,15,362
class_diagramm_simple,17,16,14,197
