model,nodes,edges,time,mem
CSS,47,46,37,355
WrspmDomainmodel,10,14,35,298
experiment,5,4,53,538
modembed,203,352,102,1396
xmof,245,431,49,1630
JavaSource,13,22,51,305
bmmOmg,132,358,36,1013
training,20,31,14,317
After,14,22,13,306
SortMerge,10,11,14,296
IdObjectsDsl,34,33,16,344
editor,433,703,74,2486
XUL-Interactorl,97,141,24,657
murdercase,18,23,14,331
MSOfficeExcel_SpreadsheetMLBasicDef,121,197,30,957
ds,126,154,32,952
Spec,58,98,20,621
tigerstripe-core,179,244,36,1024
CoreDsl,182,261,35,1024
ViewPointAD,39,48,18,355
Gatekeeper,172,241,36,1024
TroposIntegratingActorConcept,8,13,11,306
ChooseEditor,87,186,25,663
jobtool,31,41,16,320
designNotes,6,5,10,283
tbool,8,7,12,306
classification,16,18,13,308
storymodel,45,58,17,357
PDL2,23,31,14,306
org.eclipse.emf.cdo.defs,29,39,31,328
Notation,80,98,24,391
GameServerModel,38,72,17,593
RobotTask,52,76,25,621
picu,6,4,12,296
taskmodel,164,250,36,1016
ModelQueryLanguage,11,11,13,296
RFCMapping,72,94,21,632
General,192,218,36,1021
rails,21,30,13,320
wcs100,268,372,68,2401
ServiceFeatureModel,97,127,23,657
GraphML,49,74,17,622
martinfowlerdsl,19,30,14,308
Room,263,438,49,1678
c_sharp,444,810,74,2757
ConditionModel,27,42,16,331
confious.owl,377,779,74,3096
hbmodel,50,53,20,606
SRM,16,21,15,308
graal-featureextensions,4,3,11,296
componentCore,36,45,18,332
ares,31,35,40,331
Contract,10,15,37,308
HaxeDSL,41,57,17,328
org.eclipse.jst.server.generic.servertype,82,98,26,645
rolebinding,16,19,15,305
AbstractUI,5,4,49,296
ddic,133,154,91,952
diagram,3,2,9,296
GAIA,124,158,25,727
NHSM,9,12,49,308
Xtype,15,15,13,308
esb,215,304,42,1347
MSOfficeExcel_SpreadsheetMLWorkbookProp,1,0,71,283
org.eclipse.emf.cdo.server.defs,55,60,17,365
closures,8,8,12,312
UIML-3.0,11,12,16,561
customer,33,38,14,344
trustMetamodel,35,45,15,331
JKind,78,131,20,645
Enumliterals2,9,9,11,306
ComDiag,14,23,13,308
salesystem,9,12,10,308
tracability,25,43,21,320
environment,96,176,26,688
VDMapping,9,10,12,308
PPTP,40,65,16,356
kompicsComponents,41,65,17,353
PetriNets,14,31,14,307
em,26,25,14,318
MSOfficeExcel_SpreadsheetMLPrintingSetup,514,630,74,2181
fact,75,103,28,885
opmodel,63,106,22,619
Modulob,55,73,19,620
TefkatTrace,17,22,14,331
ObserverAdvice,5,8,11,296
JavaAbstractSyntax,1,0,14,802
diagnostic,12,13,13,308
gmfgraph_1.26,218,341,42,1424
SimpleGMF,5,5,12,300
TextualWorkbench,217,319,55,1583
Perceptory,1,0,11,296
StructuredText,231,228,36,813
ETPhys,47,60,19,620
rosResolutionModel,36,48,17,327
AsmL,172,329,38,1370
builtins,4,3,10,296
tableur_visitable_aspects,16,27,13,308
ProMarte,336,618,55,2209
tracemodel,79,141,24,645
cp1model,30,41,15,355
symbol,107,172,28,942
expr,12,13,13,308
CPL,91,138,24,655
HelloJvmTypes,13,13,12,308
compose,48,79,19,608
api2mol,45,61,17,343
UMLDI-ModelManagement,26,50,16,320
PCS.owl,1184,2425,292,4368
webproject,27,32,14,318
Genesis,22,32,16,325
UserSpiele,20,21,15,318
lcoordinates,16,18,14,302
miner,26,32,15,329
SimpleUML,12,16,13,306
operations,14,15,19,559
frontend.koan,22,33,14,305
XML,25,36,15,325
HTML,172,241,35,1086
ETMap,19,22,15,326
UMLForOOClassModeling,41,58,17,350
CollaborativeMDEProcess,33,44,16,326
actions,43,61,21,857
AutBE,11,12,13,306
EXPRESSb,531,1066,94,3313
ebnfmm,24,43,16,323
