model,nodes,edges,time,mem
.skriven,22,28,10,274
101companies,15,18,9,254
abapobj,191,213,34,1079
ABase,13,17,6,253
ABC,4,5,49,242
abnf,47,72,10,505
abstractcim,25,40,9,478
AbstractSyntaxStereotypesUML1.4,7,5,8,243
AbstractUI,70,68,12,530
acad,69,68,639,755
accesscontrol,45,70,10,509
accession,11,18,10,664
account,10,10,7,242
accounting,37,60,14,491
ACG,150,264,14,1051
acl,15,16,9,256
ACME,43,73,16,509
ACON,40,57,9,502
acore,31,45,8,274
action,10,10,7,253
actions,43,61,10,902
activestatedebugger,23,30,9,256
ActivitiExtensions,93,106,13,764
activity,13,19,10,256
activityDiagram,35,66,10,495
actor,45,70,82,910
ActorMapping,33,38,10,291
adapter,9,9,10,664
adaptiveSystem,61,102,11,526
AData,36,47,14,288
ada_gen,33,42,9,291
additionalTagMetadata,13,14,8,256
AddressBook,28,44,6,273
addressing,51,68,10,516
ADELFE,41,88,9,509
Adl,125,198,17,809
Ads,177,277,17,1095
After,14,22,6,256
Agate,274,466,20,1833
agents,10,10,15,460
aggregator_0.8.0,109,138,11,778
Agree,285,353,19,1110
AIP,12,14,6,259
AIService,12,19,9,256
AjModel,46,88,11,509
aladim,43,70,12,505
Alf,304,486,20,1856
Altarica,175,308,14,1316
Amble,1,0,22,242
AML,343,445,19,2102
AMN,155,286,18,1067
analysis,11,12,8,253
android,47,78,10,509
Anfelisa,11,16,7,256
annotation,7,7,6,242
annotationModelReference,3,2,5,242
annotations,22,32,9,274
Ant,170,239,13,1060
Antikythera,38,63,8,495
AntScripts,38,63,8,491
AnyLogic,114,148,13,795
APar,27,25,10,270
api2mol,45,61,8,494
apidesc,83,115,19,550
apimodel,70,100,8,542
AppChoco,21,25,8,267
AppDSL,14,23,7,274
ApplauseDsl,126,213,19,810
applet,91,118,12,764
application,152,192,13,1663
AppliedStereotypeProperty,6,6,16,243
appmodel,22,26,7,256
AppWeb,24,27,8,274
apromore,37,58,9,488
ArcadeTongame_editor,30,41,9,274
archi,47,82,9,505
archimate,165,306,15,1380
Architectural_Description,17,30,7,257
architecture,5,4,11,243
ArchitectureDSL,70,105,11,536
arduino,114,167,12,795
ares,31,35,8,285
Arithmetics,34,58,9,291
arm,36,61,13,489
article,80,146,13,760
ASL,294,307,18,971
ASM,1,0,5,447
AsmL,172,329,14,1315
ASMLogo,53,99,19,508
aspectbind,122,205,14,796
aspectj,85,138,10,761
aspectualacme,35,61,11,491
Assert,31,47,11,274
asset,187,268,15,1299
Assignments,14,18,6,274
associationoverride,12,14,8,256
ast,54,76,9,526
aterms,48,54,13,299
AthenaDSL,172,241,15,1079
ATL-0.2,142,318,19,4130
ATL-Profiler,33,41,8,291
