model,nodes,edges,time,mem
CSS,47,46,77,409
WrspmDomainmodel,10,14,35,352
experiment,5,4,49,354
modembed,203,352,96,1235
xmof,245,431,50,1600
JavaSource,13,22,14,349
bmmOmg,132,358,37,1112
training,20,31,16,372
After,14,22,15,354
SortMerge,10,11,15,354
IdObjectsDsl,34,33,18,400
editor,433,703,75,2576
XUL-Interactorl,97,141,25,735
murdercase,18,23,15,371
MSOfficeExcel_SpreadsheetMLBasicDef,121,197,30,826
ds,126,154,33,823
Spec,58,98,20,418
tigerstripe-core,179,244,36,1091
CoreDsl,182,261,35,1095
ViewPointAD,39,48,18,363
Gatekeeper,172,241,36,1092
TroposIntegratingActorConcept,8,13,13,354
ChooseEditor,87,186,27,781
jobtool,31,41,18,397
designNotes,6,5,12,355
tbool,8,7,13,352
classification,16,18,13,371
storymodel,45,58,18,409
PDL2,23,31,16,371
org.eclipse.emf.cdo.defs,29,39,17,390
Notation,80,98,22,442
GameServerModel,38,72,16,390
RobotTask,52,76,18,407
picu,6,4,13,354
taskmodel,164,250,35,1091
ModelQueryLanguage,11,11,13,354
RFCMapping,72,94,22,425
General,192,218,37,1078
rails,21,30,15,369
wcs100,268,372,68,2333
ServiceFeatureModel,97,127,25,731
GraphML,49,74,18,409
martinfowlerdsl,19,30,15,371
Room,263,438,49,1618
c_sharp,444,810,75,2557
ConditionModel,27,42,16,366
confious.owl,377,779,72,3130
hbmodel,50,53,19,691
SRM,16,21,14,364
graal-featureextensions,4,3,12,352
componentCore,36,45,17,400
ares,31,35,72,388
Contract,10,15,35,355
HaxeDSL,41,57,17,398
org.eclipse.jst.server.generic.servertype,82,98,24,757
rolebinding,16,19,16,371
AbstractUI,5,4,46,332
ddic,133,154,87,1134
diagram,3,2,11,355
GAIA,124,158,28,772
NHSM,9,12,13,355
Xtype,15,15,15,372
esb,215,304,41,1236
MSOfficeExcel_SpreadsheetMLWorkbookProp,1,0,67,333
org.eclipse.emf.cdo.server.defs,55,60,18,409
closures,8,8,12,355
UIML-3.0,11,12,17,665
customer,33,38,17,399
trustMetamodel,35,45,16,399
JKind,78,131,23,762
Enumliterals2,9,9,12,354
ComDiag,14,23,15,369
salesystem,9,12,12,354
tracability,25,43,15,379
environment,96,176,30,800
VDMapping,9,10,12,354
PPTP,40,65,18,376
kompicsComponents,41,65,22,399
PetriNets,14,31,14,363
em,26,25,15,371
MSOfficeExcel_SpreadsheetMLPrintingSetup,514,630,76,2144
fact,75,103,30,1006
opmodel,63,106,23,746
Modulob,55,73,22,735
TefkatTrace,17,22,15,364
ObserverAdvice,5,8,13,354
JavaAbstractSyntax,1,0,15,964
diagnostic,12,13,13,355
gmfgraph_1.26,218,341,43,1554
SimpleGMF,5,5,12,333
TextualWorkbench,217,319,55,1574
Perceptory,1,0,10,331
StructuredText,231,228,36,895
ETPhys,47,60,19,409
rosResolutionModel,36,48,17,398
AsmL,172,329,38,1204
builtins,4,3,12,333
tableur_visitable_aspects,16,27,15,361
ProMarte,336,618,60,2124
tracemodel,79,141,32,727
cp1model,30,41,16,381
symbol,107,172,29,801
expr,12,13,14,354
CPL,91,138,25,775
HelloJvmTypes,13,13,13,348
compose,48,79,20,719
api2mol,45,61,18,398
UMLDI-ModelManagement,26,50,17,390
PCS.owl,1184,2425,277,15595
webproject,27,32,14,360
Genesis,22,32,14,360
UserSpiele,20,21,15,355
lcoordinates,16,18,26,362
miner,26,32,15,355
SimpleUML,12,16,21,345
operations,14,15,20,644
frontend.koan,22,33,14,340
XML,25,36,15,373
HTML,172,241,34,1136
ETMap,19,22,16,352
UMLForOOClassModeling,41,58,18,391
CollaborativeMDEProcess,33,44,16,381
actions,43,61,20,988
AutBE,11,12,13,345
EXPRESSb,531,1066,94,3290
ebnfmm,24,43,15,350
ProofProcess-v1.0.0.11,49,74,18,391
QVT_SimpleUML,29,58,16,383
ASMLogo,120,165,25,773
Collaborations_Interactions_UML,43,97,19,389
component.bpel,9,9,13,317
com.ibm.commerce.subscription.facade.datatypes,75,99,178,14762
SecureUML,1,0,9,316
bpmn,172,259,36,860
RobotMLLibraries,381,476,63,2137
controller,8,8,13,333
RelationsToTraceClass,23,22,16,367
EclipseLaunchConfigurations,135,147,25,546
SonarModelBusPlugin,21,28,15,344
CIM15,4378,7728,705,17535
instance,80,138,62,3346
dependency,24,38,16,272
library_types,1,0,8,255
GeoTrans,1,0,9,231
eJava,40,42,17,372
Class,1,0,9,232
cpc,17,22,14,242
sbvrOMG,272,532,53,2602
RecordMapper,23,27,15,221
Equipment,419,672,84,2770
Physis,15,14,12,213
PrimitiveTypes,15,14,13,242
aspectj,85,138,23,642
ID,8,8,12,234
COBOL,64,86,18,461
Cal,210,354,43,1344
SCADE,443,924,83,2881
QVTOperationalCS,211,276,40,1377
statemachine_metamodel,8,10,12,232
VisualizationModel,19,27,14,250
DTInfo,27,32,15,408
Copy of component.camel,254,314,123,5612
com.ibm.commerce.oagis9.datatypes.codelists,282,281,42,1302
Dc6,28,38,15,387
XMorphLanguage_abstractSyntax,1,0,10,400
it.matiuz.menumaker.model,21,21,15,243
Elf,14,17,14,227
BlockClassBase,12,17,16,579
State,24,36,19,408
XBNFwithCardinality,8,12,16,397
MongoSQL,68,93,21,484
event,84,140,23,668
tp4,50,71,20,406
EqualMM,26,56,17,416
MiniJava,95,170,26,703
modembedmodel,81,136,23,668
SharedPreferencesModel,27,34,15,235
class_diagramm_simple,17,16,13,235
graph,22,30,15,235
ArchitectureDSL,70,105,23,659
UCTE,298,521,68,2188
unifiedflat,385,476,61,2006
rif11a_xsd,425,586,83,2701
Persons,5,6,69,241
Geographical,331,373,51,1045
PL1,46,77,19,429
extractor,14,14,16,400
gbind,268,572,55,1921
TPTPStaticAnalysisUtilities,64,96,22,599
discovery,25,28,17,416
newsletter,5,4,11,227
Alf,304,486,54,1977
bpmn20di,34,46,18,399
directory,95,119,24,682
aspectbind,122,205,28,884
SQLXMLQueryModel,223,387,46,1549
ParsedMetadata,22,35,72,372
henshin,85,162,27,676
asset,187,268,42,1313
BibTeX,140,139,29,832
component.common.selector,17,20,19,573
SemanticDB,29,37,16,251
strategy-agent-engine,5,4,11,227
APar,21,20,15,244
FeatureDiagrams,31,56,17,438
FoundationModel,168,221,34,961
Series,4,3,11,224
bpsim,265,358,53,1424
jamopp,390,811,157,5688
SimplifiedJMLModel,11,12,14,212
Sal,71,111,22,472
Clientes,26,30,16,241
olark,8,8,13,225
Assignments,14,18,14,232
EAI,11,15,13,224
sgraph,61,107,238,663
mindEd.ide,61,108,22,598
city2,13,16,13,229
pub_tgt,31,33,16,256
FCM,128,151,28,914
ASM,1,0,66,402
crossx,22,30,14,240
soopl,67,120,21,480
spreadsheet,11,19,14,232
GraphicalProcessEditorModel,20,31,15,255
camel-spring,1584,2633,290,10752
MTRANS,39,75,18,420
writers,16,15,15,233
performance,28,38,16,252
things,49,79,18,442
T6,10,17,13,214
Before,38,69,17,441
lob,6,5,12,217
IFConfiguration,72,118,22,647
extension,5,4,12,217
example,23,42,15,252
UMLDI,3,1,52,740
ServiceDsl,44,75,18,441
policy,44,58,20,446
Resolute,69,116,21,644
emffrag_internal,7,6,13,198
ImperativeOCLCS,68,88,22,644
interpreter,4,3,12,217
MoMM,1,0,9,217
ThreeJsWrapperDescriptionLanguage,45,60,19,445
ProjectTrackerResources,7,7,12,217
Jess,126,236,30,918
CharacterScript,53,74,18,457
zvisclasses,20,22,14,237
rule,24,28,15,232
FractalIdt,9,9,12,217
ObjectNotation,37,54,17,441
android,47,78,20,445
gameserver,8,15,14,213
gmfgraph_1.30,264,390,47,1414
SiSiPNML,7,6,12,198
catalog,26,31,17,232
RelationalDBContent,15,28,15,252
QVTcCST,50,67,20,457
Program,5,5,12,217
pushbuttonbuild,22,25,16,232
EMOF,79,128,23,481
connector-configuration,9,9,13,217
Problem,248,247,38,654
timedAutomata,269,436,50,1638
Promenade,1,0,10,354
knowledge,18,27,16,232
CloudML,63,102,22,481
tableur_modifie,12,20,14,232
spem2,300,521,60,1806
frontend.chain,21,36,16,230
component.clojure,8,8,13,217
GenModel,186,240,37,1084
enactment,15,18,13,236
QVTrCST,72,91,23,646
archimate,165,306,37,1277
WikiTable,20,26,15,370
decobat,94,102,25,674
waqtsalat,36,36,16,245
bluexml,272,391,49,1620
simplemath,23,37,16,230
demo,19,23,16,252
AMN,303,433,50,1288
ABC,4,5,12,198
saltSemantics,15,14,13,232
UEMLExtensionDynamicAspects,55,130,22,635
volere,18,21,14,232
resourcemanager,9,10,13,214
models1,74,100,30,1147
sec,29,41,18,424
typemodel,57,63,20,283
CIMLevelZero,1167,1454,164,6035
FacesConfig,601,907,117,3847
Protocol,3,2,13,203
fsml,8,8,13,208
debug,8,7,13,223
FlatQVT,416,837,143,10450
scl,811,1045,125,4697
sla,25,33,16,224
ExampleEMF,17,28,15,254
Automaton,14,20,15,233
flat11,86,113,27,700
FlowDsl,45,57,19,456
family,18,25,15,254
school,33,63,17,445
TargetPlatform,16,18,15,254
Sharengo,20,33,15,238
LibraryInteractionModel,41,56,19,458
plsql,223,355,42,1349
DslECharts,97,140,22,657
plaModel2,54,83,19,466
sequence_diagram,47,78,19,456
modules,43,48,18,433
syncchartsExtended,3,2,22,218
customerBehaviour,37,54,18,433
EBC,29,28,15,387
ctx,31,54,16,433
etsl,13,21,14,233
LibClasses,11,21,14,233
person,9,9,12,225
CFG,15,28,15,233
Calendar,31,42,17,434
e2,42,56,18,458
JavaBehavior4UML,11,10,23,220
frontend.attribution,30,50,16,266
ir,144,231,33,946
embedded,13,18,14,243
imgpro,106,141,26,708
JavaVMTypes,118,212,32,926
VisualizationDsl,17,24,15,233
sokan,39,50,18,433
CellInit,3,2,12,220
iolist,161,203,36,954
office,10,16,13,232
XWTWorkBench,62,60,20,296
WebApplications_ConceptualModel,54,112,22,468
UnifiedOntologyLanguage,1,0,10,221
XSchema,1,0,10,397
Glsl,160,277,36,1101
process,19,30,16,224
UmlMessage,8,7,12,228
RequirementSourcesConf,3,2,14,220
travel,38,62,18,458
moduleCore,27,33,16,253
cor,13,12,19,412
workspaceModel,7,11,13,220
multichoice,35,44,16,429
mmiEvents,192,279,35,1124
format,9514,12936,1542,42291
PolicyEngine,21,29,15,382
jdsl,48,62,18,440
Amble,1,0,10,212
StateChart,22,31,16,239
OCLStates,24,33,16,235
overview,3,2,12,211
taxonomy-builtin,24,22,15,239
ProofProcess-v1.0.0.10,48,73,23,456
emfacade,121,156,52,1074
config.switchyard,103,141,28,878
parsingmodel,9,13,13,219
pannotation,175,235,36,1077
CPNDefinition,16,23,14,211
adaptiveSystem,61,102,22,484
SimplePDL,21,34,15,239
kevoree2,17,25,15,225
original,14,29,14,225
Images,3,2,11,205
cgmodel,232,376,48,1580
OotDatabase,113,111,27,646
entityrelation,40,66,18,443
WorkDefinitions,23,52,15,412
javaformscodegen,75,72,21,277
lmaintenance,45,44,17,266
gmfmap_2007,139,232,36,1077
webpage,19,21,14,211
petri_nets,10,14,14,221
