model,nodes,edges,time,mem
CSS,47,46,3358,16699
WrspmDomainmodel,10,14,257,950
experiment,5,4,284,965
modembed,203,352,639,1671
xmof,245,431,348,2149
JavaSource,13,22,49,609
bmmOmg,132,358,184,1335
training,20,31,46,525
After,14,22,43,557
SortMerge,10,11,39,640
IdObjectsDsl,34,33,53,678
editor,433,703,303,2822
XUL-Interactorl,97,141,74,975
murdercase,18,23,51,492
MSOfficeExcel_SpreadsheetMLBasicDef,121,197,94,1024
ds,126,154,120,1128
Spec,58,98,49,729
tigerstripe-core,179,244,105,1518
CoreDsl,182,261,104,1157
ViewPointAD,39,48,52,693
Gatekeeper,172,241,109,1216
TroposIntegratingActorConcept,8,13,51,507
ChooseEditor,87,186,73,816
jobtool,31,41,116,661
designNotes,6,5,43,486
tbool,8,7,29,642
classification,16,18,32,492
storymodel,45,58,46,678
PDL2,23,31,39,481
org.eclipse.emf.cdo.defs,29,39,42,771
Notation,80,98,46,717
GameServerModel,38,72,43,838
RobotTask,52,76,43,743
picu,6,4,29,492
taskmodel,164,250,81,1265
ModelQueryLanguage,11,11,31,492
RFCMapping,72,94,52,729
General,192,218,78,1216
rails,21,30,30,622
wcs100,268,372,150,2703
ServiceFeatureModel,97,127,48,914
GraphML,49,74,170,692
martinfowlerdsl,19,30,31,524
Room,263,438,96,1854
c_sharp,444,810,138,2918
ConditionModel,27,42,28,506
confious.owl,377,779,192,3162
hbmodel,50,53,38,623
SRM,16,21,29,485
graal-featureextensions,4,3,185,455
componentCore,36,45,33,677
ares,31,35,34,677
Contract,10,15,26,481
HaxeDSL,41,57,33,657
org.eclipse.jst.server.generic.servertype,82,98,63,903
rolebinding,16,19,36,678
AbstractUI,5,4,28,492
ddic,133,154,171,1121
diagram,3,2,26,492
GAIA,124,158,44,765
NHSM,9,12,29,492
Xtype,15,15,29,492
esb,215,304,69,1394
MSOfficeExcel_SpreadsheetMLWorkbookProp,1,0,198,738
org.eclipse.emf.cdo.server.defs,55,60,33,728
closures,8,8,25,506
UIML-3.0,11,12,31,863
customer,33,38,31,692
trustMetamodel,35,45,30,692
JKind,78,131,38,877
Enumliterals2,9,9,26,480
ComDiag,14,23,26,437
salesystem,9,12,24,486
tracability,25,43,28,455
environment,96,176,42,914
VDMapping,9,10,24,491
PPTP,40,65,30,667
kompicsComponents,41,65,30,658
PetriNets,14,31,26,481
em,26,25,27,492
