model,nodes,edges,time,mem
CSS,47,46,69,341
WrspmDomainmodel,10,14,200,305
experiment,5,4,56,559
modembed,203,352,105,1419
xmof,245,431,50,1638
JavaSource,13,22,14,321
bmmOmg,132,358,37,1021
training,20,31,15,321
After,14,22,14,302
SortMerge,10,11,14,329
IdObjectsDsl,34,33,15,318
editor,433,703,76,2478
XUL-Interactorl,97,141,24,666
murdercase,18,23,14,328
MSOfficeExcel_SpreadsheetMLBasicDef,121,197,29,980
ds,126,154,31,939
Spec,58,98,19,619
tigerstripe-core,179,244,36,1024
CoreDsl,182,261,35,1094
ViewPointAD,39,48,18,337
Gatekeeper,172,241,35,1013
TroposIntegratingActorConcept,8,13,13,293
ChooseEditor,87,186,25,666
jobtool,31,41,16,350
designNotes,6,5,11,314
tbool,8,7,13,305
classification,16,18,15,329
storymodel,45,58,17,337
PDL2,23,31,15,322
org.eclipse.emf.cdo.defs,29,39,16,321
Notation,80,98,22,395
GameServerModel,38,72,16,591
RobotTask,52,76,17,646
picu,6,4,14,328
taskmodel,164,250,35,1018
ModelQueryLanguage,11,11,13,321
RFCMapping,72,94,22,647
General,192,218,36,1088
rails,21,30,15,318
wcs100,268,372,69,2417
ServiceFeatureModel,97,127,25,667
GraphML,49,74,19,603
martinfowlerdsl,19,30,15,346
Room,263,438,49,1638
c_sharp,444,810,73,2754
ConditionModel,27,42,15,321
confious.owl,377,779,72,3103
hbmodel,50,53,20,603
SRM,16,21,14,345
graal-featureextensions,4,3,12,305
componentCore,36,45,80,362
ares,31,35,17,350
Contract,10,15,37,321
HaxeDSL,41,57,18,376
org.eclipse.jst.server.generic.servertype,82,98,20,700
rolebinding,16,19,15,306
AbstractUI,5,4,51,326
ddic,133,154,95,1000
diagram,3,2,11,305
GAIA,124,158,27,692
NHSM,9,12,12,292
Xtype,15,15,14,321
esb,215,304,40,1387
MSOfficeExcel_SpreadsheetMLWorkbookProp,1,0,74,306
org.eclipse.emf.cdo.server.defs,55,60,19,350
closures,8,8,13,305
UIML-3.0,11,12,18,559
customer,33,38,17,337
trustMetamodel,35,45,16,345
JKind,78,131,23,650
Enumliterals2,9,9,13,311
ComDiag,14,23,15,305
salesystem,9,12,12,293
tracability,25,43,15,324
environment,96,176,26,673
VDMapping,9,10,13,292
PPTP,40,65,17,340
kompicsComponents,41,65,18,337
PetriNets,14,31,14,322
em,26,25,15,346
MSOfficeExcel_SpreadsheetMLPrintingSetup,514,630,75,2189
fact,75,103,29,904
opmodel,63,106,23,647
Modulob,55,73,21,606
TefkatTrace,17,22,14,319
ObserverAdvice,5,8,11,289
JavaAbstractSyntax,1,0,15,812
diagnostic,12,13,13,328
gmfgraph_1.26,218,341,42,1434
SimpleGMF,5,5,11,293
TextualWorkbench,217,319,54,1602
Perceptory,1,0,10,290
StructuredText,231,228,37,816
ETPhys,47,60,18,594
rosResolutionModel,36,48,17,363
AsmL,172,329,37,1358
builtins,4,3,12,305
tableur_visitable_aspects,16,27,14,318
ProMarte,336,618,61,2208
tracemodel,79,141,25,650
cp1model,30,41,16,349
symbol,107,172,28,935
expr,12,13,14,318
CPL,91,138,24,697
HelloJvmTypes,13,13,12,319
compose,48,79,20,590
api2mol,45,61,17,350
UMLDI-ModelManagement,26,50,15,325
PCS.owl,1184,2425,299,4327
webproject,27,32,14,318
Genesis,22,32,14,319
UserSpiele,20,21,14,305
lcoordinates,16,18,15,345
miner,26,32,15,349
SimpleUML,12,16,14,344
operations,14,15,19,558
frontend.koan,22,33,13,340
XML,25,36,15,350
HTML,172,241,34,1084
ETMap,19,22,15,305
UMLForOOClassModeling,41,58,17,336
CollaborativeMDEProcess,33,44,16,349
actions,43,61,21,843
AutBE,11,12,12,328
EXPRESSb,531,1066,93,3302
ebnfmm,24,43,15,321
ProofProcess-v1.0.0.11,49,74,19,351
QVT_SimpleUML,29,58,15,349
ASMLogo,120,165,26,677
Collaborations_Interactions_UML,43,97,18,618
component.bpel,9,9,13,328
com.ibm.commerce.subscription.facade.datatypes,75,99,186,5072
SecureUML,1,0,12,309
bpmn,172,259,36,1073
RobotMLLibraries,381,476,63,2048
controller,8,8,12,310
RelationsToTraceClass,23,22,15,325
EclipseLaunchConfigurations,135,147,26,442
SonarModelBusPlugin,21,28,14,325
CIM15,4378,7728,717,22100
instance,80,138,68,3250
dependency,24,38,15,377
library_types,1,0,8,266
GeoTrans,1,0,8,266
eJava,40,42,16,303
Class,1,0,8,254
cpc,17,22,14,279
sbvrOMG,272,532,55,2527
RecordMapper,23,27,15,292
Equipment,419,672,84,2919
Physis,15,14,14,279
PrimitiveTypes,15,14,13,265
aspectj,85,138,23,794
ID,8,8,13,266
COBOL,64,86,21,563
