model,nodes,edges,time,mem
CSS,47,46,63,360
WrspmDomainmodel,10,14,35,313
experiment,5,4,51,314
modembed,203,352,100,1390
xmof,245,431,50,1648
JavaSource,13,22,13,327
bmmOmg,132,358,37,1067
training,20,31,15,337
After,14,22,14,326
SortMerge,10,11,13,313
IdObjectsDsl,34,33,16,339
editor,433,703,75,2505
XUL-Interactorl,97,141,25,695
murdercase,18,23,15,337
MSOfficeExcel_SpreadsheetMLBasicDef,121,197,29,1013
ds,126,154,32,1009
Spec,58,98,20,658
tigerstripe-core,179,244,35,1078
CoreDsl,182,261,35,1077
ViewPointAD,39,48,18,357
Gatekeeper,172,241,36,1066
TroposIntegratingActorConcept,8,13,13,327
ChooseEditor,87,186,26,703
jobtool,31,41,16,347
designNotes,6,5,12,323
tbool,8,7,13,313
classification,16,18,14,327
storymodel,45,58,18,357
PDL2,23,31,14,340
org.eclipse.emf.cdo.defs,29,39,15,347
Notation,80,98,21,399
GameServerModel,38,72,16,360
RobotTask,52,76,17,635
picu,6,4,12,314
taskmodel,164,250,33,1056
ModelQueryLanguage,11,11,12,313
RFCMapping,72,94,21,671
General,192,218,36,1078
rails,21,30,14,324
wcs100,268,372,68,2490
ServiceFeatureModel,97,127,25,708
GraphML,49,74,19,370
martinfowlerdsl,19,30,14,327
Room,263,438,49,1679
c_sharp,444,810,74,2534
ConditionModel,27,42,16,337
confious.owl,377,779,73,3135
hbmodel,50,53,19,640
SRM,16,21,13,323
graal-featureextensions,4,3,12,313
componentCore,36,45,76,362
ares,31,35,17,347
Contract,10,15,36,326
HaxeDSL,41,57,18,357
org.eclipse.jst.server.generic.servertype,82,98,25,684
rolebinding,16,19,16,321
AbstractUI,5,4,50,314
ddic,133,154,91,1007
diagram,3,2,10,300
GAIA,124,158,26,726
NHSM,9,12,12,310
Xtype,15,15,15,336
esb,215,304,41,1390
MSOfficeExcel_SpreadsheetMLWorkbookProp,1,0,77,304
org.eclipse.emf.cdo.server.defs,55,60,18,367
closures,8,8,13,326
UIML-3.0,11,12,16,599
customer,33,38,17,339
trustMetamodel,35,45,17,357
JKind,78,131,23,682
Enumliterals2,9,9,11,311
ComDiag,14,23,13,327
salesystem,9,12,12,311
tracability,25,43,16,350
environment,96,176,26,720
VDMapping,9,10,12,327
PPTP,40,65,17,357
kompicsComponents,41,65,18,363
PetriNets,14,31,13,327
em,26,25,14,340
MSOfficeExcel_SpreadsheetMLPrintingSetup,514,630,75,1970
fact,75,103,28,944
opmodel,63,106,22,662
Modulob,55,73,21,649
TefkatTrace,17,22,14,337
ObserverAdvice,5,8,11,314
JavaAbstractSyntax,1,0,13,842
diagnostic,12,13,13,313
gmfgraph_1.26,218,341,41,1400
SimpleGMF,5,5,12,313
TextualWorkbench,217,319,55,1617
Perceptory,1,0,10,303
StructuredText,231,228,55,846
ETPhys,47,60,19,357
rosResolutionModel,36,48,16,343
AsmL,172,329,37,1389
builtins,4,3,12,322
tableur_visitable_aspects,16,27,15,326
ProMarte,336,618,61,2213
tracemodel,79,141,25,686
cp1model,30,41,16,340
symbol,107,172,29,1001
expr,12,13,13,327
CPL,91,138,23,696
HelloJvmTypes,13,13,13,326
compose,48,79,20,687
api2mol,45,61,18,363
UMLDI-ModelManagement,26,50,17,337
PCS.owl,1184,2425,295,2120
webproject,27,32,15,367
Genesis,22,32,15,350
UserSpiele,20,21,15,344
lcoordinates,16,18,15,345
miner,26,32,15,367
SimpleUML,12,16,14,345
operations,14,15,20,628
frontend.koan,22,33,15,353
XML,25,36,16,367
HTML,172,241,35,1124
ETMap,19,22,15,343
UMLForOOClassModeling,41,58,18,373
CollaborativeMDEProcess,33,44,17,374
actions,43,61,20,957
AutBE,11,12,12,336
EXPRESSb,531,1066,95,3267
ebnfmm,24,43,16,360
ProofProcess-v1.0.0.11,49,74,19,399
QVT_SimpleUML,29,58,15,366
ASMLogo,120,165,26,760
Collaborations_Interactions_UML,43,97,22,397
component.bpel,9,9,13,329
com.ibm.commerce.subscription.facade.datatypes,75,99,180,14771
SecureUML,1,0,8,319
bpmn,172,259,36,1089
RobotMLLibraries,381,476,63,2123
controller,8,8,11,335
RelationsToTraceClass,23,22,15,351
EclipseLaunchConfigurations,135,147,26,477
SonarModelBusPlugin,21,28,13,351
CIM15,4378,7728,713,21229
instance,80,138,59,3225
dependency,24,38,15,324
library_types,1,0,9,290
GeoTrans,1,0,8,287
eJava,40,42,17,335
Class,1,0,8,288
cpc,17,22,14,310
sbvrOMG,272,532,55,2465
RecordMapper,23,27,13,314
Equipment,419,672,84,2906
Physis,15,14,14,301
PrimitiveTypes,15,14,13,306
aspectj,85,138,23,655
ID,8,8,12,301
COBOL,64,86,19,622
Cal,210,354,42,1376
SCADE,443,924,85,2966
QVTOperationalCS,211,276,41,1324
statemachine_metamodel,8,10,12,299
VisualizationModel,19,27,62,310
DTInfo,27,32,15,325
Copy of component.camel,254,314,124,5749
com.ibm.commerce.oagis9.datatypes.codelists,282,281,42,1423
Dc6,28,38,21,329
XMorphLanguage_abstractSyntax,1,0,11,287
it.matiuz.menumaker.model,21,21,15,315
Elf,14,17,14,308
BlockClassBase,12,17,16,520
State,24,36,16,494
XBNFwithCardinality,8,12,15,473
MongoSQL,68,93,21,551
event,84,140,24,578
tp4,50,71,21,528
EqualMM,26,56,17,512
MiniJava,95,170,25,816
modembedmodel,81,136,23,574
SharedPreferencesModel,27,34,15,280
class_diagramm_simple,17,16,13,264
graph,22,30,16,280
ArchitectureDSL,70,105,22,558
UCTE,298,521,68,2207
unifiedflat,385,476,62,1994
rif11a_xsd,425,586,84,2896
Persons,5,6,71,256
Geographical,331,373,51,1096
PL1,46,77,18,531
extractor,14,14,16,481
gbind,268,572,55,1907
TPTPStaticAnalysisUtilities,64,96,21,544
discovery,25,28,16,284
newsletter,5,4,12,250
Alf,304,486,54,1947
bpmn20di,34,46,18,514
directory,95,119,24,588
aspectbind,122,205,29,851
SQLXMLQueryModel,223,387,46,1439
ParsedMetadata,22,35,74,280
henshin,85,162,27,811
asset,187,268,42,1221
BibTeX,140,139,30,860
component.common.selector,17,20,20,710
SemanticDB,29,37,16,286
strategy-agent-engine,5,4,12,256
APar,21,20,16,275
FeatureDiagrams,31,56,18,299
FoundationModel,168,221,35,1095
Series,4,3,12,249
bpsim,265,358,52,1481
jamopp,390,811,157,5794
SimplifiedJMLModel,11,12,13,253
