model,nodes,edges,time,mem
CSS,47,46,125,462
WrspmDomainmodel,10,14,46,380
experiment,5,4,86,393
modembed,203,352,143,1305
xmof,245,431,41,1644
JavaSource,13,22,14,410
bmmOmg,132,358,31,1098
training,20,31,17,447
After,14,22,15,448
SortMerge,10,11,14,390
IdObjectsDsl,34,33,18,449
editor,433,703,85,2639
XUL-Interactorl,97,141,22,772
murdercase,18,23,15,413
MSOfficeExcel_SpreadsheetMLBasicDef,121,197,26,921
ds,126,154,37,859
Spec,58,98,22,433
tigerstripe-core,179,244,39,1081
CoreDsl,182,261,36,1098
ViewPointAD,39,48,19,475
Gatekeeper,172,241,38,1062
TroposIntegratingActorConcept,8,13,14,421
ChooseEditor,87,186,29,844
jobtool,31,41,17,450
designNotes,6,5,14,420
tbool,8,7,15,379
classification,16,18,16,407
storymodel,45,58,21,460
PDL2,23,31,16,411
org.eclipse.emf.cdo.defs,29,39,19,411
Notation,80,98,23,472
GameServerModel,38,72,19,447
RobotTask,52,76,20,475
picu,6,4,16,390
taskmodel,164,250,38,1062
ModelQueryLanguage,11,11,16,422
RFCMapping,72,94,25,773
General,192,218,37,1081
rails,21,30,20,477
wcs100,268,372,61,2377
ServiceFeatureModel,97,127,22,808
GraphML,49,74,17,473
martinfowlerdsl,19,30,17,393
Room,263,438,52,1689
c_sharp,444,810,77,2623
ConditionModel,27,42,17,434
confious.owl,377,779,76,3182
hbmodel,50,53,22,451
SRM,16,21,15,434
graal-featureextensions,4,3,12,379
componentCore,36,45,19,435
ares,31,35,19,424
Contract,10,15,78,410
HaxeDSL,41,57,56,447
org.eclipse.jst.server.generic.servertype,82,98,27,796
rolebinding,16,19,18,447
AbstractUI,5,4,110,433
ddic,133,154,131,1129
diagram,3,2,14,421
GAIA,124,158,29,883
NHSM,9,12,15,407
Xtype,15,15,17,399
esb,215,304,43,1356
MSOfficeExcel_SpreadsheetMLWorkbookProp,1,0,102,399
org.eclipse.emf.cdo.server.defs,55,60,17,433
closures,8,8,15,408
UIML-3.0,11,12,19,703
customer,33,38,19,439
trustMetamodel,35,45,18,458
JKind,78,131,24,846
Enumliterals2,9,9,16,427
ComDiag,14,23,17,414
salesystem,9,12,14,434
tracability,25,43,17,393
environment,96,176,29,824
VDMapping,9,10,15,411
PPTP,40,65,20,424
kompicsComponents,41,65,21,447
PetriNets,14,31,18,416
em,26,25,17,447
MSOfficeExcel_SpreadsheetMLPrintingSetup,514,630,78,2192
fact,75,103,33,1079
opmodel,63,106,25,788
Modulob,55,73,24,783
TefkatTrace,17,22,16,407
ObserverAdvice,5,8,16,399
JavaAbstractSyntax,1,0,16,1024
diagnostic,12,13,14,398
gmfgraph_1.26,218,341,44,1570
SimpleGMF,5,5,13,408
TextualWorkbench,217,319,58,1590
Perceptory,1,0,13,425
StructuredText,231,228,39,986
ETPhys,47,60,21,470
rosResolutionModel,36,48,19,441
AsmL,172,329,41,1255
builtins,4,3,14,420
tableur_visitable_aspects,16,27,17,394
ProMarte,336,618,66,2158
tracemodel,79,141,27,835
cp1model,30,41,20,425
symbol,107,172,31,821
expr,12,13,16,416
CPL,91,138,27,858
HelloJvmTypes,13,13,15,447
compose,48,79,23,765
api2mol,45,61,19,464
UMLDI-ModelManagement,26,50,18,436
PCS.owl,1184,2425,339,15543
webproject,27,32,18,397
Genesis,22,32,17,460
UserSpiele,20,21,18,380
lcoordinates,16,18,16,374
miner,26,32,17,433
SimpleUML,12,16,14,375
operations,14,15,22,705
frontend.koan,22,33,17,427
XML,25,36,19,445
HTML,172,241,38,1200
ETMap,19,22,18,381
UMLForOOClassModeling,41,58,22,432
CollaborativeMDEProcess,33,44,20,404
actions,43,61,23,1002
AutBE,11,12,15,392
EXPRESSb,531,1066,97,3324
ebnfmm,24,43,17,369
ProofProcess-v1.0.0.11,49,74,22,430
QVT_SimpleUML,29,58,19,458
ASMLogo,120,165,28,833
Collaborations_Interactions_UML,43,97,21,430
component.bpel,9,9,16,402
com.ibm.commerce.subscription.facade.datatypes,75,99,187,14827
SecureUML,1,0,12,352
bpmn,172,259,38,892
RobotMLLibraries,381,476,66,2161
controller,8,8,15,379
RelationsToTraceClass,23,22,18,368
EclipseLaunchConfigurations,135,147,29,531
SonarModelBusPlugin,21,28,16,369
CIM15,4378,7728,717,16086
instance,80,138,64,3184
dependency,24,38,18,428
library_types,1,0,11,257
GeoTrans,1,0,12,249
eJava,40,42,20,414
Class,1,0,12,234
cpc,17,22,17,251
sbvrOMG,272,532,40,2577
RecordMapper,23,27,17,398
Equipment,419,672,84,2786
Physis,15,14,116,250
PrimitiveTypes,15,14,16,278
aspectj,85,138,27,803
ID,8,8,15,249
COBOL,64,86,22,574
Cal,210,354,44,1350
SCADE,443,924,85,2874
QVTOperationalCS,211,276,43,1362
statemachine_metamodel,8,10,14,292
VisualizationModel,19,27,18,262
