model,nodes,edges,time,mem
CSS,47,46,82,355
WrspmDomainmodel,10,14,68,321
experiment,5,4,53,572
modembed,203,352,103,1370
xmof,245,431,51,1638
JavaSource,13,22,13,321
bmmOmg,132,358,36,1015
training,20,31,14,345
After,14,22,13,321
SortMerge,10,11,12,344
IdObjectsDsl,34,33,16,343
editor,433,703,74,2463
XUL-Interactorl,97,141,24,677
murdercase,18,23,13,317
MSOfficeExcel_SpreadsheetMLBasicDef,121,197,31,977
ds,126,154,31,983
Spec,58,98,20,618
tigerstripe-core,179,244,36,1024
CoreDsl,182,261,35,1000
ViewPointAD,39,48,17,610
Gatekeeper,172,241,34,1001
TroposIntegratingActorConcept,8,13,11,320
ChooseEditor,87,186,26,679
jobtool,31,41,16,345
designNotes,6,5,11,318
tbool,8,7,12,321
classification,16,18,14,344
storymodel,45,58,17,381
PDL2,23,31,13,343
org.eclipse.emf.cdo.defs,29,39,16,320
Notation,80,98,21,389
GameServerModel,38,72,17,595
RobotTask,52,76,18,618
picu,6,4,13,321
taskmodel,164,250,33,1001
ModelQueryLanguage,11,11,13,320
RFCMapping,72,94,21,616
General,192,218,36,1017
rails,21,30,14,344
wcs100,268,372,68,2529
ServiceFeatureModel,97,127,24,679
GraphML,49,74,18,633
martinfowlerdsl,19,30,13,344
Room,263,438,51,1644
c_sharp,444,810,73,2739
ConditionModel,27,42,15,320
confious.owl,377,779,71,3111
hbmodel,50,53,19,610
SRM,16,21,14,318
graal-featureextensions,4,3,12,321
componentCore,36,45,18,344
ares,31,35,78,320
Contract,10,15,29,320
HaxeDSL,41,57,17,381
org.eclipse.jst.server.generic.servertype,82,98,26,641
rolebinding,16,19,17,320
AbstractUI,5,4,50,344
ddic,133,154,93,983
diagram,3,2,11,320
GAIA,124,158,27,694
NHSM,9,12,13,318
Xtype,15,15,14,317
esb,215,304,42,1353
MSOfficeExcel_SpreadsheetMLWorkbookProp,1,0,73,320
org.eclipse.emf.cdo.server.defs,55,60,19,367
closures,8,8,13,320
UIML-3.0,11,12,16,616
customer,33,38,15,320
trustMetamodel,35,45,17,343
JKind,78,131,22,633
Enumliterals2,9,9,12,306
ComDiag,14,23,13,306
salesystem,9,12,13,326
tracability,25,43,15,329
environment,96,176,27,679
VDMapping,9,10,12,297
PPTP,40,65,17,335
kompicsComponents,41,65,17,381
PetriNets,14,31,14,306
em,26,25,14,306
MSOfficeExcel_SpreadsheetMLPrintingSetup,514,630,77,2198
fact,75,103,29,885
opmodel,63,106,23,618
Modulob,55,73,19,681
TefkatTrace,17,22,14,303
ObserverAdvice,5,8,11,318
JavaAbstractSyntax,1,0,13,787
diagnostic,12,13,13,306
gmfgraph_1.26,218,341,42,1439
SimpleGMF,5,5,13,320
TextualWorkbench,217,319,55,1581
Perceptory,1,0,11,320
StructuredText,231,228,33,806
ETPhys,47,60,19,618
rosResolutionModel,36,48,18,335
AsmL,172,329,37,1347
builtins,4,3,12,280
tableur_visitable_aspects,16,27,14,321
ProMarte,336,618,60,2188
tracemodel,79,141,26,679
cp1model,30,41,15,321
symbol,107,172,28,955
expr,12,13,14,321
CPL,91,138,24,679
HelloJvmTypes,13,13,13,320
compose,48,79,20,595
api2mol,45,61,17,381
UMLDI-ModelManagement,26,50,15,369
PCS.owl,1184,2425,292,4339
webproject,27,32,15,359
Genesis,22,32,15,360
UserSpiele,20,21,14,362
lcoordinates,16,18,14,360
miner,26,32,14,362
SimpleUML,12,16,14,337
operations,14,15,21,609
frontend.koan,22,33,14,337
XML,25,36,14,361
HTML,172,241,35,1076
ETMap,19,22,16,360
UMLForOOClassModeling,41,58,17,365
CollaborativeMDEProcess,33,44,17,387
actions,43,61,20,913
AutBE,11,12,13,337
EXPRESSb,531,1066,93,3322
ebnfmm,24,43,15,329
ProofProcess-v1.0.0.11,49,74,19,380
QVT_SimpleUML,29,58,16,355
ASMLogo,120,165,27,765
Collaborations_Interactions_UML,43,97,19,665
component.bpel,9,9,14,337
com.ibm.commerce.subscription.facade.datatypes,75,99,184,5240
SecureUML,1,0,9,506
bpmn,172,259,35,1073
RobotMLLibraries,381,476,62,2048
controller,8,8,13,318
RelationsToTraceClass,23,22,15,340
EclipseLaunchConfigurations,135,147,25,429
