model,size,nodes,edges,time,mem
BooleanExpressions,45,26,37,0.009,314
bootstrap,87,46,74,0.012,342
Bossa,421,318,510,0.029,1831
bowling,37,21,28,0.01,356
box,81,55,76,0.01,187
BoxMM,53,29,58,0.011,385
bpeldiag,9,5,3,0.01,28
BPM,22,13,18,0.008,36
bpmn,458,107,195,0.017,759
bpmn20,950,491,872,0.041,3376
bpmn20di,261,34,46,0.011,327
bpmn20exec,18,11,12,0.008,62
bpmn20_ttc,1388,633,1146,0.056,-14108
bpmndi,66,35,42,0.014,1546
bpsim,1385,197,291,0.021,1118
BQL,37,23,34,0.01,366
BrnHandlers,1900,361,532,0.032,2110
BrokerDSL,14,260,259,0.023,627
Bugzilla,168,13,11,0.009,42
Build,48,13,12,0.008,331
BuildDSL,26,13,16,0.009,40
builder,117,31,50,0.01,355
building,1749,182,225,0.05,-5527
builtins,117,21,16,0.009,300
BundleProject,156,104,124,0.014,606
business,101,72,136,0.012,650
BusinessDomainDsl,158,91,149,0.014,403
BusinessEntityModel,32,19,36,0.009,308
BusinessObjectDsl,40,22,31,0.009,297
BusinessProcessModel,62,44,87,0.012,350
Byteman,195,126,199,0.024,797
bz377606,17,9,9,0.008,51
C,21,11,18,0.007,295
cache_model,24,19,19,0.008,295
CADM,133,106,210,0.015,697
Cal,374,210,354,0.025,1390
calc,283,51,82,0.012,326
Calendar,41,31,42,0.01,366
caltrop,132,68,97,0.068,1137
camel-spring,12714,1584,2633,0.147,-4146
canopen,7164,958,1314,0.078,-6650
canvas,36,14,20,0.008,73
CaPtah,54,32,51,0.011,43
capua,65,40,78,0.013,294
car,21,13,21,0.009,49
CardTemplate,21,11,13,0.008,28
carnot,3855,499,928,0.05,3738
carrental,39,22,24,0.01,246
Cars,195,22,26,0.008,251
cartesianCoordinateSystem,41,27,41,0.008,249
cascadenotall,111,17,23,0.009,248
catalog,53,26,31,0.007,268
caz,294,28,41,0.013,252
cbe,232,90,110,0.013,596
CD,108,38,61,0.01,251
CDE,28,15,22,0.007,267
cdfg,126,80,136,0.012,531
CDPSM,2917,415,628,0.041,-9648
CellCore,17,13,21,0.009,244
CellEvol,7,3,2,0.007,202
CellInit,7,3,2,0.008,223
CEPMeta,41,23,28,0.009,302
cf,359,45,127,0.015,953
CFG,30,15,28,0.009,253
cgmodel,568,162,307,0.02,1319
CharacterScript,85,65,84,0.01,305
checklist,26,25,25,0.01,177
chess,74,48,64,0.012,317
ChocoModel,77,52,81,0.019,518
ChooseEditor,132,72,172,0.016,512
cim,1526,1167,1454,0.078,-6415
CIM14,16715,3290,5293,0.262,6102
