model,size,nodes,edges,time,mem
Geographical,545,92,135,0.009,510
GeoTrans,27,1,0,0.005,84
germplasm,141,94,156,0.014,1544
GF,338,209,314,0.016,843
Gherkin,71,39,59,0.006,562
GIS_Connectivity,3052,375,573,0.028,2491
GitModel,76,33,51,0.015,3653
globalinfluenzamodel,18,7,6,0.006,5
Glproto,22,10,9,0.006,539
Glsl,228,160,277,0.013,679
glucose,243,68,84,0.009,944
gmfgen,2440,756,1141,0.041,4737
gmfgenext,172,63,76,0.01,560
gmfgraph,513,235,368,0.018,1277
gmfgraph_1.23,454,214,333,0.018,1233
gmfgraph_1.24,459,215,335,0.018,1486
gmfgraph_1.25,461,216,337,0.016,1109
gmfgraph_1.26,465,218,341,0.015,1494
gmfgraph_1.30,479,229,356,0.016,1498
gmfmap,754,155,259,0.015,1019
gmfmap_2007,690,139,232,0.012,987
Golang,17,2321,2319,0.089,4674
GoModel,14,8,7,0.006,45
googleanalytics,11,4,3,0.007,71
gore,277,76,117,0.011,950
gpx,903,126,136,0.013,633
Gra2MoL,225,156,196,0.012,733
graal-featureextensions,11,4,3,0.006,3
graal,143,72,134,0.011,913
gradingsystem,51,29,39,0.007,111
Grafcet,45,1,0,0.004,5
grammar,46,28,43,0.007,327
graph,44,22,30,0.005,584
graphdef,217,111,156,0.011,440
GraphEditor,67,36,50,0.007,584
GraphEditorModel,24,13,19,0.007,44
GraphicalProcessEditorModel,36,20,31,0.006,5
graphics,76,22,34,0.007,452
graphiti,365,171,269,0.017,-30629
GraphML,73,49,74,0.009,127
graphO,27,16,21,0.007,32
graphTransformation,106,56,108,0.009,924
GraphViewMapping,40,23,38,0.007,34
GraphViewStyle,24,12,12,0.007,31
GraphVizDot,71,45,64,0.007,461
Greetings,17,9,13,0.005,6
groundspeak,539,72,83,0.008,460
GSML,54,31,44,0.005,69
gsn,38,19,29,0.006,547
gsz,348,28,45,0.007,69
GUI,140,101,128,0.012,889
GuiceModules,31,15,19,0.007,70
GUIdancerComponentHierarchy,130,15,25,0.006,346
Guixdsl,16,9,11,0.006,7
GWPNV1,28,12,27,0.006,547
GWPNV2,29,22,53,0.006,93
GWPNV3,41,19,44,0.006,29
GWPNV4,48,20,45,0.006,314
GWPNV5,54,23,52,0.008,608
GXL,24,11,16,0.005,31
Hadoop,92,39,45,0.007,67
HAL,190,1,0,0.004,349
harmonica,44,25,32,0.007,515
HaxeDSL,65,41,57,0.006,122
hazard,158,61,69,0.006,387
hbauditing,64,25,26,0.007,94
hbmodel,105,50,53,0.009,64
Headline,10,3,2,0.004,0
hedl,271,42,66,0.009,63
Hello,11,5,5,0.005,64
HelloBuck,12,5,5,0.006,0
HelloInferrer,26,12,13,0.006,34
HelloJvmTypes,19,9,10,0.005,3
HelloScoping,24,12,16,0.005,98
HelloXbase,16,7,7,0.005,8
henshin,306,85,162,0.009,637
henshinlayout,44,21,24,0.007,34
hExample_1_RHS,12,5,5,0.005,69
hExample_3_RHS,10,4,3,0.005,515
hExample_4_LHS,10,4,3,0.005,34
hExample_4_RHS,9,3,2,0.006,5
hExample_6_LHS,26,13,17,0.006,34
hexfile,24,12,13,0.007,386
HierarchicalSignalFlow,42,1,0,0.005,37
HierarchicalStateMachine,83,60,131,0.01,573
highway,116,170,186,0.012,257
hipadaba,153,30,35,0.006,316
hivpredrt,193,36,41,0.005,29
Hm,2515,359,435,0.025,1980
hockeyleague,107,78,99,0.01,734
HOOPL,33,17,25,0.006,0
house,73,44,70,0.007,358
HPROF,94,72,102,0.009,608
HSM,36,11,16,0.006,64
HTML,322,217,285,0.015,793
HTTP,27,14,18,0.009,772
HybridAutomata,20,87,84,0.009,608
IAC,37,21,27,0.006,29
iaca,109,61,96,0.007,418
IAFlowGraph,31,12,14,0.008,512
iasted.owl,940,831,1703,0.064,-21394
ICM,159,73,105,0.012,66
ID,17,8,8,0.005,6
idbag,29,4,3,0.006,35
idc,402,224,392,0.016,1323
identifiable,13,4,3,0.006,34
identification,35,16,25,0.008,144
idl,125,70,127,0.011,568
IDLMM,148,98,146,0.01,640
IdObjectsDsl,66,34,33,0.008,97
IEEE1471ConceptualModel,67,1,0,0.005,5
IEEE1471ViewpointM2,44,34,62,0.007,578
ifc2x3,6566,4487,6350,0.214,7807
ifc2x3tc1,6805,4497,6369,0.205,9670
IFC2X3_TC1,6672,3351,5223,0.184,-16672
IFC2X4_RC3,8449,5117,7391,0.262,4745
IFConfiguration,117,72,118,0.019,434
IFML,254,124,214,0.014,836
ifStatement,42,25,35,0.007,86
Images,9,3,2,0.005,5
imgpro,187,106,141,0.009,817
imml,106,63,89,0.01,258
imperativeocl,152,81,107,0.01,768
ImperativeOCLCS,139,68,88,0.008,449
implementation,121,18,20,0.008,354
ImpModLang,47,27,45,0.007,85
import,21,11,11,0.005,156
IMSTransactionMessage,47,1,0,0.005,363
in2,9,6,3,0.006,20
IncQueryXcore,18,8,8,0.006,70
indexer,21,12,14,0.007,236
infosystem,216,163,162,0.011,525
inheritancemapping,206,32,38,0.006,65
Initialization,23,11,13,0.006,349
inject,33,3,3,0.004,15
input,11,5,4,0.005,16
inputMetamodel,14,7,7,0.005,425
instance,148,98,155,0.016,3162
InstanceModel,38,21,38,0.007,365
Instances,22,11,11,0.005,15
instantiation,35,26,39,0.005,551
instantiationRecipe,14,6,6,0.006,15
Insurance,20,19,19,0.008,402
IntegrationOfOCL_ExpressionsInUML,36,42,58,0.007,371
Intent,52,37,47,0.006,80
interaction,85,40,73,0.008,382
InteriorPlanningLang,101,86,105,0.009,467
InternalSM,91,55,77,0.008,335
interpreter,10,4,3,0.006,347
inventory,97,54,100,0.008,450
IOI,34,20,27,0.006,21
iolist,303,161,203,0.014,971
iplog,409,60,70,0.011,-19917
Iptables,72,45,58,0.008,427
ir,236,144,231,0.011,619
IRL,168,118,251,0.011,997
IsabelleProofProcess-v1.0.0.10,80,32,38,0.007,441
IsabelleProofProcess,80,32,38,0.007,8
it.matiuz.menumaker.model,31,21,21,0.005,502
itemlist,21,12,16,0.006,28
Izpack,131,272,286,0.015,698
J2SE5,320,238,463,0.018,1713
jamopp,1506,376,798,0.031,5605
Java-20040316,42,27,54,0.007,41
Java,1229,373,794,0.033,4934
JAVA3,52,37,74,0.006,463
java5,537,297,574,0.024,1854
JavaAbstractSyntax,635,1,0,0.006,555
JavaBehavior4UML,26,11,10,0.006,78
javaforms,17,3,2,0.005,0
javaformscodegen,11,2,1,0.005,402
JavaFXAntTask,207,139,166,0.014,-21309
javalogtrace,10,3,2,0.004,6
JavaProject,45,31,49,0.006,454
javaproperties,17,8,8,0.005,5
JavaSource,25,13,22,0.007,393
JavaTypes,43,4,3,0.006,28
JavaVMTypes,341,118,212,0.011,1033
javaz,82,58,78,0.008,463
java_templates,173,85,84,0.008,497
jaxrpcmap,266,87,107,0.01,631
jBPM5Extensions,203,26,28,0.006,438
jca,349,80,98,0.01,679
jdsl,69,48,62,0.008,439
jdt,34,11,11,0.005,26
JDTAST,802,92,140,0.009,1216
jedihelp,19,26,26,0.006,403
JenaRules,71,41,63,0.006,435
Jess,169,126,236,0.012,572
jex,123,60,94,0.009,496
JKind,123,129,181,0.012,464
Jnario,47,24,34,0.007,365
joblet,15,7,7,0.006,409
jobtool,61,31,41,0.006,82
JourneyModel,102,88,95,0.009,434
jpa-mixed,141,15,16,0.009,71
JPas,96,60,86,0.008,437
jpdl32,2587,347,491,0.023,2090
js,21,11,14,0.006,23
jsflibraryregistry,88,24,31,0.005,184
jsm,264,142,281,0.012,681
json,33,19,26,0.006,436
jsp,72,15,16,0.005,23
jtemplates,10,5,3,0.005,0
junit,52,21,33,0.006,200
Junitresult,86,48,60,0.008,438
JWTMetaModel,201,124,218,0.011,951
kaom,31,27,40,0.007,438
Kappa,103,61,89,0.011,96
Karel,91,57,81,0.007,461
KarteikastenSystem,125,40,58,0.007,419
kdm-09-05-23,1174,671,1232,0.035,-17143
kdm-modisco,1316,683,1264,0.035,3766
KDM,883,671,1232,0.036,4084
KDMSimplified,72,48,98,0.01,120
kermeta,1287,278,543,0.023,2179
kermeta_java,1065,197,378,0.016,1433
kernel,241,44,87,0.007,454
kevoree.adaptation,23,11,14,0.007,30
kevoree.context,51,30,43,0.009,412
kevoree,284,146,243,0.013,628
kevoree2,35,17,25,0.006,33
kexpressions,283,89,122,0.01,528
klaper,84,91,144,0.009,516
klayoutdata,138,25,28,0.008,166
KM3,64,43,89,0.009,442
KML,235,1,0,0.005,523
Knapsack,25,16,18,0.006,451
KnowitallService,11,4,3,0.005,2
knowledge,30,18,27,0.005,31
KobrA2Meta,53,41,61,0.007,459
kompicsComponents,87,41,65,0.008,558
kompose,43,24,28,0.007,2
kompren,76,38,47,0.007,480
kpi,63,33,36,0.007,485
krendering,192,122,183,0.012,536
KSecurityModel,41,21,27,0.008,-21393
l2,433,63,62,0.022,6530
L3,26,7,6,0.006,5
lambdacalculus,32,83,92,0.008,501
landuse,266,18,18,0.028,10134
language,743,109,210,0.013,1090
LanguagePreferences,21,10,13,0.005,5
LaTeX,168,82,105,0.011,502
launching,36,11,10,0.005,37
layer,15,6,7,0.005,7
layout,22,10,12,0.007,428
layouts,66,23,27,0.007,53
lcoordinates,114,16,18,0.006,403
Ldb,13,5,5,0.007,3
leaguetable,71,13,14,0.005,243
Leveleditor,322,238,295,0.017,-22871
Lexer,44,29,34,0.008,69
LF,180,101,100,0.01,529
lib,37,20,29,0.008,494
LibClasses,15,11,21,0.006,31
library,26,13,16,0.006,68
library.orig,74,21,33,0.006,329
library07,35,18,26,0.006,69
LibraryInteractionModel,76,41,56,0.008,69
library_eve,31,17,25,0.006,31
library_karl,40,22,38,0.006,480
library_types,6,1,0,0.003,6
lifecycle,37,20,35,0.006,494
lims,61,34,61,0.007,68
linkagemap,49,25,42,0.008,841
linuxnetconf,74,47,73,0.007,520
List,12,6,7,0.007,3
Listtools,61,39,47,0.008,562
LLVM_IR,669,397,654,0.023,2328
lmaintenance,101,16,16,0.005,255
loadcurve,109,15,16,0.006,38
lob,48,6,5,0.007,459
location,55,42,65,0.008,494
log,90,75,98,0.008,515
logicsemantic,42,24,44,0.008,25
lqn,131,7,5,0.007,491
LTL,422,7,10,0.006,426
LudoModel,47,25,48,0.007,63
LuniferaDocGrammar,76,41,54,0.008,535
lwc11,19,8,10,0.006,28
M,118,81,158,0.01,558
M2mDsl,52,28,35,0.007,489
M2TWeaving,82,91,93,0.01,122
Macro,54,34,43,0.007,482
magicCollection,44,30,42,0.006,466
magicDB,118,87,116,0.009,555
majordomo,165,96,184,0.009,573
Make,39,23,34,0.006,459
manifest,393,93,120,0.01,565
Mantis,78,66,91,0.024,521
map,44,24,39,0.008,478
MapDsl,26,14,17,0.007,464
Mapper,71,47,57,0.009,492
mapping,59,37,48,0.008,496
MappingModel,13,7,7,0.006,31
markup,69,33,51,0.013,494
Marte,2150,869,1095,0.044,-16844
martinfowlerdsl,36,19,30,0.007,74
match,57,30,38,0.007,71
math,43,6,5,0.006,190
Mathematica,33,20,28,0.007,74
Matlab,264,1,0,0.005,421
Maude,157,113,207,0.013,653
maven-metadata,164,18,20,0.008,463
MavenMaven,234,189,276,0.016,1078
MavenProject,55,42,49,0.009,518
mdata,118,43,47,0.007,63
MDD,350,199,317,0.016,1496
Measure,60,40,65,0.008,74
mediator,889,573,670,0.028,3009
MediatorAdvice,17,5,6,0.007,128
menus,24,14,16,0.006,421
message-meta,30,18,19,0.007,71
Message,153,22,25,0.007,28
MessageMeta,36,24,26,0.005,48
meta,69,18,16,0.007,448
metaabm,421,248,459,0.018,1337
metaCompo,73,44,72,0.008,333
metadata,100,19,24,0.007,485
metadataTraitTypes,48,10,9,0.006,28
METAH,74,52,66,0.009,470
metamodel,41,26,34,0.008,71
metamodel@runtime,197,108,187,0.011,557
metaphor,49,28,39,0.006,73
MetaWebModel,132,81,106,0.011,485
metric,13,7,7,0.005,69
Metrics,41,1,0,0.005,399
MGraph,29,163,177,0.012,597
MICRO.owl,991,876,1796,0.067,-13801
Migration,42,30,48,0.009,173
MigrationExecutionContext,19,9,8,0.004,488
MIME,46,14,18,0.008,424
mind,244,133,237,0.017,710
mindEd.ide,174,61,108,0.008,467
mindmap,63,26,31,0.007,492
miner,40,26,32,0.009,73
MiniJava,172,90,166,0.01,527
MiniJavaMetaModel,105,63,99,0.009,76
MiningMart,243,1,0,0.006,417
MiningMart_SimplifiedMetamodel,26,21,43,0.006,500
MiningMart_ViewCaseRepresentation,104,1,0,0.006,5
MiningMart_ViewDataRepresentation,138,12,24,0.006,432
MiniScript,118,72,113,0.01,613
min_uml1,69,38,69,0.007,73
min_uml2,37,23,37,0.008,428
MIPSimulator,97,48,47,0.007,450
Mitra,553,280,451,0.018,1309
mlhim2,3376,334,567,0.023,2503
mm-app.fel,95,50,71,0.008,457
mm-db.fel,237,77,154,0.01,520
mmiEvents,454,192,279,0.014,1072
MModelURIMap,16,30,29,0.008,67
MoC,23,14,19,0.007,455
MoDAF-AV,153,1,0,0.005,37
ModelFragment,26,21,21,0.006,2
modelica,208,126,200,0.011,601
modellog,146,133,169,0.011,591
modelo,31,12,10,0.006,67
ModelQueryLanguage,26,11,11,0.006,0
models,7845,361,494,0.053,-511
models1,105,74,100,0.011,-25143
models2,685,463,666,0.03,2559
modembed,388,205,353,0.018,1252
modembedmodel,146,81,136,0.008,604
modifications,29,11,13,0.007,62
modified_spreadsheet,30,12,20,0.005,591
moduleCore,47,95,99,0.009,149
ModuleElementTypes,21,11,12,0.006,389
modulemap,19,10,11,0.006,62
modules,125,46,50,0.008,62
Modulob,91,55,73,0.009,95
ModulobBehaviour,21,10,10,0.006,520
ModulobSystem,57,28,43,0.009,471
ModulobTypes,25,13,18,0.006,32
molic,31,20,31,0.006,554
moml-simplified,484,62,82,0.008,405
moml,1554,187,286,0.014,1250
MoMM,35,1,0,0.006,488
mondial,34,20,25,0.009,53
MongoBeans,41,25,31,0.009,230
mongodb,92,53,79,0.008,545
MongoSQL,107,68,93,0.008,83
MonitorProgram,86,78,131,0.01,146
MovieDB,12,7,6,0.005,389
mprolog,62,31,49,0.009,57
mprologTermReference,71,37,61,0.008,572
mrdata,169,95,141,0.011,422
MSOfficeExcel_SpreadsheetMLBasicDef,153,121,197,0.012,681
MSOfficeExcel_SpreadsheetMLPrintingSetup,341,293,410,0.019,1537
MSOfficeExcel_SpreadsheetMLSimplified,79,1,0,0.006,496
MSOfficeExcel_SpreadsheetMLStyles,518,449,627,0.029,1877
MSOfficeExcel_SpreadsheetMLWorkbookProp,201,1,0,0.005,2
MSOfficeExcel_SpreadsheetMLWorksheetOpt,281,242,331,0.017,1285
MSOfficeWord_WordprocessingMLBasicDef,208,164,290,0.015,1342
MSOfficeWord_WordprocessingMLSimplified,97,1,0,0.005,6
MSOfficeWord_WordprocessingMLStyles,404,338,607,0.021,2189
MSOfficeWord_WordprocessingMLTableElts,253,198,373,0.016,1049
mspdi,6957,1324,1429,0.058,6507
MSProject,5511,468,511,0.029,3205
MSProject2,48,1,0,0.006,6
MSVisio_DatadiagramMLBasicDef,291,224,436,0.017,1585
MSVisio_DatadiagramMLSimplified,187,138,273,0.019,1015
MSVisio_DatadiagramMLTextFormat,376,300,594,0.023,1708
MSVisio_DatadiagramMLXForm,413,334,653,0.023,2015
mt,154,77,123,0.011,525
MTRANS,54,41,76,0.007,493
mule-ide,155,19,22,0.007,71
mule,3332,450,585,0.03,2536
mulemodel,116,69,106,0.01,523
multichoice,60,35,44,0.008,533
MultiRobotSystem,111,48,66,0.008,33
murdercase,34,18,23,0.007,504
music,150,34,39,0.006,65
mvcmetamodel,120,80,110,0.01,470
Mwe2,63,36,57,0.008,487
My,8,2,1,0.006,34
MyBlatt01,45,25,41,0.007,-23473
MyDsl,32,18,23,0.006,45
MyModel,10,3,2,0.005,5
MySQL,40,1,0,0.004,446
n3_turtle,84,52,87,0.008,523
namespace,82,11,11,0.007,37
NanoStructure,75,51,61,0.007,202
NavaScript,87,65,89,0.01,470
nbs,81,56,74,0.008,119
ncx,695,127,171,0.012,550
nebula,74,16,15,0.008,404
NetDSL,254,140,139,0.011,816
NetModel,139,88,138,0.011,501
network,34,29,36,0.006,76
netxstudio,132,58,56,0.01,1027
newcar,19,11,17,0.006,431
newmm,37,18,34,0.006,35
News,50,35,45,0.008,128
newsletter,14,5,4,0.006,72
nexus,74,42,58,0.008,40
ngp,90,55,89,0.008,459
NHSM,19,9,12,0.006,76
nima,164,87,116,0.01,499
noark,2277,336,418,0.026,2211
Node,10,4,3,0.005,0
nodes,10,4,4,0.006,0
NormInstance,23,12,13,0.006,424
Notation,58,32,51,0.008,75
notes,35,20,33,0.007,439
novafrigor,111,83,97,0.009,508
NQC,211,128,207,0.013,646
nuopc,506,97,143,0.01,534
ObjectDsl,37,32,38,0.007,66
ObjectNotation,59,37,54,0.006,438
objectrepository,57,12,13,0.006,46
objects,10,4,3,0.006,440
ObserverAdvice,22,5,8,0.006,34
OCCAM,83,59,112,0.009,470
ocf,44,10,11,0.007,43
OCL,1900,130,216,0.015,1214
OCLCST,324,163,277,0.015,1075
OCLEcore,405,62,97,0.009,858
OCLinEcoreCST,11,5,4,0.006,2
OCLStates,70,24,33,0.009,75
oclstdlib,7,1,0,0.004,398
OCLUML,371,59,93,0.008,552
OCL_Expressions,52,36,76,0.007,469
OCL_Operations,55,33,69,0.008,77
OCL_Types,40,25,53,0.007,434
OCL_Values,59,35,67,0.007,465
Octave,51,26,25,0.006,72
odeDeploymentDescriptor,427,67,84,0.01,-24252
odemcustom,570,319,605,0.023,2362
ODP-CV,119,90,220,0.012,738
ODP-EV,139,112,283,0.012,1056
ODP-IV,65,47,114,0.009,460
ODP-NV,105,79,186,0.009,600
ODP-TV,17,11,22,0.006,5
ofbiz,256,140,294,0.017,1016
office,21,10,16,0.006,395
office2,48,15,16,0.008,82
OfficeDL,16,6,5,0.005,414
Ogml,2526,385,536,0.024,2224
OL2CLMap,35,21,32,0.007,429
olark,16,8,8,0.007,5
olcinversion,19,7,6,0.006,48
old_epn,810,142,259,0.013,1002
omadmsimulation,108,50,63,0.008,77
omega,16,6,5,0.005,424
omppCDOServer,16,11,10,0.007,78
ontology,24,12,18,0.007,411
OO,20,15,16,0.007,82
OotDatabase,111,62,61,0.007,520
OO_concept,64,78,108,0.009,119
OO_concept_initial,63,38,69,0.008,506
opa,266,49,66,0.009,487
OpenAir,223,147,209,0.011,604
OpenCL,58,34,55,0.007,470
OpencmsDSLdiagram,129,43,68,0.008,112
OpenConf.owl,1188,1051,2154,0.08,-10783
OpenModelicaAbstactSyntax,879,492,806,0.028,2713
openome_model,239,132,233,0.014,636
OpenQVT,61,43,86,0.008,514
opensocial-1.0,808,125,150,0.011,874
OperA,413,221,365,0.017,1204
operation,52,21,28,0.007,265
operations,26,14,15,0.007,510
opf,498,302,311,0.017,810
OPF31,290,161,180,0.014,1065
opm,129,65,108,0.009,511
opmeta,34,15,16,0.007,41
opmodel,172,63,106,0.009,477
oppositeModel,104,65,114,0.009,546
OpServiceModel,41,26,33,0.006,79
order,16,7,6,0.007,299
org.angriff.eva.core.model,72,45,55,0.006,544
org.cylio.project.domain.editor,47,32,37,0.006,35
org.eclipse.component.api,339,166,173,0.017,625
org.eclipse.component,316,35,45,0.007,70
org.eclipse.component.use,95,13,14,0.005,2
org.eclipse.datatools.connectivity.oda.design,2267,273,360,0.019,1827
org.eclipse.emf.cdo.defs,53,29,39,0.007,330
org.eclipse.emf.cdo.server.db.defs,27,16,17,0.005,38
org.eclipse.emf.cdo.server.defs,39,22,28,0.006,38
org.eclipse.emf.cdo.server.net4j.defs,15,6,6,0.007,0
org.eclipse.emf.cdo.ui.defs,16,6,6,0.006,462
org.eclipse.gmf.codegen.jar_models.gmfgen,2280,718,1080,0.04,-19433
org.eclipse.gmf.graphdef.jar_models.gmfgraph,541,257,394,0.017,1488
org.eclipse.gmf.tooldef.jar_models.tooldef,143,72,108,0.008,488
org.eclipse.jst.server.generic.servertype,579,82,98,0.008,538
org.eclipse.mylyn.reviews.frame.core.model,76,38,60,0.008,471
org.eclipse.mylyn.reviews.r4e.restypes,16,139,138,0.01,632
org.eclipse.net4j.db.defs,29,17,19,0.007,48
org.eclipse.net4j.defs,56,32,45,0.006,407
org.eclipse.net4j.util.defs,49,26,40,0.005,78
org.eclipse.wst.ws.internal.model.v10.registry,141,20,24,0.006,430
org.eclipse.wst.ws.internal.model.v10.rtindex,140,19,23,0.01,475
org.eclipse.wst.ws.internal.model.v10.taxonomy,167,24,30,0.008,484
org.eclipse.wst.ws.internal.model.v10.uddiregistry,133,18,20,0.007,428
Organization,43,23,36,0.009,580
OrganizationDsl,69,45,62,0.008,471
org_stageconfig,28,14,18,0.008,78
orig.OCLEcore,392,59,93,0.009,865
original,30,14,29,0.005,73
OriginalMetaModel,107,59,90,0.009,197
orm,807,456,741,0.028,2341
OseeDsl,227,154,227,0.012,606
osm,449,57,67,0.008,116
OurPartialIFC,56,31,53,0.007,392
outputter,239,37,44,0.007,495
overview,10,3,2,0.006,6
OWL,164,111,178,0.013,365
owl2,369,291,381,0.019,1190
owls,132,85,144,0.009,511
oxm,331,234,346,0.019,-22487
P4Dsl,23,22,31,0.007,80
pacad,274,63,96,0.009,563
packager,88,24,29,0.006,469
pagemeta,349,124,140,0.012,1047
pages,40,23,38,0.006,41
palette,56,29,34,0.008,459
pamodel,284,103,123,0.011,727
pannotation,466,175,235,0.015,1086
Paper,119,42,88,0.008,458
paperdyne.owl,1269,1126,2321,0.065,14641
papyrustableinstance,36,7,6,0.006,6
par,13,5,5,0.005,5
parallelj,90,52,86,0.009,351
parameter,28,13,20,0.007,485
parametercheck,50,27,41,0.007,48
Parameters,15,1,0,0.004,391
ParsedMetadata,47,22,35,0.006,18
parser,332,37,42,0.008,499
parsingmodel,17,9,13,0.007,0
PartialStateDescription,122,66,123,0.009,498
parts,13,41,38,0.008,119
Pascal,59,42,94,0.009,525
PathExp,23,1,0,0.005,78
PCS.owl,1331,1184,2425,0.071,15451
PdcSpecIO,105,72,98,0.009,516
PDG,28,42,45,0.007,490
PDL1,27,18,24,0.006,5
PDL2,38,23,31,0.007,83
People,51,13,18,0.005,5
People1,34,11,16,0.005,42
Perceptory,106,1,0,0.003,455
performance,51,35,44,0.006,524
PerformanceModel,127,48,61,0.007,37
persistence,91,18,20,0.013,1974
person,15,9,9,0.007,5
person2,25,6,5,0.005,417
Persons,13,5,6,0.005,73
petri,43,29,31,0.005,461
PetriNet,45,13,18,0.006,35
petrinet2,20,10,13,0.006,0
PetrinetDsl,58,31,30,0.007,495
PetriNetModel,30,14,19,0.006,0
PetriNets,54,14,31,0.005,504
petrinet_extendable,35,20,30,0.006,34
PetriNet_extended,62,41,92,0.007,488
petrinet_tgg_rule,34,13,12,0.011,15
petri_nets,21,10,14,0.01,-24466
PF31,567,157,183,0.025,643
pgadmin,20,15,16,0.008,479
phenomenon,20,4,3,0.008,2
phenotype,13,7,7,0.009,444
Physis,31,15,14,0.008,72
picmodel,42,21,27,0.006,453
pico,85,48,76,0.008,104
picu,9,4,3,0.007,5
PIF,17,15,27,0.007,511
PIM,26,17,20,0.007,5
pipenet,27,14,22,0.007,74
Pipes,47,26,36,0.008,434
pl0,127,122,164,0.01,623
pl0extended,20,8,9,0.007,43
PL1,66,46,77,0.018,506
plaModel2,90,54,83,0.01,505
plan,243,27,31,0.008,30
planetlab,80,42,47,0.009,476
planrouge,88,53,70,0.009,488
platform,42,24,32,0.007,71
play,443,56,69,0.01,539
PLM,1135,151,196,0.012,1056
plsql,373,223,355,0.018,1608
PluginEclipse,83,53,87,0.009,71
pml,86,47,70,0.008,538
PN2SCTrace,12,6,6,0.007,0
PNML_basic,173,133,266,0.014,626
PNML_modular,218,170,358,0.016,725
PNML_simplified,50,32,69,0.009,467
PNML_structured,188,145,299,0.013,889
PointcutModel,37,15,24,0.006,0
policy,359,47,59,0.008,110
PolicyEngine,38,21,29,0.006,473
pom,2262,238,297,0.019,1791
Pop,53,297,315,0.017,757
postprocessing,33,42,49,0.008,511
powrmart,7565,1155,1493,0.057,-17456
PP,236,143,258,0.016,1257
PPTP,77,40,65,0.008,69
PragmaCPNDefinition,52,20,32,0.007,396
predefinedobjects,340,168,167,0.012,1051
predicate,57,29,52,0.008,437
predicates,142,39,58,0.008,42
predicatesconf,10,3,2,0.005,478
Preferences,15,6,6,0.005,5
primer,21,40,40,0.008,69
Primitives,83,42,63,0.007,473
PrimitiveTypes,27,15,14,0.005,35
Prim_pkg2,232,183,208,0.014,1045
probekit,765,96,122,0.012,526
Problem,20,10,10,0.006,468
Problems,28,13,13,0.006,5
process,31,17,29,0.006,64
processor,176,104,138,0.01,517
ProcessorDsl,593,378,504,0.022,1694
processors,120,50,58,0.009,96
profile,72,9,9,0.006,416
profiler,31,14,20,0.005,32
Program,13,5,5,0.006,0
project-model,67,45,57,0.007,496
Project,988,704,1141,0.034,4545
ProjectProofProcess-v1.0.0,19,77,76,0.009,534
ProjectProofProcess,19,9,9,0.006,33
ProjectTrackerResources,15,91,90,0.01,124
Projet,58,35,53,0.008,473
prolog,13,5,5,0.005,25
Prom,448,63,77,0.008,97
ProMarte,441,336,618,0.027,-21108
Promenade,61,1,0,0.006,173
ProofProcess-v1.0.0.10,90,48,73,0.007,489
ProofProcess-v1.0.0.11,92,49,74,0.008,447
ProofProcess-v1.0.0,87,47,71,0.007,86
ProofProcess,88,47,70,0.007,449
ProofProcessLog-v1.0.0.11,15,8,9,0.006,46
ProofProcessLog,15,8,9,0.006,413
Properties,254,133,209,0.014,644
propertiesEditor,49,27,38,0.008,451
PropertiesRoot,12,4,3,0.005,39
property,14,6,5,0.008,387
PropositionalTerm,29,15,25,0.007,417
propsheet,17,7,7,0.025,5
protein,60,37,65,0.01,1014
ProteusLibraries,738,311,383,0.021,1336
Protocol,7,3,2,0.006,374
Providers,12,9,11,0.005,37
PRR,135,100,211,0.012,517
psf,80,24,28,0.006,131
ptnetLoLA,93,49,75,0.008,452
PtolemyII,56,1,0,0.004,410
Publication,94,58,85,0.01,610
pub_src,32,17,19,0.007,37
pub_tgt,37,19,22,0.009,446
PureXbase,11,4,3,0.005,0
pushbuttonbuild,165,22,25,0.007,129
pylon,114,74,86,0.01,488
q4bpmn,44,29,33,0.007,411
q7dsl,111,77,103,0.009,571
QA,59,34,52,0.007,74
QL,117,109,141,0.01,610
QoS,86,30,28,0.007,137
QoS_Characteristic,43,27,40,0.008,448
QoS_Profile,34,1,0,0.004,40
QoS_Statement,28,14,23,0.005,402
qsar,597,91,108,0.011,663
Query,20,10,8,0.007,413
QueryDsl,26,14,17,0.008,5
QuickEditTabSections,24,9,10,0.005,43
quizz,52,28,34,0.008,77
QVT,531,16,21,0.007,610
QVTBase,89,33,56,0.008,42
QVTcCST,104,50,67,0.007,485
QVTCore,65,34,62,0.009,895
QVTcoreBaseCST,77,50,63,0.007,646
QVTcoreCST,21,8,9,0.005,2
QVTCST,25,11,13,0.005,37
qvtoperational,143,136,174,0.014,-21920
QVTOperationalCS,432,211,276,0.015,1099
QVTOperationalCST,472,233,317,0.016,1101
QVTrCST,152,72,91,0.009,477
QVTRelation,59,29,39,0.011,543
QVTrelationCST,126,67,94,0.009,506
qvttemplate,33,16,21,0.007,444
QVT_SimpleRDBMS,37,24,56,0.007,79
QVT_SimpleUML,37,23,53,0.008,220
R2ML,478,346,575,0.022,2116
r4e.design.rules,45,30,34,0.008,79
rad,49,158,172,0.012,560
radar,206,20,19,0.007,42
Radl,118,78,122,0.012,480
rails,35,21,30,0.007,474
rails_extendable,42,26,40,0.007,6
rails_tgg_rule,41,16,15,0.008,450
RandL,1763,116,204,0.013,1601
rascalhistory,11,4,4,0.006,37
rascalmetric,32,12,15,0.005,406
