model,nodes,edges,time,mem
CSS,47,46,110,357
WrspmDomainmodel,10,14,38,333
experiment,5,4,62,332
modembed,203,352,112,1414
xmof,245,431,51,1648
JavaSource,13,22,15,332
bmmOmg,132,358,36,1081
training,20,31,15,334
After,14,22,14,339
SortMerge,10,11,13,336
IdObjectsDsl,34,33,17,360
editor,433,703,76,2498
XUL-Interactorl,97,141,25,711
murdercase,18,23,15,335
MSOfficeExcel_SpreadsheetMLBasicDef,121,197,30,1024
ds,126,154,32,1010
Spec,58,98,20,671
tigerstripe-core,179,244,36,1081
CoreDsl,182,261,35,1076
ViewPointAD,39,48,17,360
Gatekeeper,172,241,35,1076
TroposIntegratingActorConcept,8,13,12,334
ChooseEditor,87,186,26,741
jobtool,31,41,17,361
designNotes,6,5,12,335
tbool,8,7,12,333
classification,16,18,14,331
storymodel,45,58,17,359
PDL2,23,31,15,331
org.eclipse.emf.cdo.defs,29,39,16,359
Notation,80,98,22,414
GameServerModel,38,72,17,359
RobotTask,52,76,17,666
picu,6,4,14,337
taskmodel,164,250,35,1076
ModelQueryLanguage,11,11,15,335
RFCMapping,72,94,23,689
General,192,218,37,1082
rails,21,30,15,336
wcs100,268,372,70,2513
ServiceFeatureModel,97,127,25,725
GraphML,49,74,20,360
martinfowlerdsl,19,30,14,334
Room,263,438,50,1692
c_sharp,444,810,75,2521
ConditionModel,27,42,16,360
confious.owl,377,779,72,3148
hbmodel,50,53,20,660
SRM,16,21,13,335
graal-featureextensions,4,3,11,334
componentCore,36,45,18,360
ares,31,35,89,360
Contract,10,15,41,332
HaxeDSL,41,57,19,359
org.eclipse.jst.server.generic.servertype,82,98,26,689
rolebinding,16,19,17,334
AbstractUI,5,4,59,338
ddic,133,154,113,1012
diagram,3,2,13,335
GAIA,124,158,28,736
NHSM,9,12,14,310
Xtype,15,15,15,335
esb,215,304,43,1386
MSOfficeExcel_SpreadsheetMLWorkbookProp,1,0,86,334
org.eclipse.emf.cdo.server.defs,55,60,20,393
closures,8,8,12,336
UIML-3.0,11,12,17,608
customer,33,38,18,362
trustMetamodel,35,45,17,357
JKind,78,131,24,686
Enumliterals2,9,9,14,335
ComDiag,14,23,14,336
salesystem,9,12,13,334
tracability,25,43,16,359
environment,96,176,27,738
VDMapping,9,10,14,332
PPTP,40,65,18,357
kompicsComponents,41,65,19,387
PetriNets,14,31,15,331
em,26,25,16,331
MSOfficeExcel_SpreadsheetMLPrintingSetup,514,630,78,1971
fact,75,103,30,965
opmodel,63,106,23,686
Modulob,55,73,23,661
TefkatTrace,17,22,16,331
ObserverAdvice,5,8,13,334
JavaAbstractSyntax,1,0,16,883
diagnostic,12,13,13,335
gmfgraph_1.26,218,341,44,1408
SimpleGMF,5,5,12,336
TextualWorkbench,217,319,53,1458
Perceptory,1,0,354,335
StructuredText,231,228,37,852
ETPhys,47,60,20,359
rosResolutionModel,36,48,16,362
AsmL,172,329,42,1383
builtins,4,3,13,335
tableur_visitable_aspects,16,27,15,333
ProMarte,336,618,61,2199
tracemodel,79,141,26,711
cp1model,30,41,17,359
symbol,107,172,29,985
expr,12,13,14,334
CPL,91,138,25,711
HelloJvmTypes,13,13,15,339
compose,48,79,20,664
api2mol,45,61,18,362
UMLDI-ModelManagement,26,50,17,359
PCS.owl,1184,2425,292,2060
webproject,27,32,16,361
Genesis,22,32,15,345
UserSpiele,20,21,16,361
lcoordinates,16,18,16,354
miner,26,32,16,362
SimpleUML,12,16,12,353
operations,14,15,20,645
frontend.koan,22,33,15,343
XML,25,36,15,352
HTML,172,241,35,1115
ETMap,19,22,15,355
UMLForOOClassModeling,41,58,16,379
CollaborativeMDEProcess,33,44,17,387
actions,43,61,21,961
AutBE,11,12,13,344
EXPRESSb,531,1066,97,3258
ebnfmm,24,43,15,362
ProofProcess-v1.0.0.11,49,74,20,405
QVT_SimpleUML,29,58,17,388
ASMLogo,120,165,28,772
Collaborations_Interactions_UML,43,97,19,390
component.bpel,9,9,13,335
com.ibm.commerce.subscription.facade.datatypes,75,99,184,14778
SecureUML,1,0,11,328
bpmn,172,259,37,1092
RobotMLLibraries,381,476,63,2121
controller,8,8,12,334
RelationsToTraceClass,23,22,17,362
EclipseLaunchConfigurations,135,147,26,481
SonarModelBusPlugin,21,28,15,339
CIM15,4378,7728,726,14675
instance,80,138,68,3364
dependency,24,38,16,420
library_types,1,0,10,238
GeoTrans,1,0,9,238
eJava,40,42,18,379
Class,1,0,9,236
cpc,17,22,15,235
sbvrOMG,272,532,55,2539
RecordMapper,23,27,15,376
Equipment,419,672,84,2842
Physis,15,14,14,239
PrimitiveTypes,15,14,14,238
aspectj,85,138,21,751
ID,8,8,12,239
COBOL,64,86,21,577
Cal,210,354,42,1349
SCADE,443,924,87,2988
QVTOperationalCS,211,276,40,1317
statemachine_metamodel,8,10,12,238
VisualizationModel,19,27,15,239
DTInfo,27,32,16,382
Copy of component.camel,254,314,124,5748
com.ibm.commerce.oagis9.datatypes.codelists,282,281,42,1346
Dc6,28,38,15,386
XMorphLanguage_abstractSyntax,1,0,70,362
it.matiuz.menumaker.model,21,21,15,239
Elf,14,17,13,216
BlockClassBase,12,17,17,508
State,24,36,17,361
XBNFwithCardinality,8,12,15,359
MongoSQL,68,93,21,568
event,84,140,24,617
tp4,50,71,20,422
EqualMM,26,56,17,531
MiniJava,95,170,26,779
modembedmodel,81,136,23,618
SharedPreferencesModel,27,34,15,363
class_diagramm_simple,17,16,13,217
graph,22,30,14,216
ArchitectureDSL,70,105,23,556
UCTE,298,521,69,2169
unifiedflat,385,476,63,1981
rif11a_xsd,425,586,84,2750
Persons,5,6,81,216
Geographical,331,373,51,1118
PL1,46,77,18,386
extractor,14,14,15,362
gbind,268,572,56,1863
TPTPStaticAnalysisUtilities,64,96,22,571
discovery,25,28,16,386
newsletter,5,4,11,216
Alf,304,486,55,1910
bpmn20di,34,46,16,362
directory,95,119,23,576
aspectbind,122,205,30,921
SQLXMLQueryModel,223,387,50,1505
ParsedMetadata,22,35,86,359
henshin,85,162,26,763
asset,187,268,44,1308
BibTeX,140,139,30,956
component.common.selector,17,20,20,656
SemanticDB,29,37,16,387
strategy-agent-engine,5,4,12,216
APar,21,20,16,386
FeatureDiagrams,31,56,17,362
FoundationModel,168,221,35,980
Series,4,3,12,217
bpsim,265,358,53,1553
jamopp,390,811,168,5600
SimplifiedJMLModel,11,12,12,218
Sal,71,111,22,586
Clientes,26,30,17,365
olark,8,8,12,201
Assignments,14,18,14,218
EAI,11,15,12,200
sgraph,61,107,260,722
mindEd.ide,61,108,22,586
city2,13,16,13,216
pub_tgt,31,33,15,243
FCM,128,151,29,774
ASM,1,0,84,345
crossx,22,30,15,365
soopl,67,120,23,586
spreadsheet,11,19,14,200
GraphicalProcessEditorModel,20,31,14,202
camel-spring,1584,2633,297,2284
MTRANS,39,75,19,450
writers,16,15,15,219
performance,28,38,17,240
things,49,79,20,430
T6,10,17,13,219
Before,38,69,18,430
lob,6,5,13,221
IFConfiguration,72,118,22,621
extension,5,4,13,219
example,23,42,16,243
UMLDI,3,1,67,720
ServiceDsl,44,75,17,430
policy,44,58,20,427
Resolute,69,116,23,621
emffrag_internal,7,6,12,219
ImperativeOCLCS,68,88,21,618
interpreter,4,3,11,216
MoMM,1,0,9,219
ThreeJsWrapperDescriptionLanguage,45,60,19,448
ProjectTrackerResources,7,7,12,219
Jess,126,236,31,870
CharacterScript,53,74,19,454
zvisclasses,20,22,13,242
rule,24,28,16,243
FractalIdt,9,9,14,219
ObjectNotation,37,54,18,430
android,47,78,20,450
gameserver,8,15,14,219
gmfgraph_1.30,264,390,49,1540
SiSiPNML,7,6,13,219
catalog,26,31,17,241
RelationalDBContent,15,28,15,222
QVTcCST,50,67,20,453
Program,5,5,13,219
pushbuttonbuild,22,25,16,389
EMOF,79,128,24,498
connector-configuration,9,9,14,386
Problem,248,247,40,661
timedAutomata,269,436,51,1539
Promenade,1,0,10,217
knowledge,18,27,15,237
CloudML,63,102,21,454
tableur_modifie,12,20,15,216
spem2,300,521,55,1767
frontend.chain,21,36,16,240
component.clojure,8,8,14,219
GenModel,186,240,39,1073
enactment,15,18,13,219
QVTrCST,72,91,23,638
archimate,165,306,37,1321
WikiTable,20,26,15,240
decobat,94,102,27,644
waqtsalat,36,36,17,239
bluexml,272,391,49,1556
simplemath,23,37,17,241
demo,19,23,16,242
AMN,303,433,49,1286
