model,nodes,edges,time,mem
CSS,47,46,91,379
WrspmDomainmodel,10,14,34,340
experiment,5,4,57,341
modembed,203,352,108,1456
xmof,245,431,51,1657
JavaSource,13,22,15,340
bmmOmg,132,358,39,1069
training,20,31,16,341
After,14,22,16,341
SortMerge,10,11,12,341
IdObjectsDsl,34,33,18,359
editor,433,703,76,2491
XUL-Interactorl,97,141,27,731
murdercase,18,23,14,341
MSOfficeExcel_SpreadsheetMLBasicDef,121,197,32,1024
ds,126,154,34,1007
Spec,58,98,21,650
tigerstripe-core,179,244,36,1083
CoreDsl,182,261,36,1068
ViewPointAD,39,48,19,373
Gatekeeper,172,241,36,1069
TroposIntegratingActorConcept,8,13,12,343
ChooseEditor,87,186,26,731
jobtool,31,41,16,359
designNotes,6,5,12,341
tbool,8,7,14,341
classification,16,18,15,360
storymodel,45,58,18,402
PDL2,23,31,15,360
org.eclipse.emf.cdo.defs,29,39,17,360
Notation,80,98,22,413
GameServerModel,38,72,17,360
RobotTask,52,76,18,650
picu,6,4,13,341
taskmodel,164,250,34,1069
ModelQueryLanguage,11,11,13,341
RFCMapping,72,94,22,669
General,192,218,36,1104
rails,21,30,14,337
wcs100,268,372,69,2508
ServiceFeatureModel,97,127,25,735
GraphML,49,74,18,378
martinfowlerdsl,19,30,15,338
Room,263,438,51,1717
c_sharp,444,810,75,2761
ConditionModel,27,42,16,362
confious.owl,377,779,73,3159
hbmodel,50,53,19,674
SRM,16,21,14,360
graal-featureextensions,4,3,12,341
componentCore,36,45,18,379
ares,31,35,80,341
Contract,10,15,37,340
HaxeDSL,41,57,18,360
org.eclipse.jst.server.generic.servertype,82,98,25,685
rolebinding,16,19,16,341
AbstractUI,5,4,52,341
ddic,133,154,94,1007
diagram,3,2,11,340
GAIA,124,158,25,735
NHSM,9,12,13,341
Xtype,15,15,14,340
esb,215,304,42,1385
MSOfficeExcel_SpreadsheetMLWorkbookProp,1,0,75,341
org.eclipse.emf.cdo.server.defs,55,60,18,379
closures,8,8,12,341
UIML-3.0,11,12,16,610
customer,33,38,15,354
trustMetamodel,35,45,16,378
JKind,78,131,23,695
Enumliterals2,9,9,12,341
ComDiag,14,23,13,341
salesystem,9,12,12,341
tracability,25,43,15,359
environment,96,176,27,730
VDMapping,9,10,13,341
PPTP,40,65,18,378
kompicsComponents,41,65,19,402
PetriNets,14,31,15,357
em,26,25,15,341
MSOfficeExcel_SpreadsheetMLPrintingSetup,514,630,77,1961
fact,75,103,30,946
opmodel,63,106,22,664
Modulob,55,73,21,646
TefkatTrace,17,22,15,360
ObserverAdvice,5,8,11,341
JavaAbstractSyntax,1,0,16,884
diagnostic,12,13,13,341
gmfgraph_1.26,218,341,43,1428
SimpleGMF,5,5,12,340
TextualWorkbench,217,319,59,1654
Perceptory,1,0,11,354
StructuredText,231,228,37,863
ETPhys,47,60,19,404
rosResolutionModel,36,48,19,378
AsmL,172,329,39,1373
builtins,4,3,12,317
tableur_visitable_aspects,16,27,14,318
ProMarte,336,618,62,2177
tracemodel,79,141,26,693
cp1model,30,41,17,360
symbol,107,172,30,1008
expr,12,13,14,338
CPL,91,138,26,735
HelloJvmTypes,13,13,14,341
compose,48,79,19,674
api2mol,45,61,18,379
UMLDI-ModelManagement,26,50,17,360
PCS.owl,1184,2425,294,2319
webproject,27,32,16,378
Genesis,22,32,15,368
UserSpiele,20,21,16,348
lcoordinates,16,18,17,368
miner,26,32,17,348
SimpleUML,12,16,17,345
operations,14,15,19,653
frontend.koan,22,33,16,368
XML,25,36,17,351
HTML,172,241,36,1138
ETMap,19,22,16,348
UMLForOOClassModeling,41,58,17,389
CollaborativeMDEProcess,33,44,17,378
actions,43,61,21,969
AutBE,11,12,13,328
