model,nodes,edges,time,mem
CSS,47,46,66,371
WrspmDomainmodel,10,14,34,326
experiment,5,4,54,317
modembed,203,352,108,1392
xmof,245,431,50,1662
JavaSource,13,22,13,323
bmmOmg,132,358,36,1062
training,20,31,15,344
After,14,22,14,326
SortMerge,10,11,12,334
IdObjectsDsl,34,33,17,339
editor,433,703,70,2509
XUL-Interactorl,97,141,27,702
murdercase,18,23,13,334
MSOfficeExcel_SpreadsheetMLBasicDef,121,197,30,1012
ds,126,154,33,1007
Spec,58,98,20,656
tigerstripe-core,179,244,36,1064
CoreDsl,182,261,34,1115
ViewPointAD,39,48,18,371
Gatekeeper,172,241,36,1066
TroposIntegratingActorConcept,8,13,12,307
ChooseEditor,87,186,25,702
jobtool,31,41,16,345
designNotes,6,5,12,312
tbool,8,7,12,321
classification,16,18,14,348
storymodel,45,58,18,363
PDL2,23,31,15,339
org.eclipse.emf.cdo.defs,29,39,16,342
Notation,80,98,21,398
GameServerModel,38,72,16,357
RobotTask,52,76,19,643
picu,6,4,14,334
taskmodel,164,250,35,1064
ModelQueryLanguage,11,11,14,313
RFCMapping,72,94,30,670
General,192,218,36,1080
rails,21,30,15,326
wcs100,268,372,69,2489
ServiceFeatureModel,97,127,26,715
GraphML,49,74,18,376
martinfowlerdsl,19,30,14,342
Room,263,438,50,1675
c_sharp,444,810,74,2534
ConditionModel,27,42,16,333
confious.owl,377,779,73,3149
hbmodel,50,53,18,635
SRM,16,21,15,320
graal-featureextensions,4,3,13,321
componentCore,36,45,18,389
ares,31,35,76,339
Contract,10,15,36,313
HaxeDSL,41,57,18,368
org.eclipse.jst.server.generic.servertype,82,98,26,686
rolebinding,16,19,16,325
AbstractUI,5,4,50,312
ddic,133,154,95,1015
diagram,3,2,11,313
GAIA,124,158,27,729
NHSM,9,12,12,312
Xtype,15,15,14,324
esb,215,304,79,1394
MSOfficeExcel_SpreadsheetMLWorkbookProp,1,0,72,309
org.eclipse.emf.cdo.server.defs,55,60,19,363
closures,8,8,12,321
UIML-3.0,11,12,16,634
customer,33,38,17,339
trustMetamodel,35,45,18,363
JKind,78,131,23,689
Enumliterals2,9,9,12,312
ComDiag,14,23,15,326
salesystem,9,12,13,312
tracability,25,43,16,342
environment,96,176,27,702
VDMapping,9,10,12,340
PPTP,40,65,18,377
kompicsComponents,41,65,18,369
PetriNets,14,31,14,317
em,26,25,15,344
MSOfficeExcel_SpreadsheetMLPrintingSetup,514,630,76,1964
fact,75,103,23,939
opmodel,63,106,22,704
Modulob,55,73,22,680
TefkatTrace,17,22,15,325
ObserverAdvice,5,8,11,316
JavaAbstractSyntax,1,0,14,857
diagnostic,12,13,14,337
gmfgraph_1.26,218,341,42,1413
SimpleGMF,5,5,12,318
TextualWorkbench,217,319,55,1622
Perceptory,1,0,10,312
StructuredText,231,228,36,857
ETPhys,47,60,19,371
rosResolutionModel,36,48,18,363
AsmL,172,329,38,1392
builtins,4,3,12,312
tableur_visitable_aspects,16,27,15,353
ProMarte,336,618,60,2199
tracemodel,79,141,25,700
cp1model,30,41,15,358
symbol,107,172,28,1002
expr,12,13,13,326
CPL,91,138,24,700
HelloJvmTypes,13,13,14,326
compose,48,79,20,649
api2mol,45,61,18,371
UMLDI-ModelManagement,26,50,16,368
PCS.owl,1184,2425,289,2131
webproject,27,32,15,344
Genesis,22,32,14,357
UserSpiele,20,21,14,352
lcoordinates,16,18,14,358
miner,26,32,14,370
SimpleUML,12,16,14,332
operations,14,15,19,635
frontend.koan,22,33,15,358
XML,25,36,16,357
HTML,172,241,36,1157
ETMap,19,22,15,358
UMLForOOClassModeling,41,58,17,384
CollaborativeMDEProcess,33,44,17,383
actions,43,61,21,966
AutBE,11,12,13,344
EXPRESSb,531,1066,94,3269
ebnfmm,24,43,15,345
ProofProcess-v1.0.0.11,49,74,20,403
QVT_SimpleUML,29,58,17,371
ASMLogo,120,165,26,756
Collaborations_Interactions_UML,43,97,19,401
component.bpel,9,9,13,328
com.ibm.commerce.subscription.facade.datatypes,75,99,181,14765
SecureUML,1,0,10,327
bpmn,172,259,36,1089
RobotMLLibraries,381,476,63,2122
controller,8,8,12,335
RelationsToTraceClass,23,22,16,349
EclipseLaunchConfigurations,135,147,25,470
SonarModelBusPlugin,21,28,15,348
CIM15,4378,7728,719,15379
instance,80,138,64,3418
dependency,24,38,17,391
library_types,1,0,9,220
GeoTrans,1,0,9,199
eJava,40,42,17,384
Class,1,0,9,203
cpc,17,22,14,205
sbvrOMG,272,532,54,2543
RecordMapper,23,27,15,347
Equipment,419,672,85,2883
Physis,15,14,13,206
PrimitiveTypes,15,14,14,212
aspectj,85,138,24,698
ID,8,8,52,206
COBOL,64,86,20,538
Cal,210,354,43,1322
SCADE,443,924,84,3021
QVTOperationalCS,211,276,41,1308
statemachine_metamodel,8,10,12,206
VisualizationModel,19,27,14,233
DTInfo,27,32,16,346
Copy of component.camel,254,314,125,5748
com.ibm.commerce.oagis9.datatypes.codelists,282,281,41,1339
Dc6,28,38,15,360
XMorphLanguage_abstractSyntax,1,0,10,326
it.matiuz.menumaker.model,21,21,15,225
Elf,14,17,14,221
BlockClassBase,12,17,16,498
State,24,36,18,383
XBNFwithCardinality,8,12,14,344
MongoSQL,68,93,20,564
event,84,140,23,634
tp4,50,71,20,386
EqualMM,26,56,17,504
MiniJava,95,170,26,756
modembedmodel,81,136,23,576
SharedPreferencesModel,27,34,15,236
class_diagramm_simple,17,16,13,200
graph,22,30,15,214
ArchitectureDSL,70,105,21,549
UCTE,298,521,69,2192
unifiedflat,385,476,62,1963
rif11a_xsd,425,586,85,2825
Persons,5,6,73,190
Geographical,331,373,52,1125
PL1,46,77,19,406
extractor,14,14,16,339
gbind,268,572,54,1947
TPTPStaticAnalysisUtilities,64,96,20,564
discovery,25,28,16,360
newsletter,5,4,11,193
Alf,304,486,54,1911
bpmn20di,34,46,18,379
directory,95,119,25,655
aspectbind,122,205,29,934
SQLXMLQueryModel,223,387,46,1521
ParsedMetadata,22,35,90,372
