model,nodes,edges,time,mem
.skriven,22,28,11,277
101companies,15,18,8,259
abapobj,191,213,14,1029
ABase,13,17,22,259
ABC,4,5,14,241
abnf,47,72,7,511
abstractcim,25,40,6,480
AbstractSyntaxStereotypesUML1.4,7,5,13,244
AbstractUI,70,68,19,515
acad,69,68,639,722
accesscontrol,45,70,10,498
accession,11,18,9,662
account,10,10,8,243
accounting,37,60,10,496
ACG,150,264,14,1038
acl,15,16,8,259
ACME,43,73,11,498
ACON,40,57,9,495
acore,31,45,10,277
action,10,10,8,260
actions,43,61,9,901
activestatedebugger,23,30,8,260
ActivitiExtensions,93,106,12,770
activity,13,19,9,260
activityDiagram,35,66,11,497
actor,45,70,89,902
ActorMapping,33,38,10,277
adapter,9,9,9,647
adaptiveSystem,61,102,9,530
AData,36,47,10,293
ada_gen,33,42,8,296
additionalTagMetadata,13,14,6,259
AddressBook,28,44,10,277
addressing,51,68,12,511
ADELFE,41,88,9,514
Adl,125,198,11,811
Ads,177,277,13,1103
After,14,22,9,260
Agate,274,466,19,1824
agents,10,10,7,462
aggregator_0.8.0,109,138,27,769
Agree,285,353,23,1116
AIP,12,14,8,259
AIService,12,19,7,241
AjModel,46,88,10,510
aladim,43,70,7,498
Alf,304,486,20,1860
Altarica,175,308,15,1306
Amble,1,0,22,244
AML,343,445,24,2096
AMN,155,286,21,1062
analysis,11,12,8,244
android,47,78,9,509
Anfelisa,11,16,9,244
annotation,7,7,9,244
annotationModelReference,3,2,8,244
annotations,22,32,7,259
Ant,170,239,12,1093
Antikythera,38,63,8,496
AntScripts,38,63,9,496
AnyLogic,114,148,13,792
APar,27,25,8,277
api2mol,45,61,9,496
apidesc,83,115,10,549
apimodel,70,100,20,526
AppChoco,21,25,8,277
AppDSL,14,23,6,260
ApplauseDsl,126,213,10,819
applet,91,118,11,760
application,152,192,16,1662
AppliedStereotypeProperty,6,6,22,244
appmodel,22,26,16,277
AppWeb,24,27,8,259
apromore,37,58,9,498
ArcadeTongame_editor,30,41,9,292
archi,47,82,8,495
archimate,165,306,13,1428
Architectural_Description,17,30,9,277
architecture,5,4,7,244
ArchitectureDSL,70,105,12,531
arduino,114,167,10,778
ares,31,35,8,278
Arithmetics,34,58,7,293
arm,36,61,7,498
article,80,146,10,744
ASL,294,307,18,959
ASM,1,0,7,446
AsmL,172,329,13,1306
ASMLogo,53,99,10,511
aspectbind,122,205,11,786
aspectj,85,138,11,747
aspectualacme,35,61,10,495
Assert,31,47,8,291
asset,187,268,16,1290
Assignments,14,18,7,259
associationoverride,12,14,8,262
ast,54,76,8,511
aterms,48,54,9,295
AthenaDSL,172,241,15,1077
ATL-0.2,142,318,19,4126
ATL-Profiler,33,41,10,290
ATL,92,172,11,1043
atl2java,47,88,8,511
ATLMLM,98,183,14,988
atl_types,45,72,10,496
atm,103,102,584,776
ATOM,1,0,5,264
atomic,23,46,8,274
AtsDsl,142,197,13,826
attributes,9,11,7,244
auction,23,24,9,259
AUIML,1002,1772,63,5585
AutBE,11,12,9,244
autocgmodel,10,14,8,260
Automaton,14,20,6,262
Avm,37,70,7,496
AWKPrograms,1,0,5,241
Axdt,21,39,10,480
B,5,5,9,244
backbone,155,189,11,639
Balanced,197,260,15,1285
banner,14,16,6,259
Base,4,3,7,244
BaseCST,144,274,13,1044
BaseOutputMetamodel,10,14,8,243
BaseUI,15,22,6,259
basic,5,4,9,264
BasicBlocks,15,19,7,259
BatchDsl,25,30,7,278
BD,20,29,9,260
BDDModel,34,50,9,295
Before,97,127,11,575
bf,28,39,7,275
BibTeX,140,139,11,809
BibTeX1.1,34,66,8,480
BIBTEXML,292,323,42,2043
bigpicture,16,23,7,262
binding,25,31,11,665
bindingdialect,18,34,8,277
bio_src,51,62,10,509
bio_tgt,47,57,10,497
BippoMall,10,10,7,259
Bitbucketmgr,10,11,5,244
BlockClassBase,12,17,8,462
blockDomain,33,63,10,480
bluexml,272,391,18,1465
BMM,80,155,10,767
bmmOmg,132,358,14,1062
Bnl,3,2,6,241
bodymodel,57,102,10,511
BON,66,117,9,531
bonide,63,83,10,511
bonide_PandO,83,133,11,549
BONModel_EMF,83,133,9,560
Book,67,90,11,531
books,8,8,8,241
bookStore,32,49,9,276
bool,13,22,7,259
BooleanExpressions,26,37,6,278
bootstrap,46,74,7,511
Bossa,318,510,24,2081
bowling,21,28,9,259
box,55,76,10,516
BoxMM,29,58,9,293
bpeldiag,5,3,7,241
BPM,13,18,7,280
bpmn,107,195,12,785
bpmn20,491,872,29,3287
bpmn20di,34,46,9,498
bpmn20exec,11,12,8,260
bpmn20_ttc,633,1146,33,4096
bpmndi,35,42,9,1722
bpsim,197,291,30,1380
BQL,23,34,6,277
BrnHandlers,361,532,22,2189
BrokerDSL,260,259,16,750
Bugzilla,13,11,7,262
Build,13,12,9,259
BuildDSL,13,16,8,261
builder,31,50,10,495
building,182,225,35,11528
builtins,21,16,9,274
BundleProject,104,124,12,794
business,72,136,11,551
BusinessDomainDsl,91,149,9,779
BusinessEntityModel,19,36,7,275
BusinessObjectDsl,22,31,6,276
BusinessProcessModel,44,87,8,515
Byteman,126,199,14,813
bz377606,9,9,7,252
C,11,18,7,264
cache_model,19,19,10,274
CADM,106,210,14,826
Cal,210,354,17,1361
calc,51,82,12,521
Calendar,31,42,9,285
caltrop,68,97,99,1080
camel-spring,1584,2633,79,10742
canopen,958,1314,46,5865
canvas,14,20,9,256
CaPtah,32,51,9,269
capua,40,78,8,492
car,13,21,8,256
CardTemplate,11,13,5,241
carnot,499,928,30,3781
carrental,22,24,8,279
Cars,22,26,8,269
cartesianCoordinateSystem,27,41,10,279
cascadenotall,17,23,8,256
catalog,26,31,8,279
caz,28,41,9,508
cbe,90,110,12,737
CD,38,61,7,502
CDE,15,22,5,256
cdfg,80,136,11,574
CDPSM,415,628,26,2721
CellCore,13,21,7,257
CellEvol,3,2,22,243
CellInit,3,2,8,243
CEPMeta,23,28,8,477
cf,45,127,11,1076
CFG,15,28,7,256
cgmodel,162,307,16,1248
CharacterScript,65,84,11,515
checklist,25,25,8,269
chess,48,64,9,492
ChocoModel,52,81,12,504
ChooseEditor,72,172,10,563
cim,1167,1454,46,6093
CIM14,3290,5293,186,10080
CIM15,4371,7722,226,22157
CIMLevelZero,1167,1454,48,6115
cinematic,76,130,11,598
city1,15,18,7,288
city2,13,16,8,241
cityfurniture,24,24,44,3926
citygml,62,74,37,4470
cityobjectgroup,39,41,29,10554
CL,90,118,12,1387
claim,19,25,8,270
Class,1,0,23,260
ClassDiagram,42,63,9,531
classDomain,41,71,9,512
ClassicModels,77,120,13,558
classification,16,18,7,257
ClassMM,19,27,6,245
ClassModel,76,112,9,648
class_diagramm,49,72,9,443
class_diagramm_simple,17,16,9,237
class_diagramm_tgg_rule,22,21,9,400
client,84,91,19,490
Clientes,26,30,10,235
closures,8,8,7,236
cloud,8,9,8,214
CloudML,63,102,10,469
cm,54,72,18,458
cmd,24,35,9,414
cmengine,106,195,12,866
CML,1,0,7,385
cmsl,149,183,11,732
cmt.owl,88,204,11,689
Coaster,28,30,8,237
COBOL,64,86,10,449
Cocus.owl,164,345,15,1280
codeAssistStruts,58,74,9,612
codesyncjava,41,38,9,244
codesyncxml,7,11,7,214
Collaborations_Interactions_UML,48,101,9,441
CollaborativeMDEProcess,33,44,9,411
collaviz,43,66,8,444
collection,22,24,10,925
com.ibm.commerce.catalog.facade.datatypes,702,947,63,6337
com.ibm.commerce.content.facade.datatypes,395,545,49,8740
com.ibm.commerce.contract.facade.datatypes,41,54,33,6443
com.ibm.commerce.foundation.datatypes,530,586,48,12788
com.ibm.commerce.giftcenter.facade.datatypes,129,158,42,4364
com.ibm.commerce.infrastructure.facade.datatypes,125,167,38,4418
com.ibm.commerce.installment.facade.datatypes,140,187,37,4448
com.ibm.commerce.inventory.facade.datatypes,132,161,41,6385
com.ibm.commerce.marketing.facade.datatypes,563,740,65,8182
com.ibm.commerce.member.datatypes,74,83,32,12191
com.ibm.commerce.member.facade.datatypes,337,431,46,5850
com.ibm.commerce.oagis9.datatypes.codelists,282,281,16,1398
com.ibm.commerce.oagis9.datatypes,2361,3760,153,13485
com.ibm.commerce.oagis9.datatypes.unqualifieddatatypes,72,71,12,1794
com.ibm.commerce.order.facade.datatypes,464,583,52,6544
com.ibm.commerce.payment.datatypes,219,289,40,13145
com.ibm.commerce.price.facade.datatypes,290,394,52,7994
com.ibm.commerce.promotion.facade.datatypes,140,174,39,4473
com.ibm.commerce.search.facade.datatypes,56,74,34,4075
com.ibm.commerce.store.facade.datatypes,82,104,37,5036
com.ibm.commerce.subscription.facade.datatypes,75,99,40,5828
com.ibm.commerce.wallet.facade.datatypes,121,165,41,5151
ComBE,67,89,10,659
ComDiag,14,23,9,315
Common,18,25,6,300
commonarchivecore,50,85,14,1875
CommonModeling,22,31,7,308
Company,59,86,12,604
CompanyStructure,15,21,8,297
compiler,33,42,8,323
CompleteGUIdancerComponentHierarchy,62,74,8,584
completemodel,18,18,9,294
CompleteOCLCST,41,56,10,551
component.bean,8,8,8,268
component.bpel,9,9,7,272
component.camel,14,16,17,4017
component.camel.quartz,15,16,9,726
component.camel.sql,17,18,8,756
component.clojure,8,8,9,272
component.common.selector,17,20,8,518
Component,8,7,8,272
component.hornetq,64,72,12,800
component.http,30,34,10,741
component.jca,54,75,11,778
component.remote,7,7,7,269
component.resteasy,29,33,11,744
component.soap,62,79,29,1021
componentCore,36,45,9,301
componentMapping,26,30,7,291
componentmodel,33,32,8,298
components,39,59,12,548
ComponentUML,1,0,7,265
component_instantiation,33,36,7,298
compose,48,79,8,556
