model,nodes,edges,time,mem
CSS,47,46,75,341
WrspmDomainmodel,10,14,35,332
experiment,5,4,52,562
modembed,203,352,97,1378
xmof,245,431,51,1628
JavaSource,13,22,13,308
bmmOmg,132,358,37,998
training,20,31,16,306
After,14,22,13,309
SortMerge,10,11,13,305
IdObjectsDsl,34,33,18,331
editor,433,703,75,2500
XUL-Interactorl,97,141,167,664
murdercase,18,23,15,308
MSOfficeExcel_SpreadsheetMLBasicDef,121,197,30,975
ds,126,154,33,950
Spec,58,98,19,631
tigerstripe-core,179,244,36,1073
CoreDsl,182,261,34,1009
ViewPointAD,39,48,18,327
Gatekeeper,172,241,35,1074
TroposIntegratingActorConcept,8,13,12,294
ChooseEditor,87,186,26,679
jobtool,31,41,17,332
designNotes,6,5,13,309
tbool,8,7,12,320
classification,16,18,14,305
storymodel,45,58,18,338
PDL2,23,31,16,343
org.eclipse.emf.cdo.defs,29,39,17,334
Notation,80,98,21,399
GameServerModel,38,72,16,595
RobotTask,52,76,18,620
picu,6,4,14,295
taskmodel,164,250,34,998
ModelQueryLanguage,11,11,14,331
RFCMapping,72,94,22,642
General,192,218,35,1012
rails,21,30,14,305
wcs100,268,372,68,2407
ServiceFeatureModel,97,127,24,667
GraphML,49,74,18,598
martinfowlerdsl,19,30,15,319
Room,263,438,49,1642
c_sharp,444,810,74,2757
ConditionModel,27,42,15,334
confious.owl,377,779,72,3099
hbmodel,50,53,19,625
SRM,16,21,14,312
graal-featureextensions,4,3,11,308
componentCore,36,45,75,338
ares,31,35,17,333
Contract,10,15,34,332
HaxeDSL,41,57,17,345
org.eclipse.jst.server.generic.servertype,82,98,25,653
rolebinding,16,19,16,306
AbstractUI,5,4,48,308
ddic,133,154,91,947
diagram,3,2,11,298
GAIA,124,158,26,696
NHSM,9,12,13,332
Xtype,15,15,14,309
esb,215,304,41,1355
MSOfficeExcel_SpreadsheetMLWorkbookProp,1,0,69,297
org.eclipse.emf.cdo.server.defs,55,60,18,342
closures,8,8,13,319
UIML-3.0,11,12,17,562
customer,33,38,17,334
trustMetamodel,35,45,17,355
JKind,78,131,22,642
Enumliterals2,9,9,13,308
ComDiag,14,23,14,306
salesystem,9,12,11,308
tracability,25,43,16,319
environment,96,176,26,722
VDMapping,9,10,13,309
PPTP,40,65,18,344
kompicsComponents,41,65,18,355
PetriNets,14,31,15,308
em,26,25,15,317
MSOfficeExcel_SpreadsheetMLPrintingSetup,514,630,77,2190
fact,75,103,30,893
opmodel,63,106,22,683
Modulob,55,73,22,631
TefkatTrace,17,22,14,308
ObserverAdvice,5,8,11,332
JavaAbstractSyntax,1,0,14,804
diagnostic,12,13,12,294
gmfgraph_1.26,218,341,41,1427
SimpleGMF,5,5,11,298
TextualWorkbench,217,319,56,1592
Perceptory,1,0,10,297
StructuredText,231,228,37,768
ETPhys,47,60,19,598
rosResolutionModel,36,48,17,330
AsmL,172,329,41,1367
builtins,4,3,12,298
tableur_visitable_aspects,16,27,13,309
ProMarte,336,618,60,2186
tracemodel,79,141,26,671
cp1model,30,41,15,331
symbol,107,172,28,995
expr,12,13,12,309
CPL,91,138,23,668
HelloJvmTypes,13,13,13,308
compose,48,79,18,595
api2mol,45,61,17,355
UMLDI-ModelManagement,26,50,17,345
PCS.owl,1184,2425,285,4336
webproject,27,32,16,337
Genesis,22,32,14,334
UserSpiele,20,21,15,334
lcoordinates,16,18,14,334
miner,26,32,15,362
SimpleUML,12,16,12,334
operations,14,15,20,608
frontend.koan,22,33,14,334
XML,25,36,15,362
HTML,172,241,35,1053
ETMap,19,22,14,331
UMLForOOClassModeling,41,58,18,361
CollaborativeMDEProcess,33,44,17,362
actions,43,61,20,907
AutBE,11,12,13,322
EXPRESSb,531,1066,94,3320
ebnfmm,24,43,15,334
ProofProcess-v1.0.0.11,49,74,19,361
QVT_SimpleUML,29,58,16,359
ASMLogo,120,165,26,726
Collaborations_Interactions_UML,43,97,20,645
component.bpel,9,9,13,334
com.ibm.commerce.subscription.facade.datatypes,75,99,184,4555
SecureUML,1,0,9,303
bpmn,172,259,37,1019
RobotMLLibraries,381,476,62,2105
controller,8,8,12,304
RelationsToTraceClass,23,22,16,327
EclipseLaunchConfigurations,135,147,25,474
SonarModelBusPlugin,21,28,14,314
CIM15,4378,7728,715,22024
instance,80,138,61,3232
dependency,24,38,15,344
library_types,1,0,9,306
GeoTrans,1,0,8,258
eJava,40,42,70,289
Class,1,0,10,261
cpc,17,22,15,292
sbvrOMG,272,532,53,2516
RecordMapper,23,27,14,293
Equipment,419,672,84,2933
Physis,15,14,13,270
PrimitiveTypes,15,14,12,267
aspectj,85,138,23,816
ID,8,8,13,268
COBOL,64,86,20,563
Cal,210,354,42,1421
SCADE,443,924,82,3058
QVTOperationalCS,211,276,40,1400
statemachine_metamodel,8,10,12,272
VisualizationModel,19,27,13,292
DTInfo,27,32,24,291
Copy of component.camel,254,314,123,5697
com.ibm.commerce.oagis9.datatypes.codelists,282,281,41,1372
Dc6,28,38,15,276
XMorphLanguage_abstractSyntax,1,0,11,453
it.matiuz.menumaker.model,21,21,15,267
Elf,14,17,13,253
BlockClassBase,12,17,16,469
State,24,36,17,488
XBNFwithCardinality,8,12,15,463
MongoSQL,68,93,21,537
event,84,140,23,566
tp4,50,71,20,512
EqualMM,26,56,17,503
MiniJava,95,170,25,796
modembedmodel,81,136,22,559
SharedPreferencesModel,27,34,16,284
class_diagramm_simple,17,16,13,266
graph,22,30,15,267
ArchitectureDSL,70,105,21,533
UCTE,298,521,69,2188
unifiedflat,385,476,61,1921
