model,nodes,edges,time,mem
.skriven,22,28,25,278
101companies,15,18,9,267
abapobj,191,213,54,1068
ABase,13,17,7,248
ABC,4,5,18,248
abnf,47,72,20,552
abstractcim,25,40,7,287
AbstractSyntaxStereotypesUML1.4,7,5,6,256
AbstractUI,70,68,11,530
acad,69,68,665,542
accesscontrol,45,70,10,328
accession,11,18,11,707
account,10,10,9,269
accounting,37,60,11,300
ACG,150,264,17,1045
acl,15,16,11,266
ACME,43,73,10,506
ACON,40,57,8,298
acore,31,45,9,287
action,10,10,7,268
actions,43,61,16,911
activestatedebugger,23,30,10,291
ActivitiExtensions,93,106,14,813
activity,13,19,7,277
activityDiagram,35,66,8,301
actor,45,70,82,765
ActorMapping,33,38,8,295
adapter,9,9,21,655
adaptiveSystem,61,102,9,524
AData,36,47,9,300
ada_gen,33,42,9,293
additionalTagMetadata,13,14,6,245
AddressBook,28,44,11,286
addressing,51,68,12,540
ADELFE,41,88,12,538
Adl,125,198,17,843
Ads,177,277,14,1145
After,14,22,7,269
Agate,274,466,38,1654
agents,10,10,14,467
aggregator_0.8.0,109,138,11,769
Agree,285,353,20,1106
AIP,12,14,10,248
AIService,12,19,9,268
AjModel,46,88,10,552
aladim,43,70,11,537
Alf,304,486,20,1848
Altarica,175,308,14,1311
Amble,1,0,25,248
AML,343,445,26,2071
AMN,155,286,13,1051
analysis,11,12,7,248
android,47,78,10,509
Anfelisa,11,16,8,249
annotation,7,7,7,268
annotationModelReference,3,2,7,277
annotations,22,32,7,291
Ant,170,239,16,1067
Antikythera,38,63,16,489
AntScripts,38,63,9,505
AnyLogic,114,148,11,791
APar,27,25,8,287
api2mol,45,61,12,320
apidesc,83,115,13,537
apimodel,70,100,9,574
AppChoco,21,25,23,285
AppDSL,14,23,7,248
ApplauseDsl,126,213,13,817
applet,91,118,11,761
application,152,192,16,1696
AppliedStereotypeProperty,6,6,16,248
appmodel,22,26,8,286
AppWeb,24,27,10,269
apromore,37,58,11,317
ArcadeTongame_editor,30,41,10,300
archi,47,82,10,546
archimate,165,306,16,1448
Architectural_Description,17,30,7,277
architecture,5,4,7,266
ArchitectureDSL,70,105,14,528
arduino,114,167,12,833
ares,31,35,8,285
Arithmetics,34,58,9,299
arm,36,61,9,496
article,80,146,13,811
ASL,294,307,21,981
ASM,1,0,8,451
AsmL,172,329,18,1397
ASMLogo,53,99,9,551
aspectbind,122,205,15,843
aspectj,85,138,14,802
aspectualacme,35,61,8,318
Assert,31,47,7,301
asset,187,268,14,1375
Assignments,14,18,7,266
associationoverride,12,14,16,253
