model,nodes,edges,time,mem
CSS,47,46,101,420
WrspmDomainmodel,10,14,37,372
experiment,5,4,53,359
modembed,203,352,96,1235
xmof,245,431,50,1599
JavaSource,13,22,14,346
bmmOmg,132,358,36,1119
training,20,31,13,347
After,14,22,14,372
SortMerge,10,11,13,372
IdObjectsDsl,34,33,17,384
editor,433,703,75,2593
XUL-Interactorl,97,141,25,738
murdercase,18,23,14,372
MSOfficeExcel_SpreadsheetMLBasicDef,121,197,30,821
ds,126,154,31,808
Spec,58,98,20,423
tigerstripe-core,179,244,35,1089
CoreDsl,182,261,35,1092
ViewPointAD,39,48,19,374
Gatekeeper,172,241,36,1092
TroposIntegratingActorConcept,8,13,12,372
ChooseEditor,87,186,26,787
jobtool,31,41,16,385
designNotes,6,5,11,369
tbool,8,7,12,360
classification,16,18,14,358
storymodel,45,58,18,397
PDL2,23,31,15,385
org.eclipse.emf.cdo.defs,29,39,16,382
Notation,80,98,22,437
GameServerModel,38,72,16,395
RobotTask,52,76,18,411
picu,6,4,13,359
taskmodel,164,250,35,1089
ModelQueryLanguage,11,11,13,358
RFCMapping,72,94,21,438
General,192,218,35,1079
rails,21,30,14,372
wcs100,268,372,68,2334
ServiceFeatureModel,97,127,25,740
GraphML,49,74,18,410
martinfowlerdsl,19,30,14,372
Room,263,438,49,1637
c_sharp,444,810,73,2552
ConditionModel,27,42,15,361
confious.owl,377,779,72,3149
hbmodel,50,53,19,678
SRM,16,21,14,395
graal-featureextensions,4,3,12,346
componentCore,36,45,18,399
ares,31,35,75,384
Contract,10,15,34,372
HaxeDSL,41,57,18,395
org.eclipse.jst.server.generic.servertype,82,98,25,763
rolebinding,16,19,16,369
AbstractUI,5,4,47,346
ddic,133,154,89,1120
diagram,3,2,11,346
GAIA,124,158,27,812
NHSM,9,12,12,360
Xtype,15,15,15,358
esb,215,304,40,1249
MSOfficeExcel_SpreadsheetMLWorkbookProp,1,0,65,346
org.eclipse.emf.cdo.server.defs,55,60,19,425
closures,8,8,14,358
UIML-3.0,11,12,17,672
customer,33,38,15,384
trustMetamodel,35,45,16,382
JKind,78,131,23,762
Enumliterals2,9,9,12,359
ComDiag,14,23,14,372
salesystem,9,12,13,381
tracability,25,43,15,384
environment,96,176,28,788
VDMapping,9,10,13,359
PPTP,40,65,18,411
kompicsComponents,41,65,18,394
PetriNets,14,31,14,372
em,26,25,16,382
MSOfficeExcel_SpreadsheetMLPrintingSetup,514,630,77,2154
fact,75,103,28,1007
opmodel,63,106,21,736
Modulob,55,73,21,736
TefkatTrace,17,22,14,349
ObserverAdvice,5,8,12,346
JavaAbstractSyntax,1,0,15,971
diagnostic,12,13,12,359
gmfgraph_1.26,218,341,41,1561
SimpleGMF,5,5,12,346
TextualWorkbench,217,319,56,1575
Perceptory,1,0,11,325
StructuredText,231,228,37,886
ETPhys,47,60,19,397
rosResolutionModel,36,48,17,385
AsmL,172,329,37,1210
builtins,4,3,10,369
tableur_visitable_aspects,16,27,15,372
ProMarte,336,618,60,2138
tracemodel,79,141,24,726
cp1model,30,41,16,385
symbol,107,172,28,797
expr,12,13,13,360
CPL,91,138,23,771
HelloJvmTypes,13,13,13,359
compose,48,79,19,735
api2mol,45,61,16,399
UMLDI-ModelManagement,26,50,16,385
PCS.owl,1184,2425,235,15588
webproject,27,32,14,352
Genesis,22,32,15,363
UserSpiele,20,21,15,375
lcoordinates,16,18,15,362
miner,26,32,16,375
SimpleUML,12,16,14,363
operations,14,15,19,647
frontend.koan,22,33,15,360
XML,25,36,15,375
HTML,172,241,34,1148
ETMap,19,22,15,347
UMLForOOClassModeling,41,58,17,413
CollaborativeMDEProcess,33,44,17,388
actions,43,61,21,991
AutBE,11,12,14,348
EXPRESSb,531,1066,94,3297
ebnfmm,24,43,15,349
ProofProcess-v1.0.0.11,49,74,19,406
QVT_SimpleUML,29,58,17,373
ASMLogo,120,165,26,791
Collaborations_Interactions_UML,43,97,18,415
component.bpel,9,9,14,351
com.ibm.commerce.subscription.facade.datatypes,75,99,180,14777
SecureUML,1,0,10,317
bpmn,172,259,35,858
RobotMLLibraries,381,476,63,2145
