model,nodes,edges,time,mem
CSS,47,46,83,396
WrspmDomainmodel,10,14,43,349
experiment,5,4,68,334
modembed,203,352,119,1464
xmof,245,431,52,1672
JavaSource,13,22,11,349
bmmOmg,132,358,37,1121
training,20,31,15,366
After,14,22,14,352
SortMerge,10,11,13,349
IdObjectsDsl,34,33,16,368
editor,433,703,74,2528
XUL-Interactorl,97,141,29,752
murdercase,18,23,14,348
MSOfficeExcel_SpreadsheetMLBasicDef,121,197,30,792
ds,126,154,32,1067
Spec,58,98,21,714
tigerstripe-core,179,244,36,1136
CoreDsl,182,261,35,1108
ViewPointAD,39,48,18,366
Gatekeeper,172,241,36,1110
TroposIntegratingActorConcept,8,13,13,334
ChooseEditor,87,186,26,750
jobtool,31,41,17,377
designNotes,6,5,12,341
tbool,8,7,17,336
classification,16,18,15,341
storymodel,45,58,18,396
PDL2,23,31,16,368
org.eclipse.emf.cdo.defs,29,39,18,363
Notation,80,98,22,424
GameServerModel,38,72,17,386
RobotTask,52,76,18,406
picu,6,4,15,343
taskmodel,164,250,34,1088
ModelQueryLanguage,11,11,15,334
RFCMapping,72,94,23,718
General,192,218,36,1080
rails,21,30,15,356
wcs100,268,372,69,2577
ServiceFeatureModel,97,127,25,748
GraphML,49,74,19,403
martinfowlerdsl,19,30,16,348
Room,263,438,50,1691
c_sharp,444,810,75,2543
ConditionModel,27,42,16,354
confious.owl,377,779,79,3033
hbmodel,50,53,19,691
SRM,16,21,14,355
graal-featureextensions,4,3,12,322
componentCore,36,45,18,368
ares,31,35,17,361
Contract,10,15,13,334
HaxeDSL,41,57,98,397
org.eclipse.jst.server.generic.servertype,82,98,25,716
rolebinding,16,19,16,359
AbstractUI,5,4,93,344
ddic,133,154,111,1067
diagram,3,2,13,327
GAIA,124,158,27,777
NHSM,9,12,13,337
Xtype,15,15,15,341
esb,215,304,41,1500
MSOfficeExcel_SpreadsheetMLWorkbookProp,1,0,91,337
org.eclipse.emf.cdo.server.defs,55,60,20,416
closures,8,8,12,335
UIML-3.0,11,12,16,633
customer,33,38,18,358
trustMetamodel,35,45,16,368
JKind,78,131,23,736
Enumliterals2,9,9,14,335
ComDiag,14,23,13,350
salesystem,9,12,13,334
tracability,25,43,16,355
environment,96,176,26,742
VDMapping,9,10,12,328
PPTP,40,65,18,395
kompicsComponents,41,65,18,390
PetriNets,14,31,14,342
em,26,25,15,373
MSOfficeExcel_SpreadsheetMLPrintingSetup,514,630,75,2151
fact,75,103,30,1016
opmodel,63,106,23,701
Modulob,55,73,22,695
TefkatTrace,17,22,15,351
ObserverAdvice,5,8,11,334
JavaAbstractSyntax,1,0,15,927
diagnostic,12,13,12,336
gmfgraph_1.26,218,341,42,1503
SimpleGMF,5,5,11,335
TextualWorkbench,217,319,55,1491
Perceptory,1,0,11,331
StructuredText,231,228,37,892
ETPhys,47,60,19,389
rosResolutionModel,36,48,18,383
AsmL,172,329,38,1445
builtins,4,3,12,334
tableur_visitable_aspects,16,27,14,350
ProMarte,336,618,61,2213
tracemodel,79,141,24,729
cp1model,30,41,16,362
symbol,107,172,29,1053
expr,12,13,12,350
CPL,91,138,45,768
HelloJvmTypes,13,13,47,358
compose,48,79,33,703
api2mol,45,61,19,396
UMLDI-ModelManagement,26,50,18,369
PCS.owl,1184,2425,339,1769
webproject,27,32,16,337
Genesis,22,32,16,367
UserSpiele,20,21,16,344
lcoordinates,16,18,15,364
miner,26,32,15,359
SimpleUML,12,16,12,342
operations,14,15,19,627
frontend.koan,22,33,15,358
XML,25,36,16,358
HTML,172,241,35,1148
ETMap,19,22,15,352
UMLForOOClassModeling,41,58,18,379
CollaborativeMDEProcess,33,44,16,376
actions,43,61,21,946
AutBE,11,12,13,343
EXPRESSb,531,1066,94,3240
ebnfmm,24,43,16,359
ProofProcess-v1.0.0.11,49,74,19,416
QVT_SimpleUML,29,58,17,377
ASMLogo,120,165,25,797
Collaborations_Interactions_UML,43,97,19,398
component.bpel,9,9,13,347
com.ibm.commerce.subscription.facade.datatypes,75,99,180,14761
SecureUML,1,0,10,316
bpmn,172,259,36,1095
RobotMLLibraries,381,476,63,2118
controller,8,8,12,341
RelationsToTraceClass,23,22,17,368
EclipseLaunchConfigurations,135,147,25,472
SonarModelBusPlugin,21,28,14,348
CIM15,4378,7728,708,21242
instance,80,138,67,3553
dependency,24,38,15,353
library_types,1,0,9,270
GeoTrans,1,0,10,275
eJava,40,42,16,316
Class,1,0,9,256
cpc,17,22,14,270
sbvrOMG,272,532,54,2485
RecordMapper,23,27,16,279
Equipment,419,672,84,2905
Physis,15,14,19,263
PrimitiveTypes,15,14,15,276
aspectj,85,138,24,794
ID,8,8,14,261
COBOL,64,86,21,541
Cal,210,354,43,1399
SCADE,443,924,85,3040
QVTOperationalCS,211,276,41,1381
statemachine_metamodel,8,10,13,259
VisualizationModel,19,27,16,271
DTInfo,27,32,16,301
Copy of component.camel,254,314,123,5689
com.ibm.commerce.oagis9.datatypes.codelists,282,281,43,1363
Dc6,28,38,17,270
XMorphLanguage_abstractSyntax,1,0,12,452
it.matiuz.menumaker.model,21,21,16,267
Elf,14,17,14,257
BlockClassBase,12,17,16,472
State,24,36,18,483
XBNFwithCardinality,8,12,16,459
MongoSQL,68,93,21,567
event,84,140,23,597
tp4,50,71,16,514
EqualMM,26,56,17,525
MiniJava,95,170,25,785
modembedmodel,81,136,24,567
SharedPreferencesModel,27,34,16,303
class_diagramm_simple,17,16,13,261
graph,22,30,15,267
ArchitectureDSL,70,105,23,534
UCTE,298,521,70,2192
unifiedflat,385,476,62,1951
rif11a_xsd,425,586,86,2881
Persons,5,6,91,246
Geographical,331,373,52,1079
PL1,46,77,20,510
extractor,14,14,16,466
gbind,268,572,56,1863
TPTPStaticAnalysisUtilities,64,96,22,528
discovery,25,28,16,291
newsletter,5,4,11,245
Alf,304,486,54,1883
bpmn20di,34,46,18,497
directory,95,119,24,565
aspectbind,122,205,30,812
SQLXMLQueryModel,223,387,45,1375
ParsedMetadata,22,35,14,272
henshin,85,162,27,832
asset,187,268,43,1313
BibTeX,140,139,30,838
component.common.selector,17,20,88,679
SemanticDB,29,37,16,280
strategy-agent-engine,5,4,12,245
APar,21,20,15,290
FeatureDiagrams,31,56,17,494
FoundationModel,168,221,33,1078
Series,4,3,11,250
bpsim,265,358,52,1423
jamopp,390,811,101,5757
SimplifiedJMLModel,11,12,12,245
Sal,71,111,70,519
Clientes,26,30,15,268
olark,8,8,12,239
Assignments,14,18,15,247
EAI,11,15,12,261
sgraph,61,107,244,771
mindEd.ide,61,108,22,560
city2,13,16,14,248
pub_tgt,31,33,16,263
FCM,128,151,57,790
ASM,1,0,85,439
crossx,22,30,16,264
soopl,67,120,22,526
spreadsheet,11,19,13,252
GraphicalProcessEditorModel,20,31,14,262
camel-spring,1584,2633,290,10717
MTRANS,39,75,18,463
writers,16,15,15,246
performance,28,38,15,265
things,49,79,18,484
T6,10,17,12,236
Before,38,69,17,502
lob,6,5,12,258
IFConfiguration,72,118,22,542
extension,5,4,13,251
example,23,42,15,253
UMLDI,3,1,67,786
ServiceDsl,44,75,19,460
policy,44,58,20,473
Resolute,69,116,22,534
emffrag_internal,7,6,12,235
ImperativeOCLCS,68,88,22,689
interpreter,4,3,11,231
MoMM,1,0,10,240
ThreeJsWrapperDescriptionLanguage,45,60,17,463
ProjectTrackerResources,7,7,12,232
Jess,126,236,31,963
CharacterScript,53,74,19,487
zvisclasses,20,22,14,262
rule,24,28,15,249
FractalIdt,9,9,12,251
ObjectNotation,37,54,18,460
android,47,78,19,505
gameserver,8,15,13,231
gmfgraph_1.30,264,390,47,1490
SiSiPNML,7,6,12,231
catalog,26,31,17,297
RelationalDBContent,15,28,16,265
QVTcCST,50,67,21,515
Program,5,5,12,228
pushbuttonbuild,22,25,16,256
EMOF,79,128,24,525
connector-configuration,9,9,15,231
Problem,248,247,38,713
timedAutomata,269,436,49,1616
Promenade,1,0,9,221
knowledge,18,27,14,256
CloudML,63,102,21,500
tableur_modifie,12,20,14,231
spem2,300,521,54,1811
frontend.chain,21,36,12,256
component.clojure,8,8,12,243
GenModel,186,240,38,1093
enactment,15,18,13,249
QVTrCST,72,91,23,696
archimate,165,306,38,1375
WikiTable,20,26,15,256
decobat,94,102,25,766
waqtsalat,36,36,17,271
bluexml,272,391,49,1517
simplemath,23,37,16,251
demo,19,23,15,238
AMN,303,433,50,1309
ABC,4,5,11,228
