model,nodes,edges,time,mem
CSS,47,46,85,366
WrspmDomainmodel,10,14,38,302
experiment,5,4,55,556
modembed,203,352,104,1375
xmof,245,431,50,1628
JavaSource,13,22,39,319
bmmOmg,132,358,36,1012
training,20,31,14,342
After,14,22,14,302
SortMerge,10,11,15,319
IdObjectsDsl,34,33,16,333
editor,433,703,75,2487
XUL-Interactorl,97,141,25,664
murdercase,18,23,14,303
MSOfficeExcel_SpreadsheetMLBasicDef,121,197,30,975
ds,126,154,33,962
Spec,58,98,19,678
tigerstripe-core,179,244,42,1019
CoreDsl,182,261,33,1024
ViewPointAD,39,48,17,343
Gatekeeper,172,241,35,1008
TroposIntegratingActorConcept,8,13,12,302
ChooseEditor,87,186,26,687
jobtool,31,41,16,340
designNotes,6,5,12,325
tbool,8,7,12,302
classification,16,18,15,318
storymodel,45,58,19,366
PDL2,23,31,15,319
org.eclipse.emf.cdo.defs,29,39,16,342
Notation,80,98,21,393
GameServerModel,38,72,16,596
RobotTask,52,76,17,660
picu,6,4,12,302
taskmodel,164,250,34,1014
ModelQueryLanguage,11,11,14,297
RFCMapping,72,94,22,647
General,192,218,36,1024
rails,21,30,14,319
wcs100,268,372,69,2424
ServiceFeatureModel,97,127,25,663
GraphML,49,74,20,621
martinfowlerdsl,19,30,15,319
Room,263,438,49,1651
c_sharp,444,810,75,2744
ConditionModel,27,42,15,343
confious.owl,377,779,72,3121
hbmodel,50,53,20,617
SRM,16,21,13,343
graal-featureextensions,4,3,12,302
componentCore,36,45,59,335
ares,31,35,17,343
Contract,10,15,37,296
HaxeDSL,41,57,17,335
org.eclipse.jst.server.generic.servertype,82,98,25,660
rolebinding,16,19,39,318
AbstractUI,5,4,53,303
ddic,133,154,97,1006
diagram,3,2,13,302
GAIA,124,158,54,698
NHSM,9,12,13,303
Xtype,15,15,14,312
esb,215,304,40,1351
MSOfficeExcel_SpreadsheetMLWorkbookProp,1,0,75,302
org.eclipse.emf.cdo.server.defs,55,60,19,379
closures,8,8,13,302
UIML-3.0,11,12,16,549
customer,33,38,16,329
trustMetamodel,35,45,18,336
JKind,78,131,24,634
Enumliterals2,9,9,14,325
ComDiag,14,23,14,316
salesystem,9,12,13,303
tracability,25,43,15,336
environment,96,176,27,686
VDMapping,9,10,13,302
PPTP,40,65,17,329
kompicsComponents,41,65,18,359
PetriNets,14,31,14,309
em,26,25,16,351
MSOfficeExcel_SpreadsheetMLPrintingSetup,514,630,76,2189
fact,75,103,29,888
opmodel,63,106,23,637
Modulob,55,73,21,624
TefkatTrace,17,22,19,302
ObserverAdvice,5,8,11,295
JavaAbstractSyntax,1,0,14,803
diagnostic,12,13,11,317
gmfgraph_1.26,218,341,41,1389
SimpleGMF,5,5,12,302
TextualWorkbench,217,319,62,1468
Perceptory,1,0,10,302
StructuredText,231,228,36,818
ETPhys,47,60,19,614
rosResolutionModel,36,48,18,368
AsmL,172,329,38,1351
builtins,4,3,12,302
tableur_visitable_aspects,16,27,15,343
ProMarte,336,618,61,2212
tracemodel,79,141,25,647
cp1model,30,41,16,342
symbol,107,172,26,941
expr,12,13,14,302
CPL,91,138,24,696
HelloJvmTypes,13,13,14,302
compose,48,79,20,660
api2mol,45,61,18,368
UMLDI-ModelManagement,26,50,17,313
PCS.owl,1184,2425,292,2154
webproject,27,32,16,362
Genesis,22,32,14,375
UserSpiele,20,21,15,350
lcoordinates,16,18,15,350
miner,26,32,15,410
SimpleUML,12,16,13,350
operations,14,15,17,629
frontend.koan,22,33,14,350
XML,25,36,15,374
HTML,172,241,35,1115
ETMap,19,22,14,347
UMLForOOClassModeling,41,58,18,375
CollaborativeMDEProcess,33,44,16,374
actions,43,61,21,959
AutBE,11,12,12,337
EXPRESSb,531,1066,94,3272
ebnfmm,24,43,15,375
ProofProcess-v1.0.0.11,49,74,18,412
QVT_SimpleUML,29,58,17,374
ASMLogo,120,165,26,779
Collaborations_Interactions_UML,43,97,19,387
component.bpel,9,9,13,350
com.ibm.commerce.subscription.facade.datatypes,75,99,179,14770
SecureUML,1,0,8,332
bpmn,172,259,35,1090
RobotMLLibraries,381,476,63,2117
controller,8,8,12,332
RelationsToTraceClass,23,22,15,349
EclipseLaunchConfigurations,135,147,26,466
SonarModelBusPlugin,21,28,14,341
CIM15,4378,7728,717,17591
instance,80,138,62,3359
dependency,24,38,21,261
library_types,1,0,9,230
GeoTrans,1,0,9,240
