model,ext,nodes,edges,time,mem
result0_10000,xmi,9236,9898,1518,32594
result0_100000,xmi,103824,111055,6478,296761
result0_1000000,xmi,971173,1038227,55027,1441214
result0_50000,xmi,45395,48469,2423,127825
result0_500000,xmi,455525,487571,25246,1292098
