model,ext,nodes,edges,time,mem
result0_10000,xmi,10759,12169,3272,40843
result0_100000,xmi,97609,110997,9324,304651
result0_1000000,xmi,1021575,1162157,77096,923222
result0_50000,xmi,52474,59277,3247,162589
result0_500000,xmi,473246,537397,35957,621343
