model,ext,nodes,edges,time,mem
result0_10000,xmi,10042,11237,619,40490
result0_100000,xmi,101907,114017,6635,304560
result0_1000000,xmi,996449,1115750,65092,1336293
result0_50000,xmi,50542,56560,2998,153326
result0_500000,xmi,531876,595221,38993,1579346
