model,ext,nodes,edges,time,mem
result0_10000,xmi,9076,9151,524,32768
result0_100000,xmi,105536,108042,5618,282626
result0_1000000,xmi,958876,1000878,57308,1301780
result0_50000,xmi,48319,49609,2643,134149
result0_500000,xmi,528669,546834,30276,1413122
