model,ext,nodes,edges,time,mem
result0_10000,xmi,10832,10947,611,38580
result0_100000,xmi,104572,105433,7251,294912
result0_1000000,xmi,973877,981935,69365,458278
result0_50000,xmi,48228,48602,3170,139264
result0_500000,xmi,463195,466965,31125,1294336
