model,ext,nodes,edges,time,mem
result0_10000,xmi,10351,11832,412,36869
result0_100000,xmi,94114,105895,5695,290821
result0_1000000,xmi,1027088,2943881,130899,4068674
result0_50000,xmi,54082,61810,3296,172033
result0_500000,xmi,479649,1002465,44122,3780610
