model,ext,nodes,edges,time,mem
result0_10000,xmi,9079,25153,1319,61442
result0_100000,xmi,106747,303093,14550,593922
result0_1000000,xmi,904678,2554388,137555,1001093
result0_50000,xmi,52645,149719,6939,299010
result0_500000,xmi,525591,1493626,75071,1152456
