model,nodes,edges,time,mem
.skriven,22,28,666,7955
101companies,15,18,39,674
abapobj,191,213,110,1354
ABase,13,17,21,533
ABC,4,5,59,444
abnf,47,72,18,600
abstractcim,25,40,15,753
AbstractSyntaxStereotypesUML1.4,7,5,13,467
AbstractUI,70,68,18,758
acad,69,68,604,840
accesscontrol,45,70,16,702
accession,11,18,18,957
account,10,10,15,507
accounting,37,60,15,656
ACG,150,264,24,1260
acl,15,16,15,665
ACME,43,73,16,688
ACON,40,57,11,559
acore,31,45,12,691
action,10,10,10,422
actions,43,61,21,1004
activestatedebugger,23,30,10,422
ActivitiExtensions,93,106,15,868
activity,13,19,10,470
activityDiagram,35,66,11,814
actor,45,70,66,1374
ActorMapping,33,38,12,664
adapter,9,9,15,821
adaptiveSystem,61,102,12,657
AData,36,47,14,655
ada_gen,33,42,11,575
additionalTagMetadata,13,14,10,463
AddressBook,28,44,10,428
addressing,51,68,11,617
ADELFE,41,88,12,655
Adl,125,198,16,1075
Ads,177,277,22,1358
After,14,22,11,515
Agate,274,466,27,1918
agents,10,10,13,626
aggregator_0.8.0,109,138,14,924
Agree,285,353,21,1242
AIP,12,14,9,478
AIService,12,19,8,414
AjModel,46,88,11,619
aladim,43,70,11,657
Alf,304,486,22,2099
Altarica,175,308,18,1287
Amble,1,0,59,428
AML,343,445,26,2349
AMN,155,286,16,1124
analysis,11,12,10,383
android,47,78,13,597
Anfelisa,11,16,9,422
annotation,7,7,9,383
annotationModelReference,3,2,9,434
annotations,22,32,11,478
Ant,170,239,16,1341
Antikythera,38,63,28,702
AntScripts,38,63,34,637
AnyLogic,114,148,15,880
APar,27,25,11,468
api2mol,45,61,12,613
apidesc,83,115,34,671
apimodel,70,100,13,713
AppChoco,21,25,8,383
AppDSL,14,23,8,434
ApplauseDsl,126,213,29,1075
applet,91,118,17,869
application,152,192,17,1774
AppliedStereotypeProperty,6,6,40,422
appmodel,22,26,10,434
AppWeb,24,27,10,478
apromore,37,58,10,637
ArcadeTongame_editor,30,41,13,663
archi,47,82,12,637
archimate,165,306,18,1483
Architectural_Description,17,30,12,423
architecture,5,4,9,390
ArchitectureDSL,70,105,11,623
arduino,114,167,16,923
ares,31,35,9,617
Arithmetics,34,58,10,619
arm,36,61,9,606
article,80,146,11,869
ASL,294,307,22,1064
ASM,1,0,6,557
AsmL,172,329,16,1325
ASMLogo,53,99,17,691
aspectbind,122,205,17,1075
aspectj,85,138,12,935
aspectualacme,35,61,8,637
Assert,31,47,8,619
asset,187,268,16,1407
Assignments,14,18,8,390
associationoverride,12,14,7,352
ast,54,76,10,847
aterms,48,54,9,454
AthenaDSL,172,241,14,1124
ATL-0.2,142,318,39,4196
ATL-Profiler,33,41,8,597
