model,nodes,edges,time,mem
city2,13,16,7,340
cityfurniture,24,24,37,4552
citygml,62,74,44,4810
cityobjectgroup,39,41,37,4644
CL,90,118,14,1377
claim,19,25,9,523
Class,1,0,33,371
ClassDiagram,42,63,9,524
classDomain,41,71,9,648
ClassicModels,77,120,9,709
classification,16,18,12,319
ClassMM,19,27,8,272
ClassModel,76,112,10,536
class_diagramm,49,72,9,635
class_diagramm_simple,17,16,8,427
class_diagramm_tgg_rule,22,21,8,406
client,84,91,11,552
Clientes,26,30,40,385
closures,8,8,7,351
cloud,8,9,6,351
CloudML,63,102,9,544
cm,54,72,10,623
cmd,24,35,9,502
cmengine,106,195,11,862
CML,1,0,6,521
cmsl,149,183,24,807
cmt.owl,88,204,11,767
Coaster,28,30,9,310
COBOL,64,86,11,536
Cocus.owl,164,345,15,1306
codeAssistStruts,58,74,12,719
codesyncjava,41,38,11,319
codesyncxml,7,11,10,552
Collaborations_Interactions_UML,48,101,11,552
CollaborativeMDEProcess,33,44,10,521
collaviz,43,66,10,579
collection,22,24,11,936
com.ibm.commerce.catalog.facade.datatypes,702,947,98,11367
com.ibm.commerce.content.facade.datatypes,395,545,60,9643
com.ibm.commerce.contract.facade.datatypes,41,54,36,6269
com.ibm.commerce.foundation.datatypes,530,586,52,6012
com.ibm.commerce.giftcenter.facade.datatypes,129,158,38,13899
com.ibm.commerce.infrastructure.facade.datatypes,125,167,38,4392
com.ibm.commerce.installment.facade.datatypes,140,187,46,4379
com.ibm.commerce.inventory.facade.datatypes,132,161,45,6421
com.ibm.commerce.marketing.facade.datatypes,563,740,66,11465
com.ibm.commerce.member.datatypes,74,83,34,12218
com.ibm.commerce.member.facade.datatypes,337,431,58,5813
com.ibm.commerce.oagis9.datatypes.codelists,282,281,16,1494
com.ibm.commerce.oagis9.datatypes,2361,3760,175,8762
com.ibm.commerce.oagis9.datatypes.unqualifieddatatypes,72,71,11,1711
com.ibm.commerce.order.facade.datatypes,464,583,61,9340
com.ibm.commerce.payment.datatypes,219,289,39,13286
com.ibm.commerce.price.facade.datatypes,290,394,55,7990
com.ibm.commerce.promotion.facade.datatypes,140,174,39,5110
com.ibm.commerce.search.facade.datatypes,56,74,38,5078
com.ibm.commerce.store.facade.datatypes,82,104,36,6619
com.ibm.commerce.subscription.facade.datatypes,75,99,45,7945
com.ibm.commerce.wallet.facade.datatypes,121,165,39,13845
ComBE,67,89,10,670
ComDiag,14,23,7,352
Common,18,25,7,385
commonarchivecore,50,85,14,1898
CommonModeling,22,31,10,403
Company,59,86,11,659
CompanyStructure,15,21,6,327
compiler,33,42,9,337
CompleteGUIdancerComponentHierarchy,62,74,12,581
completemodel,18,18,8,278
CompleteOCLCST,41,56,10,505
component.bean,8,8,9,265
component.bpel,9,9,7,276
component.camel,14,16,17,3979
component.camel.quartz,15,16,11,683
component.camel.sql,17,18,11,679
component.clojure,8,8,7,265
component.common.selector,17,20,11,709
Component,8,7,10,328
component.hornetq,64,72,10,1024
component.http,30,34,9,816
component.jca,54,75,14,999
component.remote,7,7,7,291
component.resteasy,29,33,11,735
component.soap,62,79,13,979
componentCore,36,45,9,485
componentMapping,26,30,8,335
componentmodel,33,32,13,487
components,39,59,13,519
ComponentUML,1,0,6,307
component_instantiation,33,36,7,298
compose,48,79,9,524
compositeForm,26,39,12,879
