model,nodes,edges,time,mem
.skriven,22,28,636,9499
101companies,15,18,27,738
abapobj,191,213,111,1263
ABase,13,17,14,283
ABC,4,5,65,349
abnf,47,72,14,595
abstractcim,25,40,17,533
AbstractSyntaxStereotypesUML1.4,7,5,10,540
AbstractUI,70,68,20,567
acad,69,68,535,976
accesscontrol,45,70,12,523
accession,11,18,20,982
account,10,10,11,505
accounting,37,60,11,560
ACG,150,264,18,1217
acl,15,16,15,673
ACME,43,73,11,634
ACON,40,57,12,435
acore,31,45,12,482
action,10,10,10,449
actions,43,61,15,941
activestatedebugger,23,30,9,510
ActivitiExtensions,93,106,15,905
activity,13,19,10,540
activityDiagram,35,66,12,646
actor,45,70,61,1270
ActorMapping,33,38,11,558
adapter,9,9,11,802
adaptiveSystem,61,102,15,638
AData,36,47,10,546
ada_gen,33,42,10,467
additionalTagMetadata,13,14,13,398
AddressBook,28,44,10,493
addressing,51,68,13,603
ADELFE,41,88,11,638
Adl,125,198,14,1023
Ads,177,277,18,1319
After,14,22,11,426
Agate,274,466,27,1794
agents,10,10,9,499
aggregator_0.8.0,109,138,14,929
Agree,285,353,23,1217
AIP,12,14,9,402
AIService,12,19,8,499
AjModel,46,88,11,638
aladim,43,70,11,522
Alf,304,486,23,2012
Altarica,175,308,19,1339
Amble,1,0,50,456
AML,343,445,26,2246
AMN,155,286,16,1097
analysis,11,12,9,378
android,47,78,10,641
Anfelisa,11,16,8,378
annotation,7,7,8,378
annotationModelReference,3,2,8,377
annotations,22,32,9,523
Ant,170,239,16,1217
Antikythera,38,63,9,558
AntScripts,38,63,13,584
AnyLogic,114,148,13,956
APar,27,25,58,522
api2mol,45,61,10,468
apidesc,83,115,14,689
apimodel,70,100,14,577
AppChoco,21,25,10,435
AppDSL,14,23,9,447
ApplauseDsl,126,213,54,945
applet,91,118,14,904
application,152,192,18,1611
AppliedStereotypeProperty,6,6,51,349
appmodel,22,26,12,458
AppWeb,24,27,10,567
apromore,37,58,9,540
ArcadeTongame_editor,30,41,10,483
archi,47,82,10,709
archimate,165,306,16,1455
Architectural_Description,17,30,10,482
architecture,5,4,8,336
ArchitectureDSL,70,105,12,700
arduino,114,167,13,929
ares,31,35,9,472
Arithmetics,34,58,14,484
arm,36,61,13,510
article,80,146,14,783
ASL,294,307,18,979
ASM,1,0,7,470
AsmL,172,329,16,1325
ASMLogo,53,99,13,639
aspectbind,122,205,13,928
aspectj,85,138,11,867
aspectualacme,35,61,10,498
Assert,31,47,9,522
asset,187,268,18,1414
Assignments,14,18,8,311
associationoverride,12,14,9,423
ast,54,76,10,698
aterms,48,54,10,470
AthenaDSL,172,241,15,1182
ATL-0.2,142,318,44,4317
ATL-Profiler,33,41,11,470
ATL,92,172,13,1064
atl2java,47,88,11,627
ATLMLM,98,183,13,1156
atl_types,45,72,11,679
atm,103,102,554,979
ATOM,1,0,7,567
atomic,23,46,11,498
AtsDsl,142,197,14,1024
attributes,9,11,8,391
auction,23,24,8,337
AUIML,1002,1772,101,5529
AutBE,11,12,10,306
autocgmodel,10,14,8,435
Automaton,14,20,8,484
Avm,37,70,10,592
AWKPrograms,1,0,6,470
Axdt,21,39,8,591
B,5,5,8,378
backbone,155,189,14,730
Balanced,197,260,18,1585
banner,14,16,8,408
Base,4,3,7,435
BaseCST,144,274,15,1293
BaseOutputMetamodel,10,14,8,361
BaseUI,15,22,10,414
basic,5,4,7,299
BasicBlocks,15,19,9,336
BatchDsl,25,30,10,480
BD,20,29,10,471
BDDModel,34,50,10,482
Before,97,127,11,717
bf,28,39,8,378
BibTeX,140,139,15,974
BibTeX1.1,34,66,9,509
BIBTEXML,292,323,20,2121
bigpicture,16,23,11,482
binding,25,31,10,803
bindingdialect,18,34,8,566
bio_src,51,62,11,577
bio_tgt,47,57,10,522
BippoMall,10,10,8,391
Bitbucketmgr,10,11,8,311
BlockClassBase,12,17,10,720
blockDomain,33,63,14,625
bluexml,272,391,19,1632
BMM,80,155,15,754
bmmOmg,132,358,17,1223
Bnl,3,2,7,349
bodymodel,57,102,10,627
BON,66,117,11,627
bonide,63,83,10,709
bonide_PandO,83,133,11,876
BONModel_EMF,83,133,12,771
Book,67,90,12,693
books,8,8,9,498
bookStore,32,49,9,482
bool,13,22,10,482
BooleanExpressions,26,37,8,433
bootstrap,46,74,9,579
Bossa,318,510,25,2132
bowling,21,28,9,435
box,55,76,12,691
BoxMM,29,58,9,534
bpeldiag,5,3,10,349
BPM,13,18,7,349
bpmn,107,195,13,1024
bpmn20,491,872,32,3581
bpmn20di,34,46,11,523
bpmn20exec,11,12,10,409
bpmn20_ttc,633,1146,36,4179
bpmndi,35,42,15,1732
bpsim,197,291,19,1536
BQL,23,34,11,482
BrnHandlers,361,532,26,2333
BrokerDSL,260,259,16,824
Bugzilla,13,11,10,455
Build,13,12,8,435
BuildDSL,13,16,8,482
builder,31,50,9,510
building,182,225,42,11492
builtins,21,16,8,370
BundleProject,104,124,14,874
business,72,136,11,729
BusinessDomainDsl,91,149,15,859
BusinessEntityModel,19,36,11,579
BusinessObjectDsl,22,31,9,368
BusinessProcessModel,44,87,10,575
Byteman,126,199,13,1023
bz377606,9,9,8,417
C,11,18,11,313
cache_model,19,19,10,529
CADM,106,210,15,1069
Cal,210,354,17,1299
calc,51,82,10,557
Calendar,31,42,9,527
caltrop,68,97,36,1158
camel-spring,1584,2633,103,10618
canopen,958,1314,58,5931
canvas,14,20,8,362
CaPtah,32,51,11,536
capua,40,78,10,598
car,13,21,8,418
CardTemplate,11,13,7,362
carnot,499,928,63,3812
carrental,22,24,9,346
Cars,22,26,9,342
cartesianCoordinateSystem,27,41,9,310
cascadenotall,17,23,7,302
catalog,26,31,9,344
caz,28,41,11,538
cbe,90,110,12,775
CD,38,61,9,489
