model,nodes,edges,time,mem
.skriven,22,28,1123,9375
101companies,15,18,62,573
abapobj,191,213,273,1498
ABase,13,17,37,271
ABC,4,5,138,267
abnf,47,72,52,515
abstractcim,25,40,46,532
AbstractSyntaxStereotypesUML1.4,7,5,28,482
AbstractUI,70,68,47,602
acad,69,68,507,792
accesscontrol,45,70,38,558
accession,11,18,36,788
account,10,10,26,422
accounting,37,60,36,383
ACG,150,264,59,1222
acl,15,16,101,639
ACME,43,73,33,635
ACON,40,57,34,314
acore,31,45,32,466
action,10,10,26,274
actions,43,61,35,992
activestatedebugger,23,30,30,470
ActivitiExtensions,93,106,38,906
activity,13,19,24,503
activityDiagram,35,66,24,624
actor,45,70,73,1003
ActorMapping,33,38,23,523
adapter,9,9,26,742
adaptiveSystem,61,102,31,638
AData,36,47,31,503
ada_gen,33,42,32,467
additionalTagMetadata,13,14,23,367
AddressBook,28,44,25,456
addressing,51,68,29,557
ADELFE,41,88,26,639
Adl,125,198,33,824
Ads,177,277,46,1200
After,14,22,25,514
Agate,274,466,71,1891
agents,10,10,22,504
aggregator_0.8.0,109,138,32,837
Agree,285,353,49,1218
AIP,12,14,16,319
AIService,12,19,16,498
AjModel,46,88,20,639
aladim,43,70,22,481
Alf,304,486,56,2022
Altarica,175,308,60,1339
Amble,1,0,134,421
AML,343,445,58,2277
AMN,155,286,40,1222
analysis,11,12,73,349
android,47,78,24,627
Anfelisa,11,16,20,348
annotation,7,7,19,313
annotationModelReference,3,2,22,360
annotations,22,32,25,523
Ant,170,239,84,1185
Antikythera,38,63,26,558
AntScripts,38,63,26,499
AnyLogic,114,148,37,953
APar,27,25,24,482
api2mol,45,61,18,467
apidesc,83,115,28,676
apimodel,70,100,22,565
AppChoco,21,25,17,435
AppDSL,14,23,16,447
ApplauseDsl,126,213,25,944
applet,91,118,25,906
application,152,192,35,1605
AppliedStereotypeProperty,6,6,71,349
appmodel,22,26,20,482
AppWeb,24,27,18,523
apromore,37,58,21,481
ArcadeTongame_editor,30,41,18,523
archi,47,82,17,620
archimate,165,306,27,1529
Architectural_Description,17,30,16,482
architecture,5,4,18,310
ArchitectureDSL,70,105,26,580
arduino,114,167,29,891
ares,31,35,21,435
Arithmetics,34,58,18,517
arm,36,61,18,470
article,80,146,24,784
ASL,294,307,32,1006
ASM,1,0,18,470
AsmL,172,329,35,1416
ASMLogo,53,99,23,680
aspectbind,122,205,30,956
aspectj,85,138,21,838
aspectualacme,35,61,22,499
Assert,31,47,21,482
asset,187,268,36,1442
Assignments,14,18,13,310
associationoverride,12,14,15,423
ast,54,76,19,735
aterms,48,54,20,435
AthenaDSL,172,241,28,1113
ATL-0.2,142,318,51,4169
ATL-Profiler,33,41,23,506
ATL,92,172,30,1183
atl2java,47,88,18,627
ATLMLM,98,183,27,1183
atl_types,45,72,16,680
atm,103,102,512,911
ATOM,1,0,16,448
atomic,23,46,17,498
AtsDsl,142,197,22,957
attributes,9,11,16,360
auction,23,24,16,310
AUIML,1002,1772,170,5601
AutBE,11,12,15,334
autocgmodel,10,14,13,435
Automaton,14,20,13,481
