model,nodes,edges,time,mem
.skriven,22,28,568,7755
101companies,15,18,34,843
abapobj,191,213,136,1418
ABase,13,17,23,479
ABC,4,5,79,323
abnf,47,72,21,729
abstractcim,25,40,21,769
AbstractSyntaxStereotypesUML1.4,7,5,15,467
AbstractUI,70,68,19,772
acad,69,68,497,968
accesscontrol,45,70,26,801
accession,11,18,22,949
account,10,10,14,525
accounting,37,60,18,664
ACG,150,264,32,1179
acl,15,16,17,658
ACME,43,73,18,737
ACON,40,57,17,477
acore,31,45,14,727
action,10,10,11,420
actions,43,61,19,999
activestatedebugger,23,30,13,453
ActivitiExtensions,93,106,20,930
activity,13,19,12,506
activityDiagram,35,66,15,791
actor,45,70,85,1276
ActorMapping,33,38,15,562
adapter,9,9,17,910
adaptiveSystem,61,102,17,724
AData,36,47,17,704
ada_gen,33,42,15,572
additionalTagMetadata,13,14,13,462
AddressBook,28,44,14,459
addressing,51,68,18,662
ADELFE,41,88,16,664
Adl,125,198,25,1024
Ads,177,277,30,1405
After,14,22,13,419
Agate,274,466,64,1930
agents,10,10,17,704
aggregator_0.8.0,109,138,20,1003
Agree,285,353,30,1276
AIP,12,14,10,561
AIService,12,19,11,461
AjModel,46,88,18,672
aladim,43,70,16,653
Alf,304,486,31,1993
Altarica,175,308,21,1286
Amble,1,0,54,427
AML,343,445,32,2330
AMN,155,286,23,1102
analysis,11,12,9,372
android,47,78,12,629
Anfelisa,11,16,10,400
annotation,7,7,11,452
annotationModelReference,3,2,10,433
annotations,22,32,13,514
Ant,170,239,19,1270
Antikythera,38,63,57,759
AntScripts,38,63,13,711
AnyLogic,114,148,16,951
APar,27,25,12,454
api2mol,45,61,11,658
apidesc,83,115,45,720
apimodel,70,100,15,709
AppChoco,21,25,11,400
AppDSL,14,23,10,466
ApplauseDsl,126,213,34,1064
applet,91,118,18,908
application,152,192,22,1852
AppliedStereotypeProperty,6,6,52,420
appmodel,22,26,10,455
AppWeb,24,27,11,514
apromore,37,58,10,731
ArcadeTongame_editor,30,41,12,562
archi,47,82,12,712
archimate,165,306,23,1585
Architectural_Description,17,30,11,466
architecture,5,4,10,418
ArchitectureDSL,70,105,13,698
arduino,114,167,15,925
ares,31,35,12,598
Arithmetics,34,58,12,664
arm,36,61,14,604
article,80,146,17,816
ASL,294,307,24,1108
ASM,1,0,9,603
AsmL,172,329,22,1368
ASMLogo,53,99,12,699
aspectbind,122,205,18,1064
aspectj,85,138,15,927
aspectualacme,35,61,11,661
Assert,31,47,10,634
asset,187,268,19,1292
Assignments,14,18,10,388
associationoverride,12,14,9,389
ast,54,76,14,698
aterms,48,54,12,412
AthenaDSL,172,241,21,1102
ATL-0.2,142,318,38,4174
ATL-Profiler,33,41,10,584
ATL,92,172,16,1067
atl2java,47,88,12,692
ATLMLM,98,183,19,1078
atl_types,45,72,11,661
atm,103,102,519,1002
ATOM,1,0,8,562
atomic,23,46,12,467
AtsDsl,142,197,17,992
attributes,9,11,9,466
auction,23,24,13,351
AUIML,1002,1772,123,5613
AutBE,11,12,9,388
autocgmodel,10,14,11,412
Automaton,14,20,8,467
Avm,37,70,9,650
AWKPrograms,1,0,7,362
Axdt,21,39,10,650
B,5,5,11,420
backbone,155,189,19,775
Balanced,197,260,23,1677
banner,14,16,10,413
Base,4,3,11,522
BaseCST,144,274,20,1483
BaseOutputMetamodel,10,14,10,450
BaseUI,15,22,9,505
basic,5,4,9,418
BasicBlocks,15,19,12,529
BatchDsl,25,30,12,559
BD,20,29,12,383
BDDModel,34,50,11,466
Before,97,127,13,721
bf,28,39,10,411
BibTeX,140,139,17,965
BibTeX1.1,34,66,10,650
