model,nodes,edges,time,mem
.skriven,22,28,35,272
101companies,15,18,8,275
abapobj,191,213,31,1075
ABase,13,17,8,243
ABC,4,5,17,243
abnf,47,72,10,495
abstractcim,25,40,9,478
AbstractSyntaxStereotypesUML1.4,7,5,26,243
AbstractUI,70,68,10,520
acad,69,68,612,723
accesscontrol,45,70,10,507
accession,11,18,8,650
account,10,10,6,258
accounting,37,60,8,495
ACG,150,264,14,1041
acl,15,16,9,258
ACME,43,73,9,490
ACON,40,57,9,496
acore,31,45,9,289
action,10,10,9,243
actions,43,61,10,761
activestatedebugger,23,30,12,275
ActivitiExtensions,93,106,11,772
activity,13,19,9,260
activityDiagram,35,66,10,490
actor,45,70,96,907
ActorMapping,33,38,10,292
adapter,9,9,8,664
adaptiveSystem,61,102,10,570
AData,36,47,8,289
ada_gen,33,42,7,292
additionalTagMetadata,13,14,6,255
AddressBook,28,44,18,273
addressing,51,68,11,508
ADELFE,41,88,10,510
Adl,125,198,12,804
Ads,177,277,15,1100
After,14,22,7,257
Agate,274,466,19,1826
agents,10,10,8,460
aggregator_0.8.0,109,138,12,777
Agree,285,353,15,1110
AIP,12,14,8,260
AIService,12,19,10,257
AjModel,46,88,12,510
aladim,43,70,10,493
Alf,304,486,20,1849
Altarica,175,308,15,1315
Amble,1,0,20,241
AML,343,445,23,2102
AMN,155,286,14,1070
analysis,11,12,5,257
android,47,78,8,495
Anfelisa,11,16,8,257
annotation,7,7,7,243
annotationModelReference,3,2,7,243
annotations,22,32,8,272
Ant,170,239,14,1060
Antikythera,38,63,9,495
AntScripts,38,63,14,493
AnyLogic,114,148,11,797
APar,27,25,9,273
api2mol,45,61,9,496
apidesc,83,115,19,552
apimodel,70,100,13,542
AppChoco,21,25,9,257
AppDSL,14,23,6,275
ApplauseDsl,126,213,20,804
applet,91,118,12,809
application,152,192,14,1671
AppliedStereotypeProperty,6,6,21,243
appmodel,22,26,7,257
AppWeb,24,27,7,272
apromore,37,58,9,492
ArcadeTongame_editor,30,41,9,275
archi,47,82,9,507
archimate,165,306,13,1372
Architectural_Description,17,30,8,275
architecture,5,4,7,243
ArchitectureDSL,70,105,10,538
arduino,114,167,13,794
ares,31,35,7,289
Arithmetics,34,58,10,292
arm,36,61,9,493
article,80,146,14,763
ASL,294,307,16,985
ASM,1,0,7,446
AsmL,172,329,16,1316
ASMLogo,53,99,9,508
aspectbind,122,205,11,804
aspectj,85,138,13,762
aspectualacme,35,61,8,492
Assert,31,47,7,275
asset,187,268,16,1298
Assignments,14,18,6,260
associationoverride,12,14,6,275
ast,54,76,9,510
aterms,48,54,6,313
AthenaDSL,172,241,12,1068
ATL-0.2,142,318,20,4130
ATL-Profiler,33,41,18,292
ATL,92,172,15,992
atl2java,47,88,11,510
ATLMLM,98,183,13,993
atl_types,45,72,9,492
atm,103,102,613,823
ATOM,1,0,6,243
atomic,23,46,8,275
AtsDsl,142,197,15,829
attributes,9,11,8,243
auction,23,24,9,275
AUIML,1002,1772,65,5578
AutBE,11,12,7,255
autocgmodel,10,14,23,243
Automaton,14,20,10,258
Avm,37,70,10,478
AWKPrograms,1,0,4,243
Axdt,21,39,8,478
B,5,5,9,243
backbone,155,189,13,629
Balanced,197,260,18,1289
banner,14,16,7,260
Base,4,3,6,243
BaseCST,144,274,15,1040
BaseOutputMetamodel,10,14,9,257
BaseUI,15,22,8,275
basic,5,4,7,242
BasicBlocks,15,19,8,258
BatchDsl,25,30,9,287
BD,20,29,8,275
BDDModel,34,50,8,290
Before,97,127,12,562
bf,28,39,7,289
BibTeX,140,139,13,814
BibTeX1.1,34,66,10,493
BIBTEXML,292,323,20,2039
bigpicture,16,23,7,255
binding,25,31,8,682
bindingdialect,18,34,9,275
bio_src,51,62,8,536
bio_tgt,47,57,7,508
BippoMall,10,10,8,243
Bitbucketmgr,10,11,10,258
BlockClassBase,12,17,7,443
blockDomain,33,63,9,491
bluexml,272,391,18,1639
BMM,80,155,12,758
bmmOmg,132,358,15,1071
Bnl,3,2,7,243
bodymodel,57,102,10,552
BON,66,117,10,539
bonide,63,83,10,528
bonide_PandO,83,133,13,551
BONModel_EMF,83,133,13,544
Book,67,90,12,522
books,8,8,6,243
bookStore,32,49,7,289
bool,13,22,6,258
BooleanExpressions,26,37,7,290
bootstrap,46,74,10,493
Bossa,318,510,19,2085
bowling,21,28,8,275
box,55,76,10,507
BoxMM,29,58,8,275
bpeldiag,5,3,6,243
BPM,13,18,6,261
bpmn,107,195,12,789
bpmn20,491,872,31,3295
bpmn20di,34,46,9,490
bpmn20exec,11,12,7,243
bpmn20_ttc,633,1146,34,4116
bpmndi,35,42,10,1726
bpsim,197,291,18,1347
BQL,23,34,10,275
BrnHandlers,361,532,23,2188
BrokerDSL,260,259,15,741
