model,nodes,edges,time,mem
.skriven,22,28,9,272
101companies,15,18,6,259
abapobj,191,213,13,1088
ABase,13,17,6,252
ABC,4,5,23,245
abnf,47,72,17,499
abstractcim,25,40,7,476
AbstractSyntaxStereotypesUML1.4,7,5,17,245
AbstractUI,70,68,7,522
acad,69,68,544,723
accesscontrol,45,70,11,502
accession,11,18,8,660
account,10,10,5,245
accounting,37,60,7,497
ACG,150,264,14,1101
acl,15,16,8,259
ACME,43,73,8,509
ACON,40,57,7,504
acore,31,45,8,294
action,10,10,6,253
actions,43,61,10,909
activestatedebugger,23,30,7,254
ActivitiExtensions,93,106,13,759
activity,13,19,5,273
activityDiagram,35,66,7,483
actor,45,70,93,912
ActorMapping,33,38,8,272
adapter,9,9,7,659
adaptiveSystem,61,102,10,536
AData,36,47,8,293
ada_gen,33,42,8,269
additionalTagMetadata,13,14,7,272
AddressBook,28,44,6,294
addressing,51,68,15,501
ADELFE,41,88,7,504
Adl,125,198,11,800
Ads,177,277,15,1308
After,14,22,6,247
Agate,274,466,20,1844
agents,10,10,7,448
aggregator_0.8.0,109,138,12,785
Agree,285,353,37,1124
AIP,12,14,6,253
AIService,12,19,6,265
AjModel,46,88,8,511
aladim,43,70,9,502
Alf,304,486,17,1861
Altarica,175,308,15,1112
Amble,1,0,17,245
AML,343,445,22,2107
AMN,155,286,11,1066
analysis,11,12,8,245
android,47,78,7,545
Anfelisa,11,16,6,248
annotation,7,7,7,245
annotationModelReference,3,2,8,245
annotations,22,32,7,280
Ant,170,239,13,1054
Antikythera,38,63,8,497
AntScripts,38,63,9,502
AnyLogic,114,148,14,856
APar,27,25,8,272
api2mol,45,61,9,315
apidesc,83,115,10,536
apimodel,70,100,10,533
AppChoco,21,25,7,293
AppDSL,14,23,17,252
ApplauseDsl,126,213,13,807
applet,91,118,11,757
application,152,192,16,1656
AppliedStereotypeProperty,6,6,19,245
appmodel,22,26,6,293
AppWeb,24,27,9,266
apromore,37,58,9,483
ArcadeTongame_editor,30,41,7,286
archi,47,82,10,509
archimate,165,306,17,1388
Architectural_Description,17,30,6,272
architecture,5,4,7,242
ArchitectureDSL,70,105,12,536
arduino,114,167,12,791
ares,31,35,8,272
Arithmetics,34,58,8,293
arm,36,61,8,301
article,80,146,12,756
ASL,294,307,18,960
ASM,1,0,4,449
AsmL,172,329,15,1323
ASMLogo,53,99,8,511
aspectbind,122,205,15,800
aspectj,85,138,13,755
aspectualacme,35,61,9,482
Assert,31,47,10,286
asset,187,268,16,1308
Assignments,14,18,7,250
associationoverride,12,14,6,246
ast,54,76,11,518
aterms,48,54,8,298
AthenaDSL,172,241,14,1082
ATL-0.2,142,318,16,3968
ATL-Profiler,33,41,15,294
ATL,92,172,10,971
atl2java,47,88,8,512
ATLMLM,98,183,9,984
atl_types,45,72,8,504
atm,103,102,573,766
ATOM,1,0,6,245
atomic,23,46,8,279
AtsDsl,142,197,12,827
attributes,9,11,8,245
auction,23,24,7,257
AUIML,1002,1772,58,5572
AutBE,11,12,7,246
autocgmodel,10,14,6,252
Automaton,14,20,7,252
Avm,37,70,7,490
AWKPrograms,1,0,6,245
Axdt,21,39,7,458
B,5,5,5,245
backbone,155,189,11,624
Balanced,197,260,15,1283
banner,14,16,8,253
Base,4,3,7,245
BaseCST,144,274,18,1045
BaseOutputMetamodel,10,14,6,245
BaseUI,15,22,8,252
basic,5,4,8,243
BasicBlocks,15,19,7,252
BatchDsl,25,30,10,272
BD,20,29,7,259
BDDModel,34,50,8,279
Before,97,127,14,574
bf,28,39,9,272
BibTeX,140,139,12,815
BibTeX1.1,34,66,9,483
BIBTEXML,292,323,24,2042
bigpicture,16,23,10,272
binding,25,31,9,674
bindingdialect,18,34,9,272
bio_src,51,62,11,511
bio_tgt,47,57,8,502
BippoMall,10,10,9,253
Bitbucketmgr,10,11,7,242
BlockClassBase,12,17,9,456
blockDomain,33,63,9,483
bluexml,272,391,20,1639
BMM,80,155,9,754
bmmOmg,132,358,17,1065
Bnl,3,2,6,245
bodymodel,57,102,13,513
BON,66,117,10,536
bonide,63,83,8,519
bonide_PandO,83,133,10,543
BONModel_EMF,83,133,12,559
Book,67,90,10,570
books,8,8,6,253
bookStore,32,49,7,279
bool,13,22,7,253
BooleanExpressions,26,37,7,269
bootstrap,46,74,8,504
Bossa,318,510,20,1918
bowling,21,28,7,260
box,55,76,7,509
BoxMM,29,58,7,309
bpeldiag,5,3,5,245
BPM,13,18,7,255
bpmn,107,195,13,780
bpmn20,491,872,30,3306
bpmn20di,34,46,7,496
bpmn20exec,11,12,9,245
bpmn20_ttc,633,1146,36,4096
bpmndi,35,42,9,1706
bpsim,197,291,30,1373
BQL,23,34,8,272
BrnHandlers,361,532,20,2187
BrokerDSL,260,259,16,728
Bugzilla,13,11,7,252
Build,13,12,7,246
BuildDSL,13,16,7,253
builder,31,50,9,483
building,182,225,38,11526
builtins,21,16,8,257
BundleProject,104,124,11,802
business,72,136,9,541
BusinessDomainDsl,91,149,12,784
BusinessEntityModel,19,36,7,267
BusinessObjectDsl,22,31,5,274
BusinessProcessModel,44,87,9,516
Byteman,126,199,11,827
bz377606,9,9,4,262
C,11,18,6,260
cache_model,19,19,7,262
CADM,106,210,10,821
Cal,210,354,19,1371
