model,nodes,edges,time,mem
.skriven,22,28,26,271
101companies,15,18,6,256
abapobj,191,213,23,1072
ABase,13,17,8,261
ABC,4,5,23,258
abnf,47,72,9,489
abstractcim,25,40,7,483
AbstractSyntaxStereotypesUML1.4,7,5,6,245
AbstractUI,70,68,10,521
acad,69,68,622,706
accesscontrol,45,70,11,489
accession,11,18,10,664
account,10,10,8,245
accounting,37,60,8,488
ACG,150,264,36,1040
acl,15,16,9,261
ACME,43,73,17,492
ACON,40,57,9,484
acore,31,45,9,287
action,10,10,7,262
actions,43,61,11,908
activestatedebugger,23,30,9,302
ActivitiExtensions,93,106,14,758
activity,13,19,7,261
activityDiagram,35,66,11,482
actor,45,70,96,895
ActorMapping,33,38,10,278
adapter,9,9,8,650
adaptiveSystem,61,102,10,527
AData,36,47,10,287
ada_gen,33,42,9,281
additionalTagMetadata,13,14,9,261
AddressBook,28,44,7,281
addressing,51,68,12,499
ADELFE,41,88,10,498
Adl,125,198,13,794
Ads,177,277,15,1292
After,14,22,7,261
Agate,274,466,19,1824
agents,10,10,9,463
aggregator_0.8.0,109,138,12,768
Agree,285,353,17,1120
AIP,12,14,8,242
AIService,12,19,9,245
AjModel,46,88,11,502
aladim,43,70,9,488
Alf,304,486,20,1855
Altarica,175,308,15,1315
Amble,1,0,20,235
AML,343,445,21,2089
AMN,155,286,13,1059
analysis,11,12,6,261
android,47,78,9,515
Anfelisa,11,16,7,261
annotation,7,7,7,245
annotationModelReference,3,2,8,245
annotations,22,32,9,271
Ant,170,239,15,1056
Antikythera,38,63,10,489
AntScripts,38,63,21,489
AnyLogic,114,148,14,778
APar,27,25,10,261
api2mol,45,61,10,492
apidesc,83,115,11,541
apimodel,70,100,12,537
AppChoco,21,25,9,256
AppDSL,14,23,7,252
ApplauseDsl,126,213,14,811
applet,91,118,11,772
application,152,192,17,1666
AppliedStereotypeProperty,6,6,24,245
appmodel,22,26,8,261
AppWeb,24,27,8,264
apromore,37,58,8,489
ArcadeTongame_editor,30,41,11,278
archi,47,82,10,498
archimate,165,306,16,1262
Architectural_Description,17,30,8,261
architecture,5,4,7,245
ArchitectureDSL,70,105,12,530
arduino,114,167,12,794
ares,31,35,9,272
Arithmetics,34,58,11,311
arm,36,61,10,489
article,80,146,26,752
ASL,294,307,24,969
ASM,1,0,7,436
AsmL,172,329,17,1315
ASMLogo,53,99,7,518
aspectbind,122,205,14,794
aspectj,85,138,12,736
aspectualacme,35,61,11,488
Assert,31,47,11,304
asset,187,268,18,1305
Assignments,14,18,10,255
associationoverride,12,14,9,261
ast,54,76,16,501
aterms,48,54,9,282
AthenaDSL,172,241,12,1072
ATL-0.2,142,318,17,4115
ATL-Profiler,33,41,8,294
ATL,92,172,11,969
atl2java,47,88,10,501
ATLMLM,98,183,14,969
atl_types,45,72,9,532
atm,103,102,598,757
ATOM,1,0,6,233
atomic,23,46,10,271
AtsDsl,142,197,15,823
attributes,9,11,9,245
auction,23,24,10,255
AUIML,1002,1772,62,5575
AutBE,11,12,9,240
autocgmodel,10,14,9,240
Automaton,14,20,9,309
Avm,37,70,8,482
AWKPrograms,1,0,4,258
Axdt,21,39,10,473
B,5,5,9,245
