model,nodes,edges,time,mem
.skriven,22,28,12,268
101companies,15,18,5,293
abapobj,191,213,22,1075
ABase,13,17,6,263
ABC,4,5,25,263
abnf,47,72,7,545
abstractcim,25,40,7,302
AbstractSyntaxStereotypesUML1.4,7,5,7,275
AbstractUI,70,68,9,342
acad,69,68,524,725
accesscontrol,45,70,8,325
accession,11,18,8,704
account,10,10,5,275
accounting,37,60,7,506
ACG,150,264,26,1041
acl,15,16,7,272
ACME,43,73,8,546
ACON,40,57,9,331
acore,31,45,8,304
action,10,10,8,263
actions,43,61,7,759
activestatedebugger,23,30,6,289
ActivitiExtensions,93,106,9,755
activity,13,19,9,275
activityDiagram,35,66,17,303
actor,45,70,90,755
ActorMapping,33,38,7,287
adapter,9,9,6,485
adaptiveSystem,61,102,7,569
AData,36,47,7,311
ada_gen,33,42,7,306
additionalTagMetadata,13,14,6,276
AddressBook,28,44,6,309
addressing,51,68,21,550
ADELFE,41,88,8,543
Adl,125,198,10,854
Ads,177,277,13,1139
After,14,22,6,266
Agate,274,466,17,1652
agents,10,10,7,457
aggregator_0.8.0,109,138,9,775
Agree,285,353,16,1114
AIP,12,14,8,266
AIService,12,19,7,266
AjModel,46,88,8,551
aladim,43,70,9,548
Alf,304,486,18,1849
Altarica,175,308,15,1300
Amble,1,0,19,250
AML,343,445,19,2104
AMN,155,286,13,1060
analysis,11,12,6,244
android,47,78,8,499
Anfelisa,11,16,6,249
annotation,7,7,6,244
annotationModelReference,3,2,5,276
annotations,22,32,8,285
Ant,170,239,12,1084
Antikythera,38,63,7,503
AntScripts,38,63,6,541
AnyLogic,114,148,13,801
APar,27,25,8,291
api2mol,45,61,9,545
apidesc,83,115,11,589
apimodel,70,100,12,567
AppChoco,21,25,7,292
AppDSL,14,23,7,266
ApplauseDsl,126,213,20,802
applet,91,118,12,815
application,152,192,14,1708
AppliedStereotypeProperty,6,6,21,243
appmodel,22,26,8,295
AppWeb,24,27,6,284
apromore,37,58,7,303
ArcadeTongame_editor,30,41,8,306
archi,47,82,9,501
archimate,165,306,15,1357
Architectural_Description,17,30,6,291
architecture,5,4,8,268
ArchitectureDSL,70,105,10,546
arduino,114,167,11,841
ares,31,35,8,293
Arithmetics,34,58,9,304
arm,36,61,8,499
article,80,146,22,797
ASL,294,307,17,975
ASM,1,0,5,446
AsmL,172,329,15,1315
ASMLogo,53,99,8,500
aspectbind,122,205,11,792
aspectj,85,138,10,801
aspectualacme,35,61,9,303
Assert,31,47,12,313
asset,187,268,14,1380
Assignments,14,18,6,265
associationoverride,12,14,7,255
ast,54,76,11,564
aterms,48,54,8,331
AthenaDSL,172,241,13,1082
ATL-0.2,142,318,17,3965
ATL-Profiler,33,41,20,295
ATL,92,172,10,980
atl2java,47,88,9,540
ATLMLM,98,183,11,1063
atl_types,45,72,8,500
atm,103,102,637,831
ATOM,1,0,4,268
atomic,23,46,7,281
AtsDsl,142,197,13,833
attributes,9,11,8,251
auction,23,24,8,287
AUIML,1002,1772,68,5572
AutBE,11,12,5,250
autocgmodel,10,14,6,253
Automaton,14,20,7,264
Avm,37,70,8,480
AWKPrograms,1,0,4,243
Axdt,21,39,7,487
B,5,5,6,243
backbone,155,189,11,665
Balanced,197,260,13,1295
banner,14,16,6,263
Base,4,3,6,268
BaseCST,144,274,15,1107
BaseOutputMetamodel,10,14,6,253
BaseUI,15,22,5,269
basic,5,4,7,268
BasicBlocks,15,19,7,294
BatchDsl,25,30,9,289
BD,20,29,6,292
BDDModel,34,50,8,299
Before,97,127,9,615
bf,28,39,6,278
BibTeX,140,139,11,878
BibTeX1.1,34,66,8,521
BIBTEXML,292,323,18,2108
bigpicture,16,23,6,263
binding,25,31,7,668
bindingdialect,18,34,7,283
bio_src,51,62,8,517
bio_tgt,47,57,8,551
BippoMall,10,10,9,272
Bitbucketmgr,10,11,6,268
BlockClassBase,12,17,6,495
blockDomain,33,63,7,487
bluexml,272,391,16,1587
BMM,80,155,9,757
bmmOmg,132,358,13,1062
Bnl,3,2,5,243
bodymodel,57,102,8,546
BON,66,117,8,578
bonide,63,83,9,571
bonide_PandO,83,133,9,600
BONModel_EMF,83,133,9,599
Book,67,90,10,565
books,8,8,9,265
bookStore,32,49,9,288
bool,13,22,7,251
BooleanExpressions,26,37,6,283
bootstrap,46,74,9,551
Bossa,318,510,20,2143
bowling,21,28,8,270
box,55,76,9,520
BoxMM,29,58,7,278
bpeldiag,5,3,6,264
BPM,13,18,6,288
bpmn,107,195,14,790
bpmn20,491,872,32,3492
bpmn20di,34,46,8,502
bpmn20exec,11,12,7,246
bpmn20_ttc,633,1146,31,4096
bpmndi,35,42,11,1729
bpsim,197,291,13,1408
BQL,23,34,7,268
BrnHandlers,361,532,19,2181
BrokerDSL,260,259,14,753
Bugzilla,13,11,6,270
Build,13,12,6,292
BuildDSL,13,16,6,266
builder,31,50,8,521
building,182,225,33,11518
builtins,21,16,8,270
BundleProject,104,124,13,849
business,72,136,10,603
BusinessDomainDsl,91,149,11,610
BusinessEntityModel,19,36,8,288
