model,nodes,edges,time,mem
cityfurniture,24,24,30,3477
citygml,62,74,37,4817
cityobjectgroup,39,41,31,10770
CL,90,118,12,1362
claim,19,25,7,281
Class,1,0,22,264
ClassDiagram,42,63,8,503
classDomain,41,71,10,493
ClassicModels,77,120,9,533
classification,16,18,8,280
ClassMM,19,27,9,280
ClassModel,76,112,12,540
class_diagramm,49,72,8,506
class_diagramm_simple,17,16,9,280
class_diagramm_tgg_rule,22,21,10,291
client,84,91,10,540
Clientes,26,30,17,293
closures,8,8,7,267
cloud,8,9,8,255
CloudML,63,102,8,491
cm,54,72,10,437
cmd,24,35,9,390
cmengine,106,195,16,842
CML,1,0,6,383
cmsl,149,183,14,715
cmt.owl,88,204,13,839
Coaster,28,30,7,405
COBOL,64,86,11,442
Cocus.owl,164,345,16,1265
codeAssistStruts,58,74,11,605
codesyncjava,41,38,21,250
codesyncxml,7,11,6,231
Collaborations_Interactions_UML,48,101,9,426
CollaborativeMDEProcess,33,44,8,394
collaviz,43,66,9,426
collection,22,24,10,882
com.ibm.commerce.catalog.facade.datatypes,702,947,77,12128
com.ibm.commerce.content.facade.datatypes,395,545,52,15890
com.ibm.commerce.contract.facade.datatypes,41,54,35,3923
com.ibm.commerce.foundation.datatypes,530,586,53,12816
com.ibm.commerce.giftcenter.facade.datatypes,129,158,38,4415
com.ibm.commerce.infrastructure.facade.datatypes,125,167,39,4326
com.ibm.commerce.installment.facade.datatypes,140,187,38,5129
com.ibm.commerce.inventory.facade.datatypes,132,161,41,6308
com.ibm.commerce.marketing.facade.datatypes,563,740,61,10898
com.ibm.commerce.member.datatypes,74,83,34,12066
com.ibm.commerce.member.facade.datatypes,337,431,49,6455
com.ibm.commerce.oagis9.datatypes.codelists,282,281,14,1414
com.ibm.commerce.oagis9.datatypes,2361,3760,146,13501
com.ibm.commerce.oagis9.datatypes.unqualifieddatatypes,72,71,11,1828
com.ibm.commerce.order.facade.datatypes,464,583,57,6495
com.ibm.commerce.payment.datatypes,219,289,38,13092
com.ibm.commerce.price.facade.datatypes,290,394,50,7925
com.ibm.commerce.promotion.facade.datatypes,140,174,39,4416
com.ibm.commerce.search.facade.datatypes,56,74,37,4035
com.ibm.commerce.store.facade.datatypes,82,104,35,13733
com.ibm.commerce.subscription.facade.datatypes,75,99,39,4596
com.ibm.commerce.wallet.facade.datatypes,121,165,38,4526
ComBE,67,89,8,673
ComDiag,14,23,9,296
Common,18,25,5,290
commonarchivecore,50,85,12,1854
CommonModeling,22,31,9,311
Company,59,86,9,601
CompanyStructure,15,21,6,295
compiler,33,42,8,318
CompleteGUIdancerComponentHierarchy,62,74,10,351
completemodel,18,18,8,291
CompleteOCLCST,41,56,11,573
component.bean,8,8,8,279
component.bpel,9,9,9,288
component.camel,14,16,20,4083
component.camel.quartz,15,16,11,536
component.camel.sql,17,18,10,772
component.clojure,8,8,10,291
component.common.selector,17,20,10,546
Component,8,7,10,268
component.hornetq,64,72,14,789
component.http,30,34,11,728
component.jca,54,75,11,993
component.remote,7,7,7,267
component.resteasy,29,33,9,734
component.soap,62,79,9,989
componentCore,36,45,11,301
componentMapping,26,30,8,288
componentmodel,33,32,10,515
components,39,59,10,528
ComponentUML,1,0,11,254
component_instantiation,33,36,11,288
compose,48,79,8,543
compositeForm,26,39,9,955
com_hassanpur_cmpe235_adtouch_MainActivity2,49,94,11,547
concat,5,4,7,254
conceptmap,16,28,8,280
conceptmodel,12,16,6,269
ConcreteUI,24,21,10,288
ConditionModel,27,42,8,292
conference,20,33,7,284
Conference.owl,283,586,20,2134
Config,24,29,9,288
config.switchyard,103,141,11,824
config.transform,30,35,8,732
config.validate,28,34,11,732
configurator,32,45,7,292
confious.owl,377,779,25,2919
confOf.owl,433,876,28,3526
ConnectionErrors,8,8,9,492
Connectivity,132,253,14,1104
connector-configuration,9,9,9,271
constraint,8,10,7,258
ConstraintPuzzler,29,56,10,294
Constraints,32,54,6,297
Contact,12,19,8,271
contacts,24,25,10,288
Content,69,104,10,569
contentfwk,345,662,25,2217
context,52,58,9,544
Contract,23,27,10,281
control,116,208,12,855
controller,8,8,7,259
ControllerUML,1,0,4,255
controlMinimal,9,10,7,258
COOPNMetaModel,440,951,29,2835
Copy of component.camel,254,314,29,5712
Copy of library,21,33,8,270
Copy of Product,32,63,8,498
cor,16,14,8,472
CORBAComponent,39,83,11,514
core,24,32,11,913
CoreDsl,182,261,16,1101
CoreThemes,71,69,9,328
CoroScore,82,106,11,553
Courses,21,24,8,264
cp1model,30,41,6,284
cp2model,22,31,9,268
cp3model,21,40,9,275
cpc,17,22,7,265
CPL,91,138,11,785
cplfm,41,67,8,506
CPNDefinition,16,23,7,261
CpnDsl,16,15,9,265
CPP,1,0,5,249
CPR,1,0,6,237
CPSM,369,647,23,2641
CPSMnested,368,646,25,2655
Cristal,18,33,8,266
crosswalk,140,211,13,1066
crossx,22,30,7,272
crs_dr.owl,460,935,29,3781
CSharp,42,63,9,507
CSM,40,84,11,508
CSS,66,63,10,533
CssDsl,80,120,10,560
