model,nodes,edges,time,mem
.skriven,22,28,6,275
101companies,15,18,6,285
abapobj,191,213,15,1066
ABase,13,17,7,282
ABC,4,5,23,253
abnf,47,72,8,547
abstractcim,25,40,7,294
AbstractSyntaxStereotypesUML1.4,7,5,7,236
AbstractUI,70,68,10,336
acad,69,68,563,717
accesscontrol,45,70,6,489
accession,11,18,7,724
account,10,10,6,269
accounting,37,60,7,299
ACG,150,264,12,1085
acl,15,16,6,263
ACME,43,73,8,529
ACON,40,57,8,300
acore,31,45,6,297
action,10,10,6,269
actions,43,61,8,754
activestatedebugger,23,30,8,284
ActivitiExtensions,93,106,11,752
activity,13,19,8,263
activityDiagram,35,66,8,489
actor,45,70,86,912
ActorMapping,33,38,7,275
adapter,9,9,7,657
adaptiveSystem,61,102,12,558
AData,36,47,8,299
ada_gen,33,42,7,297
additionalTagMetadata,13,14,8,284
AddressBook,28,44,8,275
addressing,51,68,9,548
ADELFE,41,88,7,545
Adl,125,198,12,852
Ads,177,277,16,1097
After,14,22,26,262
Agate,274,466,17,1659
agents,10,10,13,466
aggregator_0.8.0,109,138,13,597
Agree,285,353,42,1078
AIP,12,14,6,249
AIService,12,19,5,284
AjModel,46,88,9,516
aladim,43,70,7,532
Alf,304,486,23,1884
Altarica,175,308,13,1313
Amble,1,0,22,237
AML,343,445,22,2098
AMN,155,286,13,1054
analysis,11,12,5,261
android,47,78,8,527
Anfelisa,11,16,6,284
annotation,7,7,6,266
annotationModelReference,3,2,6,256
annotations,22,32,7,284
Ant,170,239,14,1091
Antikythera,38,63,8,489
AntScripts,38,63,8,519
AnyLogic,114,148,10,858
APar,27,25,7,300
api2mol,45,61,7,490
apidesc,83,115,12,578
apimodel,70,100,12,571
AppChoco,21,25,7,262
AppDSL,14,23,7,269
ApplauseDsl,126,213,12,852
applet,91,118,11,814
application,152,192,15,1655
AppliedStereotypeProperty,6,6,16,246
appmodel,22,26,5,284
AppWeb,24,27,6,297
apromore,37,58,10,492
ArcadeTongame_editor,30,41,8,297
archi,47,82,12,532
archimate,165,306,16,1347
Architectural_Description,17,30,7,263
architecture,5,4,5,256
ArchitectureDSL,70,105,11,563
arduino,114,167,12,845
ares,31,35,7,299
Arithmetics,34,58,9,297
arm,36,61,9,296
article,80,146,10,804
ASL,294,307,16,1019
ASM,1,0,6,473
AsmL,172,329,13,1368
ASMLogo,53,99,8,516
aspectbind,122,205,11,801
aspectj,85,138,9,756
aspectualacme,35,61,8,299
Assert,31,47,9,297
asset,187,268,14,1385
Assignments,14,18,5,249
associationoverride,12,14,7,263
