model,nodes,edges,time,mem
.skriven,22,28,24,352
101companies,15,18,7,338
abapobj,191,213,30,1109
ABase,13,17,7,338
ABC,4,5,16,320
abnf,47,72,9,369
abstractcim,25,40,7,357
AbstractSyntaxStereotypesUML1.4,7,5,9,320
AbstractUI,70,68,9,400
acad,69,68,583,668
accesscontrol,45,70,9,374
accession,11,18,8,601
account,10,10,7,328
accounting,37,60,10,369
ACG,150,264,12,1074
acl,15,16,9,338
ACME,43,73,8,374
ACON,40,57,6,369
acore,31,45,6,360
action,10,10,8,321
actions,43,61,8,935
activestatedebugger,23,30,8,345
ActivitiExtensions,93,106,10,721
activity,13,19,8,344
activityDiagram,35,66,11,364
actor,45,70,77,931
ActorMapping,33,38,8,359
adapter,9,9,8,601
adaptiveSystem,61,102,10,686
AData,36,47,9,369
ada_gen,33,42,11,364
additionalTagMetadata,13,14,9,338
AddressBook,28,44,14,360
addressing,51,68,8,667
ADELFE,41,88,8,583
Adl,125,198,12,920
Ads,177,277,15,1140
After,14,22,7,278
Agate,274,466,32,1665
agents,10,10,14,502
aggregator_0.8.0,109,138,12,621
Agree,285,353,16,1053
AIP,12,14,8,269
AIService,12,19,9,278
AjModel,46,88,11,550
aladim,43,70,7,541
Alf,304,486,20,1910
Altarica,175,308,14,1164
Amble,1,0,23,258
AML,343,445,22,2167
AMN,155,286,14,1094
analysis,11,12,7,278
android,47,78,10,550
Anfelisa,11,16,5,277
annotation,7,7,8,261
annotationModelReference,3,2,8,258
annotations,22,32,7,286
Ant,170,239,15,1096
Antikythera,38,63,9,531
AntScripts,38,63,10,527
AnyLogic,114,148,10,859
APar,27,25,15,291
api2mol,45,61,9,310
apidesc,83,115,9,586
apimodel,70,100,12,574
AppChoco,21,25,8,291
AppDSL,14,23,8,283
ApplauseDsl,126,213,26,875
applet,91,118,11,822
application,152,192,14,1698
AppliedStereotypeProperty,6,6,16,261
appmodel,22,26,9,278
AppWeb,24,27,8,292
apromore,37,58,8,303
ArcadeTongame_editor,30,41,8,301
archi,47,82,8,548
archimate,165,306,15,1378
Architectural_Description,17,30,8,283
architecture,5,4,8,261
ArchitectureDSL,70,105,11,567
arduino,114,167,12,853
ares,31,35,7,296
Arithmetics,34,58,8,301
arm,36,61,8,303
article,80,146,11,819
ASL,294,307,16,811
ASM,1,0,6,480
AsmL,172,329,14,1169
ASMLogo,53,99,11,548
aspectbind,122,205,12,861
aspectj,85,138,9,819
aspectualacme,35,61,9,303
Assert,31,47,9,301
asset,187,268,14,1395
Assignments,14,18,9,281
associationoverride,12,14,8,278
ast,54,76,9,563
aterms,48,54,9,316
AthenaDSL,172,241,13,1091
ATL-0.2,142,318,18,3989
ATL-Profiler,33,41,14,307
ATL,92,172,11,1061
atl2java,47,88,7,555
ATLMLM,98,183,11,1078
atl_types,45,72,9,549
atm,103,102,554,813
ATOM,1,0,6,258
atomic,23,46,8,297
AtsDsl,142,197,15,903
attributes,9,11,10,278
auction,23,24,9,292
AUIML,1002,1772,63,5546
AutBE,11,12,9,277
autocgmodel,10,14,7,270
Automaton,14,20,6,277
Avm,37,70,9,533
AWKPrograms,1,0,6,258
Axdt,21,39,9,514
B,5,5,10,255
backbone,155,189,12,678
Balanced,197,260,15,1389
banner,14,16,8,270
Base,4,3,6,258
BaseCST,144,274,13,1095
BaseOutputMetamodel,10,14,6,278
BaseUI,15,22,10,284
basic,5,4,6,261
BasicBlocks,15,19,10,283
BatchDsl,25,30,8,298
BD,20,29,8,290
BDDModel,34,50,10,303
Before,97,127,12,617
bf,28,39,9,297
BibTeX,140,139,13,877
BibTeX1.1,34,66,9,525
BIBTEXML,292,323,18,2119
bigpicture,16,23,8,274
binding,25,31,8,744
bindingdialect,18,34,9,283
bio_src,51,62,10,543
bio_tgt,47,57,8,541
BippoMall,10,10,8,270
Bitbucketmgr,10,11,5,274
BlockClassBase,12,17,7,508
blockDomain,33,63,7,527
bluexml,272,391,17,1510
BMM,80,155,12,592
bmmOmg,132,358,14,1122
Bnl,3,2,5,258
bodymodel,57,102,9,563
BON,66,117,11,569
bonide,63,83,10,563
bonide_PandO,83,133,10,584
BONModel_EMF,83,133,11,600
Book,67,90,12,561
books,8,8,7,264
bookStore,32,49,9,297
bool,13,22,8,283
BooleanExpressions,26,37,8,294
bootstrap,46,74,14,552
Bossa,318,510,21,1922
bowling,21,28,10,289
box,55,76,8,561
BoxMM,29,58,9,295
bpeldiag,5,3,7,258
BPM,13,18,8,283
bpmn,107,195,11,853
bpmn20,491,872,29,3517
bpmn20di,34,46,9,519
bpmn20exec,11,12,8,264
bpmn20_ttc,633,1146,49,4104
bpmndi,35,42,11,1552
bpsim,197,291,15,1435
BQL,23,34,9,295
BrnHandlers,361,532,25,2202
BrokerDSL,260,259,17,791
Bugzilla,13,11,8,278
Build,13,12,6,270
BuildDSL,13,16,6,277
builder,31,50,9,526
building,182,225,36,11397
builtins,21,16,7,276
BundleProject,104,124,11,832
business,72,136,11,577
BusinessDomainDsl,91,149,10,598
BusinessEntityModel,19,36,8,277
BusinessObjectDsl,22,31,10,282
BusinessProcessModel,44,87,9,546
Byteman,126,199,13,866
bz377606,9,9,13,268
C,11,18,8,266
cache_model,19,19,5,281
CADM,106,210,12,860
Cal,210,354,17,1442
calc,51,82,11,538
Calendar,31,42,10,304
caltrop,68,97,91,1060
camel-spring,1584,2633,78,10857
canopen,958,1314,44,5880
canvas,14,20,8,254
CaPtah,32,51,13,281
capua,40,78,11,511
car,13,21,6,254
CardTemplate,11,13,7,254
carnot,499,928,33,3819
carrental,22,24,9,265
Cars,22,26,10,271
cartesianCoordinateSystem,27,41,9,294
cascadenotall,17,23,9,273
catalog,26,31,8,274
caz,28,41,9,481
cbe,90,110,12,769
CD,38,61,8,509
CDE,15,22,7,254
cdfg,80,136,10,546
CDPSM,415,628,24,2695
CellCore,13,21,6,251
CellEvol,3,2,16,244
CellInit,3,2,6,254
CEPMeta,23,28,9,472
cf,45,127,11,1067
CFG,15,28,7,264
cgmodel,162,307,14,1343
CharacterScript,65,84,8,531
checklist,25,25,7,273
chess,48,64,12,511
ChocoModel,52,81,12,519
ChooseEditor,72,172,14,560
cim,1167,1454,48,5895
CIM14,3290,5293,173,10046
CIM15,4371,7722,288,20382
CIMLevelZero,1167,1454,44,5922
cinematic,76,130,12,689
city1,15,18,9,239
city2,13,16,6,212
cityfurniture,24,24,29,4454
citygml,62,74,40,4881
cityobjectgroup,39,41,33,3711
CL,90,118,13,1313
claim,19,25,8,279
Class,1,0,21,262
ClassDiagram,42,63,11,492
classDomain,41,71,8,476
ClassicModels,77,120,10,531
classification,16,18,7,267
ClassMM,19,27,7,284
ClassModel,76,112,12,535
class_diagramm,49,72,20,497
class_diagramm_simple,17,16,5,265
class_diagramm_tgg_rule,22,21,10,284
client,84,91,9,533
Clientes,26,30,8,283
closures,8,8,9,267
cloud,8,9,6,267
CloudML,63,102,11,530
cm,54,72,9,509
cmd,24,35,9,465
cmengine,106,195,20,796
CML,1,0,7,454
cmsl,149,183,17,647
cmt.owl,88,204,10,752
Coaster,28,30,8,289
COBOL,64,86,9,530
Cocus.owl,164,345,14,1269
codeAssistStruts,58,74,9,524
codesyncjava,41,38,9,300
codesyncxml,7,11,7,267
Collaborations_Interactions_UML,48,101,11,499
CollaborativeMDEProcess,33,44,12,278
collaviz,43,66,11,497
collection,22,24,14,1037
com.ibm.commerce.catalog.facade.datatypes,702,947,61,11353
com.ibm.commerce.content.facade.datatypes,395,545,50,7943
com.ibm.commerce.contract.facade.datatypes,41,54,34,5592
com.ibm.commerce.foundation.datatypes,530,586,49,4836
com.ibm.commerce.giftcenter.facade.datatypes,129,158,40,5062
com.ibm.commerce.infrastructure.facade.datatypes,125,167,38,5375
com.ibm.commerce.installment.facade.datatypes,140,187,40,14102
