model,ext,nodes,edges,time,mem
result0_10000,xmi,9616,14215,1112,40960
result0_100000,xmi,104828,155445,17292,385808
result0_1000000,xmi,1017240,1523404,149579,984797
result0_50000,xmi,46257,68460,5986,171914
result0_500000,xmi,459751,683437,69343,774667
