model,ext,nodes,edges,time,mem
result0_10000,xmi,9712,16872,1025,45053
result0_100000,xmi,107498,119351,13548,331476
result0_1000000,xmi,1039807,3015547,185372,1320849
result0_50000,xmi,54596,112988,7251,213160
result0_500000,xmi,462930,462926,59429,1305447
