model,ext,nodes,edges,time,mem
result0_10000,xmi,10309,17657,831,45058
result0_100000,xmi,108873,185318,9776,425984
result0_1000000,xmi,1053843,1800381,95084,2025603
result0_50000,xmi,49189,84434,3992,192514
result0_500000,xmi,549200,936954,49229,2134018
