model,nodes,edges,time,mem
.skriven,22,28,14,263
101companies,15,18,7,267
abapobj,191,213,41,1083
ABase,13,17,9,244
ABC,4,5,7,267
abnf,47,72,25,544
abstractcim,25,40,8,284
AbstractSyntaxStereotypesUML1.4,7,5,10,266
AbstractUI,70,68,10,534
acad,69,68,673,716
accesscontrol,45,70,11,324
accession,11,18,11,705
account,10,10,11,266
accounting,37,60,8,297
ACG,150,264,14,1089
acl,15,16,9,288
ACME,43,73,9,543
ACON,40,57,10,297
acore,31,45,9,290
action,10,10,7,244
actions,43,61,11,770
activestatedebugger,23,30,17,294
ActivitiExtensions,93,106,13,815
activity,13,19,8,267
activityDiagram,35,66,8,315
actor,45,70,77,782
ActorMapping,33,38,8,293
adapter,9,9,29,653
adaptiveSystem,61,102,9,561
AData,36,47,7,275
ada_gen,33,42,7,293
additionalTagMetadata,13,14,7,266
AddressBook,28,44,7,284
addressing,51,68,8,505
ADELFE,41,88,7,532
Adl,125,198,11,855
Ads,177,277,13,1288
After,14,22,6,244
Agate,274,466,18,1645
agents,10,10,7,449
aggregator_0.8.0,109,138,14,626
Agree,285,353,16,1121
AIP,12,14,9,275
AIService,12,19,6,266
AjModel,46,88,9,543
aladim,43,70,9,525
Alf,304,486,21,1906
Altarica,175,308,15,1115
Amble,1,0,21,246
AML,343,445,21,2090
AMN,155,286,14,1046
analysis,11,12,6,264
android,47,78,9,510
Anfelisa,11,16,8,244
annotation,7,7,8,246
annotationModelReference,3,2,7,246
annotations,22,32,9,276
Ant,170,239,13,1088
Antikythera,38,63,13,494
AntScripts,38,63,10,506
AnyLogic,114,148,11,797
APar,27,25,10,288
api2mol,45,61,12,323
apidesc,83,115,23,533
apimodel,70,100,21,569
AppChoco,21,25,6,275
AppDSL,14,23,8,252
ApplauseDsl,126,213,19,864
applet,91,118,12,806
application,152,192,13,1661
AppliedStereotypeProperty,6,6,9,247
appmodel,22,26,8,288
AppWeb,24,27,8,285
apromore,37,58,8,297
ArcadeTongame_editor,30,41,8,284
archi,47,82,12,547
archimate,165,306,15,1335
Architectural_Description,17,30,9,275
architecture,5,4,8,247
ArchitectureDSL,70,105,10,534
arduino,114,167,12,846
ares,31,35,8,297
Arithmetics,34,58,12,312
arm,36,61,9,294
article,80,146,11,757
ASL,294,307,17,971
ASM,1,0,8,449
AsmL,172,329,17,1318
ASMLogo,53,99,9,543
aspectbind,122,205,15,845
aspectj,85,138,19,810
aspectualacme,35,61,9,297
Assert,31,47,10,305
asset,187,268,15,1371
Assignments,14,18,7,254
associationoverride,12,14,8,247
ast,54,76,10,518
aterms,48,54,9,318
AthenaDSL,172,241,15,1063
ATL-0.2,142,318,19,3961
ATL-Profiler,33,41,7,271
ATL,92,172,14,1053
atl2java,47,88,10,510
ATLMLM,98,183,14,984
atl_types,45,72,8,543
atm,103,102,601,836
ATOM,1,0,6,266
atomic,23,46,9,298
AtsDsl,142,197,12,881
attributes,9,11,13,267
auction,23,24,8,263
AUIML,1002,1772,77,5563
AutBE,11,12,7,247
autocgmodel,10,14,7,267
Automaton,14,20,7,264
Avm,37,70,10,522
AWKPrograms,1,0,6,267
Axdt,21,39,9,492
B,5,5,21,266
backbone,155,189,15,661
Balanced,197,260,19,1291
banner,14,16,10,275
Base,4,3,6,251
BaseCST,144,274,18,1042
BaseOutputMetamodel,10,14,6,247
BaseUI,15,22,6,267
basic,5,4,7,267
BasicBlocks,15,19,7,266
BatchDsl,25,30,9,284
BD,20,29,10,275
BDDModel,34,50,10,312
Before,97,127,14,596
bf,28,39,9,263
BibTeX,140,139,17,802
BibTeX1.1,34,66,9,493
BIBTEXML,292,323,21,2077
bigpicture,16,23,7,275
binding,25,31,9,680
bindingdialect,18,34,7,275
bio_src,51,62,9,539
bio_tgt,47,57,9,543
BippoMall,10,10,7,266
Bitbucketmgr,10,11,7,267
BlockClassBase,12,17,9,486
blockDomain,33,63,10,525
bluexml,272,391,20,1471
BMM,80,155,13,754
bmmOmg,132,358,20,1123
Bnl,3,2,9,266
bodymodel,57,102,11,553
BON,66,117,14,561
bonide,63,83,9,547
bonide_PandO,83,133,14,578
BONModel_EMF,83,133,14,586
Book,67,90,10,560
books,8,8,9,266
bookStore,32,49,11,293
bool,13,22,9,266
BooleanExpressions,26,37,10,263
bootstrap,46,74,14,547
Bossa,318,510,22,2092
bowling,21,28,9,274
box,55,76,9,549
BoxMM,29,58,10,280
bpeldiag,5,3,8,247
BPM,13,18,10,244
bpmn,107,195,17,781
bpmn20,491,872,33,3302
bpmn20di,34,46,9,494
bpmn20exec,11,12,6,247
bpmn20_ttc,633,1146,36,4091
bpmndi,35,42,9,1706
bpsim,197,291,13,1373
BQL,23,34,8,275
BrnHandlers,361,532,22,2180
BrokerDSL,260,259,16,734
Bugzilla,13,11,7,255
Build,13,12,9,266
BuildDSL,13,16,7,272
builder,31,50,10,475
building,182,225,40,11406
builtins,21,16,7,281
BundleProject,104,124,11,835
business,72,136,11,581
BusinessDomainDsl,91,149,16,617
BusinessEntityModel,19,36,8,284
BusinessObjectDsl,22,31,8,291
BusinessProcessModel,44,87,12,538
Byteman,126,199,14,878
bz377606,9,9,9,277
C,11,18,9,269
cache_model,19,19,8,284
CADM,106,210,16,871
Cal,210,354,20,1448
calc,51,82,9,522
Calendar,31,42,11,280
caltrop,68,97,94,1040
camel-spring,1584,2633,82,10762
canopen,958,1314,43,5841
canvas,14,20,7,247
CaPtah,32,51,8,308
capua,40,78,11,515
car,13,21,8,266
CardTemplate,11,13,7,266
carnot,499,928,69,3809
carrental,22,24,8,267
Cars,22,26,8,256
cartesianCoordinateSystem,27,41,7,276
cascadenotall,17,23,8,276
catalog,26,31,8,288
caz,28,41,10,501
cbe,90,110,16,751
CD,38,61,11,495
CDE,15,22,7,243
cdfg,80,136,11,565
CDPSM,415,628,30,2705
CellCore,13,21,7,247
CellEvol,3,2,6,266
CellInit,3,2,6,256
CEPMeta,23,28,9,549
cf,45,127,13,969
CFG,15,28,6,266
cgmodel,162,307,14,1331
CharacterScript,65,84,10,546
checklist,25,25,9,276
chess,48,64,10,319
ChocoModel,52,81,10,542
ChooseEditor,72,172,12,586
cim,1167,1454,45,5923
CIM14,3290,5293,165,10007
CIM15,4371,7722,241,13282
CIMLevelZero,1167,1454,42,5924
cinematic,76,130,12,679
city1,15,18,7,244
city2,13,16,5,211
cityfurniture,24,24,30,4476
citygml,62,74,36,5717
cityobjectgroup,39,41,30,4510
CL,90,118,11,1348
claim,19,25,8,270
Class,1,0,19,260
ClassDiagram,42,63,8,427
classDomain,41,71,10,482
ClassicModels,77,120,11,535
classification,16,18,8,275
ClassMM,19,27,7,246
ClassModel,76,112,10,648
class_diagramm,49,72,21,475
class_diagramm_simple,17,16,9,275
class_diagramm_tgg_rule,22,21,9,270
client,84,91,12,535
Clientes,26,30,8,270
closures,8,8,13,244
cloud,8,9,7,239
CloudML,63,102,18,509
cm,54,72,9,527
cmd,24,35,8,469
cmengine,106,195,11,746
CML,1,0,5,403
cmsl,149,183,20,608
cmt.owl,88,204,11,776
Coaster,28,30,8,268
COBOL,64,86,9,468
Cocus.owl,164,345,14,1299
codeAssistStruts,58,74,9,633
codesyncjava,41,38,7,275
codesyncxml,7,11,8,244
Collaborations_Interactions_UML,48,101,10,479
CollaborativeMDEProcess,33,44,9,296
collaviz,43,66,15,469
collection,22,24,10,938
com.ibm.commerce.catalog.facade.datatypes,702,947,65,6289
com.ibm.commerce.content.facade.datatypes,395,545,51,8861
com.ibm.commerce.contract.facade.datatypes,41,54,37,13330
com.ibm.commerce.foundation.datatypes,530,586,45,4236
com.ibm.commerce.giftcenter.facade.datatypes,129,158,37,5054
com.ibm.commerce.infrastructure.facade.datatypes,125,167,38,5501
com.ibm.commerce.installment.facade.datatypes,140,187,46,5098
com.ibm.commerce.inventory.facade.datatypes,132,161,41,6984
com.ibm.commerce.marketing.facade.datatypes,563,740,63,6987
com.ibm.commerce.member.datatypes,74,83,31,12192
com.ibm.commerce.member.facade.datatypes,337,431,51,5831
com.ibm.commerce.oagis9.datatypes.codelists,282,281,15,1312
com.ibm.commerce.oagis9.datatypes,2361,3760,158,8067
com.ibm.commerce.oagis9.datatypes.unqualifieddatatypes,72,71,15,1755
com.ibm.commerce.order.facade.datatypes,464,583,52,8176
com.ibm.commerce.payment.datatypes,219,289,37,13151
com.ibm.commerce.price.facade.datatypes,290,394,50,8036
com.ibm.commerce.promotion.facade.datatypes,140,174,38,4497
com.ibm.commerce.search.facade.datatypes,56,74,33,4624
com.ibm.commerce.store.facade.datatypes,82,104,39,5343
com.ibm.commerce.subscription.facade.datatypes,75,99,41,5195
com.ibm.commerce.wallet.facade.datatypes,121,165,39,5079
ComBE,67,89,9,617
ComDiag,14,23,7,273
Common,18,25,6,281
commonarchivecore,50,85,15,1810
CommonModeling,22,31,8,287
Company,59,86,10,560
CompanyStructure,15,21,9,279
compiler,33,42,9,300
CompleteGUIdancerComponentHierarchy,62,74,8,528
completemodel,18,18,8,295
CompleteOCLCST,41,56,11,555
component.bean,8,8,7,271
component.bpel,9,9,6,273
component.camel,14,16,20,4018
component.camel.quartz,15,16,8,728
component.camel.sql,17,18,11,679
component.clojure,8,8,8,271
component.common.selector,17,20,10,519
Component,8,7,20,276
component.hornetq,64,72,12,800
component.http,30,34,11,692
component.jca,54,75,12,919
component.remote,7,7,7,270
component.resteasy,29,33,10,746
component.soap,62,79,13,1024
componentCore,36,45,10,303
componentMapping,26,30,8,293
componentmodel,33,32,8,298
components,39,59,10,550
ComponentUML,1,0,7,241
component_instantiation,33,36,8,298
compose,48,79,13,510
compositeForm,26,39,12,882
com_hassanpur_cmpe235_adtouch_MainActivity2,49,94,12,518
concat,5,4,6,270
conceptmap,16,28,9,275
conceptmodel,12,16,6,255
ConcreteUI,24,21,10,294
ConditionModel,27,42,9,287
conference,20,33,7,297
Conference.owl,283,586,23,2103
Config,24,29,7,272
config.switchyard,103,141,11,1010
config.transform,30,35,8,758
config.validate,28,34,9,678
configurator,32,45,8,300
confious.owl,377,779,30,2986
confOf.owl,433,876,26,3561
ConnectionErrors,8,8,6,454
Connectivity,132,253,13,1039
connector-configuration,9,9,8,272
constraint,8,10,7,270
ConstraintPuzzler,29,56,9,317
Constraints,32,54,9,305
Contact,12,19,7,254
contacts,24,25,9,295
Content,69,104,11,580
contentfwk,345,662,27,2261
context,52,58,10,523
Contract,23,27,8,271
control,116,208,16,880
controller,8,8,9,265
ControllerUML,1,0,5,262
controlMinimal,9,10,9,247
COOPNMetaModel,440,951,29,2917
Copy of component.camel,254,314,26,5695
Copy of library,21,33,8,267
Copy of Product,32,63,10,517
cor,16,14,7,478
CORBAComponent,39,83,9,523
core,24,32,9,933
CoreDsl,182,261,12,1114
CoreThemes,71,69,8,343
CoroScore,82,106,11,518
Courses,21,24,7,270
cp1model,30,41,9,275
cp2model,22,31,8,287
cp3model,21,40,9,276
cpc,17,22,8,262
CPL,91,138,13,802
cplfm,41,67,10,512
CPNDefinition,16,23,8,276
CpnDsl,16,15,9,264
CPP,1,0,6,250
CPR,1,0,5,249
CPSM,369,647,30,2468
CPSMnested,368,646,23,2628
Cristal,18,33,7,257
crosswalk,140,211,11,1077
crossx,22,30,7,253
crs_dr.owl,460,935,28,3849
CSharp,42,63,9,473
CSM,40,84,8,518
CSS,66,63,10,501
CssDsl,80,120,12,574
CssExtDsl,89,140,14,591
CST,10,13,8,235
csv,47,62,8,517
CSVML,50,67,11,488
ctx,29,53,8,277
cucumberfeature,78,113,12,576
customer,33,38,9,295
customerBehaviour,37,54,7,477
customers,13,13,8,273
customsandwich,15,14,7,241
CWDataBase,10,10,6,249
CWM,766,1519,40,5508
CWMCore,37,76,8,442
CWMRelationalData,1,0,3,229
CXF,83,91,9,531
c_sharp,436,803,24,2644
DAO,17,27,7,409
Daos,15,18,6,224
DaoTypes,30,39,7,464
data,136,266,15,1636
database,97,158,9,696
database_tgg_rule,25,24,7,427
DataContractDsl,63,115,10,501
DataMining,115,180,16,2756
dataset,80,96,11,485
DataType,1,0,6,228
datatypes,23,36,7,255
daum,96,140,13,742
DawnGenModel.emf,7,4,10,218
DB,44,50,9,480
db2emf,1,0,4,225
dbitem,89,88,11,545
dbl,319,605,26,2444
Dbmodel,144,172,14,734
dbprice,5,4,8,218
dbschema,51,59,11,480
dc,16,15,8,255
Dc6,28,38,9,251
ddic,148,168,12,1070
DdlDsl,82,129,14,721
debug,8,7,7,239
decobat,94,102,11,742
DecoraDsl,108,170,12,764
DefaultName,183,230,15,1042
DefaultName1,18,26,9,255
definition,63,83,11,501
definitions,40,53,7,473
demo,19,23,8,239
Demo1,16,21,9,232
dependencies,50,70,9,488
DependenciesDsl,22,24,9,254
dependency,24,38,8,251
DependencyChain,36,49,10,476
DependencyDsl,44,55,9,480
depgraph,58,87,9,471
Deployment,13,18,7,239
DeploymentReport,141,205,17,1001
derby,4,3,7,217
description,240,416,16,1588
descriptor,33,47,8,428
design2d,6,7,7,239
designNotes,6,5,6,239
DesignPatterns,65,69,8,699
DetailView,132,174,11,901
DeviceModelingLanguage,160,277,14,1098
DFA,95,106,8,505
dgraph,14,27,7,255
DGS,68,92,11,516
di1,49,59,11,624
diagnostic,12,13,9,238
diagram,3,2,7,228
diagramCompare,10,15,7,239
DiagramInterchange,75,133,10,722
diagramrt,32,55,8,470
DialogScript,110,167,12,709
die,22,26,7,265
Dime,155,245,16,1010
directives,38,62,7,469
directory,95,119,13,683
discovery,25,28,7,262
DiVA,123,219,14,906
DiVA_visitor,127,230,22,1399
DMDL,96,125,12,544
doc,84,114,11,721
DocBook,387,560,28,2596
docbuilder,26,40,11,428
DocCompiler,56,112,10,696
doctrine,173,268,16,1020
document,38,59,10,787
documentation,26,41,7,251
DoDAF-OV5,111,201,12,764
DoDAF-SV4,126,241,39,989
DoDAF-SV5,104,203,12,764
DoDAF,153,309,15,1106
dom,2,1,6,215
Domain,75,81,10,314
Domainmodel,24,32,7,255
DomDsl,360,558,22,2190
Dot,15,24,7,232
DotNET_SystemReflection,1,0,5,228
downloadSiteSchema,28,39,8,449
dp,23,42,6,265
dpd,56,72,9,491
Droid,250,414,20,1535
drools,32,38,8,433
drules,30,34,7,275
ds,126,154,12,964
Dsl,187,317,13,1338
dsl15926,46,90,8,457
DslECharts,97,140,11,731
DSLModel,39,75,7,472
DSLTrans,100,166,12,745
DSML,82,122,12,712
DTD,104,167,11,755
dtdsl,18,20,8,254
DTInfo,27,32,7,275
dtmc,27,55,9,264
DTMP,1,0,5,218
dummy,20,30,6,255
DuplicationDetection,18,22,7,231
DXF,12,16,7,239
dynamics,866,1190,44,4796
dynamicui,8,9,7,218
e2,42,56,11,475
e4modelextension,6,6,7,218
EAI,11,15,9,238
eballing,124,131,11,524
EBC,29,28,8,268
ebnfmm,24,43,9,265
ebXML,94,162,14,693
EcdarText,247,447,21,1730
eclectic.frontend,431,772,29,2605
eclipsecon,35,47,9,433
EclipseLaunchConfigurations,19,32,8,265
eclipselink_orm,514,810,26,3070
EclipsePlugIn,35,57,7,437
ecorebinding,41,82,8,457
edas.owl,592,1192,33,5652
edatatypeColumn,6,5,7,215
editor,433,703,24,2568
editutil,38,37,8,251
EDP,44,68,8,460
education,15,20,6,245
EEFGen,34,44,11,457
efactory,46,65,10,475
efeature,7,6,7,231
EG,20,42,8,248
egis,13,17,7,226
ej-ast,272,521,24,2098
eJava,18,22,10,396
ejb,158,233,16,1260
ekaw.owl,670,1370,36,6842
electrical,17,31,6,236
element,3,2,7,404
elementRegistry,17,20,7,236
Elf,14,17,7,247
elrGrammar,32,51,8,443
em,26,25,8,239
embedded,18,22,8,229
embeddedid,7,7,8,217
emf,53,88,11,483
emf.uuid.library.example,11,16,7,244
emfacade,74,113,177,1056
emffrag,21,22,9,247
emffrag_internal,7,6,8,232
emfgenbug,7,6,8,219
emfprofileapplication,15,19,7,232
emftasks,33,36,10,261
emftools,11,11,7,232
EMOF,53,103,9,473
Employee,19,35,10,236
enactment,17,19,9,246
Entities,21,29,6,259
Entity,13,20,7,247
EntityDefinition,56,79,8,476
EntityLang,15,22,6,244
entityNote,3,2,5,219
entityrelation,40,66,8,428
enum,4,4,6,220
EnumLiterals,7,6,7,219
Enumliterals2,9,9,6,231
environment,96,176,11,727
eocl,3,2,6,220
Epatch,51,75,11,431
epc,37,79,9,428
Epk,62,119,8,486
Epla2,25,40,8,259
epn,133,199,15,1048
epo2,44,62,10,425
EQN,26,55,11,417
EqualMM,26,56,8,441
Equipment,419,672,25,2916
ER,13,17,6,225
Erdiagram,45,73,7,428
erlang,291,494,18,1764
errorannex,111,164,11,844
esb,277,365,20,1327
eshop,22,26,10,225
ESMF,405,703,25,2713
Eso,26,30,7,239
EssentialOCL,85,148,10,822
EssentialOCLCST,92,157,15,662
esx,2322,2425,75,7682
ETMap,19,22,6,372
ETPhys,47,60,7,438
etsl,83,90,9,440
etunit,33,39,11,420
eur,32,49,9,435
euz,38,64,10,553
evaluation,18,25,8,203
evaluationresult,10,10,8,238
EveAPIDBModel,634,691,29,3950
event,84,140,10,608
EventOrientedLanguage,96,171,10,635
EventPatternLanguage,88,130,11,608
events,27,39,8,408
evidence,8,8,7,563
evilsystem,43,74,8,413
evm,41,62,8,423
Evolution,31,55,7,438
evolved,23,52,6,408
example-ecore,6,7,6,222
example,23,42,8,235
ExampleEMF,17,28,12,235
ExampleInteractionModel,13,16,7,238
Exceptions,8,8,8,221
experiment,45,41,9,608
exporter,20,24,6,238
exportmodel,18,21,6,238
expr,12,13,8,223
ExprDemo,123,221,13,831
EXPRESS,566,1164,32,3884
EXPRESSb,531,1066,29,3196
expression,10,10,6,217
expressions,64,99,11,653
ExSchema,17,24,7,238
ext,3,2,6,222
extended,3,3,7,563
extendedmodel,3,2,5,220
ExtendedPO,49,68,9,397
ExtendedPO2,44,62,11,399
ExtendedTypes,22,27,10,235
Extended_UML_Core_Package,36,58,12,438
extension-manifest,81,110,13,668
extension,5,4,8,223
extensionmodel,7,7,6,223
Extensions,7,8,6,223
extensionsmaple,5,3,7,223
externaldatasource,6,4,7,223
extjs,26,34,9,385
extlibrary,51,86,11,453
extractor,14,14,9,408
fabric3,48,60,10,438
