model,nodes,edges,time,mem
.skriven,22,28,21,273
101companies,15,18,8,276
abapobj,191,213,17,1075
ABase,13,17,5,253
ABC,4,5,17,247
abnf,47,72,9,502
abstractcim,25,40,7,477
AbstractSyntaxStereotypesUML1.4,7,5,11,246
AbstractUI,70,68,9,521
acad,69,68,538,722
accesscontrol,45,70,9,500
accession,11,18,7,660
account,10,10,8,247
accounting,37,60,8,494
ACG,150,264,13,1049
acl,15,16,6,256
ACME,43,73,7,503
ACON,40,57,7,503
acore,31,45,7,273
action,10,10,6,253
actions,43,61,11,902
activestatedebugger,23,30,9,264
ActivitiExtensions,93,106,11,769
activity,13,19,7,255
activityDiagram,35,66,7,503
actor,45,70,75,755
ActorMapping,33,38,8,271
adapter,9,9,7,661
adaptiveSystem,61,102,8,530
AData,36,47,7,290
ada_gen,33,42,7,273
additionalTagMetadata,13,14,7,256
AddressBook,28,44,8,296
addressing,51,68,14,553
ADELFE,41,88,7,503
Adl,125,198,13,808
Ads,177,277,14,1103
After,14,22,7,255
Agate,274,466,17,1824
agents,10,10,7,451
aggregator_0.8.0,109,138,11,778
Agree,285,353,32,1113
AIP,12,14,7,262
AIService,12,19,6,244
AjModel,46,88,11,503
aladim,43,70,9,503
Alf,304,486,23,1848
Altarica,175,308,17,1302
Amble,1,0,19,247
AML,343,445,19,2104
AMN,155,286,14,1051
analysis,11,12,6,253
android,47,78,9,503
Anfelisa,11,16,6,255
annotation,7,7,7,247
annotationModelReference,3,2,8,247
annotations,22,32,8,274
Ant,170,239,15,1080
Antikythera,38,63,11,501
AntScripts,38,63,11,500
AnyLogic,114,148,12,796
APar,27,25,22,264
api2mol,45,61,8,495
apidesc,83,115,10,555
apimodel,70,100,8,530
AppChoco,21,25,8,263
AppDSL,14,23,7,264
ApplauseDsl,126,213,15,808
applet,91,118,10,769
application,152,192,15,1691
AppliedStereotypeProperty,6,6,22,246
appmodel,22,26,7,263
AppWeb,24,27,7,265
apromore,37,58,8,493
ArcadeTongame_editor,30,41,6,271
archi,47,82,7,500
archimate,165,306,15,1381
Architectural_Description,17,30,6,255
architecture,5,4,7,246
ArchitectureDSL,70,105,10,520
arduino,114,167,11,786
ares,31,35,11,290
Arithmetics,34,58,6,291
arm,36,61,8,491
article,80,146,8,804
ASL,294,307,20,965
ASM,1,0,6,450
AsmL,172,329,17,1320
ASMLogo,53,99,11,512
aspectbind,122,205,11,802
aspectj,85,138,13,758
aspectualacme,35,61,8,491
Assert,31,47,8,273
asset,187,268,20,1302
Assignments,14,18,7,265
associationoverride,12,14,7,256
ast,54,76,10,521
aterms,48,54,10,299
AthenaDSL,172,241,15,1058
ATL-0.2,142,318,19,4131
ATL-Profiler,33,41,14,291
ATL,92,172,12,971
atl2java,47,88,11,504
ATLMLM,98,183,13,997
atl_types,45,72,8,503
atm,103,102,642,763
ATOM,1,0,6,255
atomic,23,46,7,271
AtsDsl,142,197,12,836
attributes,9,11,7,266
auction,23,24,6,264
AUIML,1002,1772,70,5571
AutBE,11,12,6,247
autocgmodel,10,14,6,267
Automaton,14,20,6,286
Avm,37,70,7,491
AWKPrograms,1,0,5,266
Axdt,21,39,6,477
B,5,5,6,247
backbone,155,189,14,641
Balanced,197,260,22,1391
banner,14,16,7,276
Base,4,3,6,243
BaseCST,144,274,17,1062
BaseOutputMetamodel,10,14,6,246
BaseUI,15,22,8,256
basic,5,4,9,247
BasicBlocks,15,19,7,255
BatchDsl,25,30,8,273
BD,20,29,6,255
BDDModel,34,50,8,291
Before,97,127,12,569
bf,28,39,8,273
BibTeX,140,139,16,818
BibTeX1.1,34,66,8,485
BIBTEXML,292,323,22,2088
bigpicture,16,23,7,264
binding,25,31,7,671
bindingdialect,18,34,7,271
bio_src,51,62,10,508
bio_tgt,47,57,10,495
BippoMall,10,10,7,267
Bitbucketmgr,10,11,7,246
BlockClassBase,12,17,9,451
blockDomain,33,63,10,487
bluexml,272,391,22,1638
BMM,80,155,11,758
bmmOmg,132,358,17,1069
Bnl,3,2,7,246
bodymodel,57,102,11,530
BON,66,117,10,537
bonide,63,83,12,564
bonide_PandO,83,133,11,555
BONModel_EMF,83,133,11,557
Book,67,90,9,526
books,8,8,7,244
bookStore,32,49,8,290
bool,13,22,10,267
BooleanExpressions,26,37,10,282
bootstrap,46,74,10,544
Bossa,318,510,23,1928
bowling,21,28,7,265
box,55,76,11,511
BoxMM,29,58,8,270
bpeldiag,5,3,5,267
BPM,13,18,6,265
bpmn,107,195,15,794
bpmn20,491,872,34,3305
bpmn20di,34,46,9,494
bpmn20exec,11,12,7,246
bpmn20_ttc,633,1146,38,4096
bpmndi,35,42,10,1722
bpsim,197,291,25,1365
BQL,23,34,8,273
BrnHandlers,361,532,23,2176
BrokerDSL,260,259,15,726
Bugzilla,13,11,8,256
Build,13,12,8,265
BuildDSL,13,16,8,255
builder,31,50,9,474
building,182,225,38,11377
builtins,21,16,7,262
BundleProject,104,124,14,850
business,72,136,9,546
BusinessDomainDsl,91,149,10,778
BusinessEntityModel,19,36,9,261
BusinessObjectDsl,22,31,6,287
BusinessProcessModel,44,87,10,506
Byteman,126,199,17,870
bz377606,9,9,8,254
C,11,18,7,262
cache_model,19,19,7,273
CADM,106,210,11,823
Cal,210,354,14,1370
calc,51,82,11,516
Calendar,31,42,9,278
caltrop,68,97,88,1085
camel-spring,1584,2633,87,10737
canopen,958,1314,44,5858
canvas,14,20,6,252
CaPtah,32,51,8,272
capua,40,78,10,489
car,13,21,6,249
CardTemplate,11,13,7,250
carnot,499,928,34,3784
carrental,22,24,7,275
Cars,22,26,7,266
cartesianCoordinateSystem,27,41,8,282
cascadenotall,17,23,7,259
catalog,26,31,8,276
caz,28,41,10,472
cbe,90,110,15,741
CD,38,61,8,502
CDE,15,22,6,272
cdfg,80,136,13,573
CDPSM,415,628,29,2728
CellCore,13,21,9,251
CellEvol,3,2,24,245
CellInit,3,2,6,243
CEPMeta,23,28,6,473
cf,45,127,10,1084
