model,nodes,edges,time,mem
cityfurniture,24,24,29,4566
citygml,62,74,34,4832
cityobjectgroup,39,41,30,3708
CL,90,118,11,1380
claim,19,25,7,409
Class,1,0,20,234
ClassDiagram,42,63,9,460
classDomain,41,71,10,627
ClassicModels,77,120,9,687
classification,16,18,7,252
ClassMM,19,27,8,234
ClassModel,76,112,9,688
class_diagramm,49,72,8,461
class_diagramm_simple,17,16,6,249
class_diagramm_tgg_rule,22,21,16,406
client,84,91,10,480
Clientes,26,30,9,232
closures,8,8,7,235
cloud,8,9,7,234
CloudML,63,102,10,496
cm,54,72,8,460
cmd,24,35,7,427
cmengine,106,195,12,880
CML,1,0,5,409
cmsl,149,183,12,739
cmt.owl,88,204,11,689
Coaster,28,30,8,234
COBOL,64,86,12,462
Cocus.owl,164,345,23,1309
codeAssistStruts,58,74,9,460
codesyncjava,41,38,8,283
codesyncxml,7,11,7,234
Collaborations_Interactions_UML,48,101,8,458
CollaborativeMDEProcess,33,44,10,444
collaviz,43,66,19,461
collection,22,24,8,950
com.ibm.commerce.catalog.facade.datatypes,702,947,72,6242
com.ibm.commerce.content.facade.datatypes,395,545,50,9688
com.ibm.commerce.contract.facade.datatypes,41,54,36,6479
com.ibm.commerce.foundation.datatypes,530,586,47,13077
com.ibm.commerce.giftcenter.facade.datatypes,129,158,39,5073
com.ibm.commerce.infrastructure.facade.datatypes,125,167,38,5009
com.ibm.commerce.installment.facade.datatypes,140,187,38,5079
com.ibm.commerce.inventory.facade.datatypes,132,161,42,6301
com.ibm.commerce.marketing.facade.datatypes,563,740,64,9435
com.ibm.commerce.member.datatypes,74,83,33,12256
com.ibm.commerce.member.facade.datatypes,337,431,46,5830
com.ibm.commerce.oagis9.datatypes.codelists,282,281,14,1400
com.ibm.commerce.oagis9.datatypes,2361,3760,156,8467
com.ibm.commerce.oagis9.datatypes.unqualifieddatatypes,72,71,12,1687
com.ibm.commerce.order.facade.datatypes,464,583,53,7276
com.ibm.commerce.payment.datatypes,219,289,39,4210
com.ibm.commerce.price.facade.datatypes,290,394,52,8662
com.ibm.commerce.promotion.facade.datatypes,140,174,40,5062
com.ibm.commerce.search.facade.datatypes,56,74,41,4674
com.ibm.commerce.store.facade.datatypes,82,104,36,4097
com.ibm.commerce.subscription.facade.datatypes,75,99,39,5790
com.ibm.commerce.wallet.facade.datatypes,121,165,37,5062
ComBE,67,89,10,599
ComDiag,14,23,7,293
Common,18,25,7,279
commonarchivecore,50,85,12,1796
CommonModeling,22,31,8,499
Company,59,86,10,570
CompanyStructure,15,21,5,277
compiler,33,42,8,299
CompleteGUIdancerComponentHierarchy,62,74,8,560
completemodel,18,18,8,289
CompleteOCLCST,41,56,8,540
component.bean,8,8,7,269
component.bpel,9,9,7,270
component.camel,14,16,16,4011
component.camel.quartz,15,16,8,724
component.camel.sql,17,18,8,751
component.clojure,8,8,6,269
component.common.selector,17,20,8,734
Component,8,7,7,270
component.hornetq,64,72,10,780
component.http,30,34,9,731
component.jca,54,75,11,763
component.remote,7,7,7,267
component.resteasy,29,33,11,734
component.soap,62,79,12,1005
componentCore,36,45,8,318
componentMapping,26,30,8,288
componentmodel,33,32,8,512
components,39,59,10,540
ComponentUML,1,0,7,260
component_instantiation,33,36,8,288
compose,48,79,8,550
compositeForm,26,39,9,957
com_hassanpur_cmpe235_adtouch_MainActivity2,49,94,9,550
concat,5,4,7,270
conceptmap,16,28,6,287
conceptmodel,12,16,6,267
ConcreteUI,24,21,7,289
ConditionModel,27,42,6,306
conference,20,33,9,289
Conference.owl,283,586,21,2128
Config,24,29,8,289
config.switchyard,103,141,11,841
config.transform,30,35,8,746
config.validate,28,34,8,738
configurator,32,45,7,299
confious.owl,377,779,25,2916
confOf.owl,433,876,28,3530
ConnectionErrors,8,8,7,492
Connectivity,132,253,13,1094
connector-configuration,9,9,8,270
constraint,8,10,7,266
ConstraintPuzzler,29,56,7,305
Constraints,32,54,9,299
Contact,12,19,7,266
contacts,24,25,7,289
Content,69,104,9,560
contentfwk,345,662,21,2215
context,52,58,8,551
Contract,23,27,8,288
control,116,208,11,870
controller,8,8,6,269
ControllerUML,1,0,5,259
controlMinimal,9,10,6,269
COOPNMetaModel,440,951,34,2829
Copy of component.camel,254,314,27,5700
Copy of library,21,33,10,281
Copy of Product,32,63,10,506
cor,16,14,8,474
CORBAComponent,39,83,9,517
core,24,32,8,922
CoreDsl,182,261,14,1100
CoreThemes,71,69,8,333
CoroScore,82,106,9,555
Courses,21,24,7,281
cp1model,30,41,8,289
cp2model,22,31,10,282
cp3model,21,40,8,274
cpc,17,22,8,264
CPL,91,138,9,780
cplfm,41,67,8,509
CPNDefinition,16,23,7,258
CpnDsl,16,15,6,266
CPP,1,0,6,248
CPR,1,0,5,247
CPSM,369,647,23,2632
CPSMnested,368,646,25,2651
Cristal,18,33,5,281
crosswalk,140,211,12,1070
crossx,22,30,6,281
crs_dr.owl,460,935,26,3776
CSharp,42,63,7,515
CSM,40,84,9,516
CSS,66,63,8,538
CssDsl,80,120,8,555
CssExtDsl,89,140,10,568
CST,10,13,6,267
csv,47,62,8,515
CSVML,50,67,8,524
ctx,29,53,8,285
cucumberfeature,78,113,9,553
customer,33,38,8,296
customerBehaviour,37,54,8,294
customers,13,13,6,258
customsandwich,15,14,7,266
CWDataBase,10,10,6,258
