model,nodes,edges,time,mem
.skriven,22,28,9,278
101companies,15,18,12,260
abapobj,191,213,14,1080
ABase,13,17,17,252
ABC,4,5,16,250
abnf,47,72,7,513
abstractcim,25,40,8,487
AbstractSyntaxStereotypesUML1.4,7,5,12,250
AbstractUI,70,68,8,539
acad,69,68,583,730
accesscontrol,45,70,9,492
accession,11,18,7,660
account,10,10,10,250
accounting,37,60,10,505
ACG,150,264,12,1044
acl,15,16,7,261
ACME,43,73,7,492
ACON,40,57,9,508
acore,31,45,10,284
action,10,10,8,253
actions,43,61,10,900
activestatedebugger,23,30,7,266
ActivitiExtensions,93,106,12,809
activity,13,19,7,255
activityDiagram,35,66,10,492
actor,45,70,83,921
ActorMapping,33,38,8,284
adapter,9,9,8,661
adaptiveSystem,61,102,8,525
AData,36,47,11,278
ada_gen,33,42,8,283
additionalTagMetadata,13,14,15,255
AddressBook,28,44,6,284
addressing,51,68,8,523
ADELFE,41,88,9,497
Adl,125,198,13,809
Ads,177,277,13,1108
After,14,22,7,256
Agate,274,466,18,1828
agents,10,10,6,459
aggregator_0.8.0,109,138,33,786
Agree,285,353,16,1116
AIP,12,14,6,250
AIService,12,19,7,253
AjModel,46,88,10,520
aladim,43,70,11,511
Alf,304,486,21,1861
Altarica,175,308,13,1299
Amble,1,0,18,245
AML,343,445,24,2142
AMN,155,286,12,1078
analysis,11,12,7,253
android,47,78,9,520
Anfelisa,11,16,5,256
annotation,7,7,5,250
annotationModelReference,3,2,6,250
annotations,22,32,12,278
Ant,170,239,12,1072
Antikythera,38,63,7,492
AntScripts,38,63,8,505
AnyLogic,114,148,13,786
APar,27,25,5,268
api2mol,45,61,9,493
apidesc,83,115,19,549
apimodel,70,100,10,549
AppChoco,21,25,8,266
AppDSL,14,23,10,255
ApplauseDsl,126,213,12,808
applet,91,118,11,757
application,152,192,20,1675
AppliedStereotypeProperty,6,6,22,250
appmodel,22,26,6,265
AppWeb,24,27,8,278
apromore,37,58,8,502
ArcadeTongame_editor,30,41,10,283
archi,47,82,9,511
archimate,165,306,12,1375
Architectural_Description,17,30,7,258
architecture,5,4,6,251
ArchitectureDSL,70,105,11,539
arduino,114,167,13,791
ares,31,35,13,276
Arithmetics,34,58,8,289
arm,36,61,9,500
article,80,146,12,763
ASL,294,307,19,984
ASM,1,0,4,448
AsmL,172,329,16,1299
ASMLogo,53,99,7,526
aspectbind,122,205,14,807
aspectj,85,138,12,763
aspectualacme,35,61,10,505
Assert,31,47,7,283
asset,187,268,16,1298
Assignments,14,18,5,250
associationoverride,12,14,8,255
ast,54,76,12,521
aterms,48,54,9,286
AthenaDSL,172,241,15,1084
ATL-0.2,142,318,17,4141
ATL-Profiler,33,41,20,283
ATL,92,172,18,990
atl2java,47,88,10,521
ATLMLM,98,183,12,995
atl_types,45,72,8,492
atm,103,102,648,772
ATOM,1,0,5,245
atomic,23,46,7,267
AtsDsl,142,197,12,824
attributes,9,11,5,253
auction,23,24,8,279
AUIML,1002,1772,68,5613
AutBE,11,12,8,255
autocgmodel,10,14,9,250
Automaton,14,20,7,261
Avm,37,70,10,495
AWKPrograms,1,0,6,245
Axdt,21,39,6,487
B,5,5,8,250
backbone,155,189,11,643
Balanced,197,260,20,1365
banner,14,16,9,250
Base,4,3,6,250
BaseCST,144,274,16,1047
