model,nodes,edges,time,mem
.skriven,22,28,1347,8779
101companies,15,18,69,586
abapobj,191,213,113,1284
ABase,13,17,17,269
ABC,4,5,49,266
abnf,47,72,20,560
abstractcim,25,40,21,552
AbstractSyntaxStereotypesUML1.4,7,5,18,514
AbstractUI,70,68,21,617
acad,69,68,717,868
accesscontrol,45,70,19,574
accession,11,18,21,943
account,10,10,13,413
accounting,37,60,16,508
ACG,150,264,24,1151
acl,15,16,41,678
ACME,43,73,18,635
ACON,40,57,14,473
acore,31,45,12,497
action,10,10,11,349
actions,43,61,18,898
activestatedebugger,23,30,13,486
ActivitiExtensions,93,106,19,813
activity,13,19,11,514
activityDiagram,35,66,14,596
actor,45,70,159,1190
ActorMapping,33,38,12,538
adapter,9,9,16,771
adaptiveSystem,61,102,15,661
AData,36,47,12,508
ada_gen,33,42,13,500
additionalTagMetadata,13,14,12,357
AddressBook,28,44,14,493
addressing,51,68,16,580
ADELFE,41,88,16,661
Adl,125,198,24,996
Ads,177,277,24,1324
After,14,22,10,358
Agate,274,466,37,1810
agents,10,10,12,514
aggregator_0.8.0,109,138,16,865
Agree,285,353,22,1144
AIP,12,14,13,410
AIService,12,19,12,514
AjModel,46,88,17,661
aladim,43,70,12,486
Alf,304,486,29,1942
Altarica,175,308,27,1224
Amble,1,0,47,471
AML,343,445,39,2284
AMN,155,286,32,1231
analysis,11,12,24,349
android,47,78,18,640
Anfelisa,11,16,25,357
annotation,7,7,10,358
annotationModelReference,3,2,12,386
annotations,22,32,13,539
Ant,170,239,25,1189
Antikythera,38,63,12,574
AntScripts,38,63,16,514
AnyLogic,114,148,49,860
APar,27,25,12,486
api2mol,45,61,12,500
apidesc,83,115,20,604
apimodel,70,100,14,635
AppChoco,21,25,13,451
AppDSL,14,23,9,370
ApplauseDsl,126,213,17,974
applet,91,118,15,804
application,152,192,28,1624
AppliedStereotypeProperty,6,6,27,358
appmodel,22,26,12,514
AppWeb,24,27,11,539
apromore,37,58,13,497
ArcadeTongame_editor,30,41,11,538
archi,47,82,11,642
archimate,165,306,19,1454
Architectural_Description,17,30,10,486
architecture,5,4,8,337
ArchitectureDSL,70,105,18,604
arduino,114,167,21,798
ares,31,35,11,451
Arithmetics,34,58,13,533
arm,36,61,13,477
