model,nodes,edges,time,mem
.skriven,22,28,24,263
101companies,15,18,8,265
abapobj,191,213,16,1076
ABase,13,17,8,248
ABC,4,5,27,248
abnf,47,72,9,504
abstractcim,25,40,9,487
AbstractSyntaxStereotypesUML1.4,7,5,7,247
AbstractUI,70,68,10,524
acad,69,68,756,732
accesscontrol,45,70,8,505
accession,11,18,10,656
account,10,10,6,248
accounting,37,60,11,495
ACG,150,264,19,1041
acl,15,16,9,265
ACME,43,73,8,503
ACON,40,57,8,496
acore,31,45,8,281
action,10,10,8,248
actions,43,61,10,905
activestatedebugger,23,30,7,274
ActivitiExtensions,93,106,12,773
activity,13,19,8,247
activityDiagram,35,66,9,496
actor,45,70,125,910
ActorMapping,33,38,10,292
adapter,9,9,10,656
adaptiveSystem,61,102,12,523
AData,36,47,24,291
ada_gen,33,42,8,292
additionalTagMetadata,13,14,9,265
AddressBook,28,44,12,281
addressing,51,68,10,513
ADELFE,41,88,13,493
Adl,125,198,13,806
Ads,177,277,27,1300
After,14,22,7,266
Agate,274,466,23,1843
agents,10,10,9,452
aggregator_0.8.0,109,138,13,781
Agree,285,353,21,1124
AIP,12,14,8,257
AIService,12,19,9,248
AjModel,46,88,9,505
aladim,43,70,8,505
Alf,304,486,19,1855
Altarica,175,308,14,1107
Amble,1,0,24,236
AML,343,445,20,2105
AMN,155,286,14,1061
analysis,11,12,7,248
android,47,78,10,505
Anfelisa,11,16,8,247
annotation,7,7,8,248
annotationModelReference,3,2,7,248
annotations,22,32,7,257
Ant,170,239,16,1053
Antikythera,38,63,14,496
AntScripts,38,63,8,495
AnyLogic,114,148,15,790
APar,27,25,10,265
api2mol,45,61,9,497
apidesc,83,115,13,549
apimodel,70,100,13,531
AppChoco,21,25,10,265
AppDSL,14,23,6,254
ApplauseDsl,126,213,15,815
applet,91,118,15,772
application,152,192,19,1663
AppliedStereotypeProperty,6,6,23,247
appmodel,22,26,7,265
AppWeb,24,27,10,266
apromore,37,58,10,492
ArcadeTongame_editor,30,41,11,283
archi,47,82,12,504
archimate,165,306,18,1366
Architectural_Description,17,30,9,265
architecture,5,4,6,247
ArchitectureDSL,70,105,10,532
arduino,114,167,16,788
ares,31,35,10,274
Arithmetics,34,58,9,289
arm,36,61,10,495
article,80,146,14,754
ASL,294,307,27,973
ASM,1,0,7,442
AsmL,172,329,19,1321
ASMLogo,53,99,9,506
aspectbind,122,205,14,803
aspectj,85,138,10,754
aspectualacme,35,61,10,495
Assert,31,47,10,283
asset,187,268,19,1303
Assignments,14,18,8,257
associationoverride,12,14,7,248
ast,54,76,13,512
aterms,48,54,20,292
AthenaDSL,172,241,14,1076
ATL-0.2,142,318,22,4132
ATL-Profiler,33,41,8,292
ATL,92,172,11,983
atl2java,47,88,10,506
ATLMLM,98,183,12,992
atl_types,45,72,8,496
atm,103,102,788,806
ATOM,1,0,7,238
atomic,23,46,10,274
AtsDsl,142,197,15,835
attributes,9,11,9,247
auction,23,24,7,266
AUIML,1002,1772,63,5578
AutBE,11,12,7,245
autocgmodel,10,14,8,248
Automaton,14,20,6,262
Avm,37,70,9,487
AWKPrograms,1,0,6,247
Axdt,21,39,8,478
B,5,5,6,248
backbone,155,189,13,641
Balanced,197,260,19,1306
banner,14,16,9,254
Base,4,3,7,247
BaseCST,144,274,14,1044
BaseOutputMetamodel,10,14,7,247
BaseUI,15,22,9,257
basic,5,4,10,248
BasicBlocks,15,19,9,257
BatchDsl,25,30,10,262
BD,20,29,9,256
BDDModel,34,50,9,289
Before,97,127,14,569
bf,28,39,10,274
BibTeX,140,139,15,818
BibTeX1.1,34,66,11,478
BIBTEXML,292,323,25,2048
bigpicture,16,23,10,265
binding,25,31,8,689
bindingdialect,18,34,7,274
bio_src,51,62,11,514
bio_tgt,47,57,11,495
BippoMall,10,10,7,248
Bitbucketmgr,10,11,6,247
BlockClassBase,12,17,9,452
blockDomain,33,63,7,476
bluexml,272,391,15,1642
BMM,80,155,9,759
bmmOmg,132,358,17,1061
Bnl,3,2,8,248
bodymodel,57,102,9,515
BON,66,117,10,531
bonide,63,83,9,515
bonide_PandO,83,133,10,549
BONModel_EMF,83,133,10,557
Book,67,90,9,522
books,8,8,8,248
bookStore,32,49,7,274
bool,13,22,8,248
BooleanExpressions,26,37,10,274
bootstrap,46,74,9,505
Bossa,318,510,26,2086
bowling,21,28,8,266
box,55,76,13,520
BoxMM,29,58,10,283
bpeldiag,5,3,7,248
BPM,13,18,8,257
bpmn,107,195,22,789
bpmn20,491,872,28,3284
bpmn20di,34,46,8,496
bpmn20exec,11,12,7,244
bpmn20_ttc,633,1146,36,4107
bpmndi,35,42,9,1727
bpsim,197,291,15,1359
BQL,23,34,7,283
BrnHandlers,361,532,22,2196
BrokerDSL,260,259,15,735
Bugzilla,13,11,8,254
Build,13,12,7,247
BuildDSL,13,16,7,263
builder,31,50,8,488
building,182,225,34,11531
builtins,21,16,8,269
BundleProject,104,124,13,797
business,72,136,12,549
BusinessDomainDsl,91,149,14,791
BusinessEntityModel,19,36,10,266
BusinessObjectDsl,22,31,7,275
BusinessProcessModel,44,87,10,518
Byteman,126,199,13,829
bz377606,9,9,7,250
C,11,18,8,256
cache_model,19,19,8,263
CADM,106,210,12,826
Cal,210,354,18,1372
calc,51,82,13,521
Calendar,31,42,7,281
caltrop,68,97,135,1032
camel-spring,1584,2633,85,10732
canopen,958,1314,42,5878
canvas,14,20,6,258
CaPtah,32,51,10,282
capua,40,78,9,506
car,13,21,7,252
CardTemplate,11,13,5,252
carnot,499,928,30,3786
carrental,22,24,7,264
Cars,22,26,7,276
cartesianCoordinateSystem,27,41,8,271
cascadenotall,17,23,7,249
catalog,26,31,7,259
caz,28,41,10,469
cbe,90,110,10,751
CD,38,61,9,502
CDE,15,22,7,251
cdfg,80,136,10,540
CDPSM,415,628,24,2726
CellCore,13,21,9,251
CellEvol,3,2,23,243
CellInit,3,2,7,246
CEPMeta,23,28,7,477
cf,45,127,11,1077
CFG,15,28,6,252
cgmodel,162,307,14,1265
CharacterScript,65,84,12,520
checklist,25,25,7,262
chess,48,64,7,489
ChocoModel,52,81,8,512
ChooseEditor,72,172,9,563
cim,1167,1454,45,6087
CIM14,3290,5293,182,10188
CIM15,4371,7722,230,18424
CIMLevelZero,1167,1454,46,6066
cinematic,76,130,9,630
city1,15,18,7,230
city2,13,16,7,237
cityfurniture,24,24,30,3795
citygml,62,74,33,4892
cityobjectgroup,39,41,32,3729
CL,90,118,12,1411
claim,19,25,7,311
Class,1,0,18,297
ClassDiagram,42,63,13,524
classDomain,41,71,9,533
ClassicModels,77,120,9,616
classification,16,18,8,255
ClassMM,19,27,7,318
ClassModel,76,112,10,535
class_diagramm,49,72,10,547
class_diagramm_simple,17,16,8,306
class_diagramm_tgg_rule,22,21,7,315
client,84,91,10,603
Clientes,26,30,7,323
closures,8,8,7,306
cloud,8,9,10,306
CloudML,63,102,8,535
cm,54,72,10,559
cmd,24,35,7,515
cmengine,106,195,13,811
CML,1,0,5,503
cmsl,149,183,11,645
cmt.owl,88,204,12,844
Coaster,28,30,7,328
COBOL,64,86,11,529
Cocus.owl,164,345,15,1306
codeAssistStruts,58,74,10,529
codesyncjava,41,38,9,332
codesyncxml,7,11,6,306
Collaborations_Interactions_UML,48,101,9,513
CollaborativeMDEProcess,33,44,8,305
collaviz,43,66,11,439
collection,22,24,10,904
com.ibm.commerce.catalog.facade.datatypes,702,947,62,6345
com.ibm.commerce.content.facade.datatypes,395,545,48,8929
com.ibm.commerce.contract.facade.datatypes,41,54,33,6271
com.ibm.commerce.foundation.datatypes,530,586,48,12821
com.ibm.commerce.giftcenter.facade.datatypes,129,158,41,13821
com.ibm.commerce.infrastructure.facade.datatypes,125,167,38,4355
com.ibm.commerce.installment.facade.datatypes,140,187,40,5125
com.ibm.commerce.inventory.facade.datatypes,132,161,45,6347
com.ibm.commerce.marketing.facade.datatypes,563,740,61,10933
com.ibm.commerce.member.datatypes,74,83,39,12086
com.ibm.commerce.member.facade.datatypes,337,431,53,5190
com.ibm.commerce.oagis9.datatypes.codelists,282,281,16,1409
com.ibm.commerce.oagis9.datatypes,2361,3760,156,13299
com.ibm.commerce.oagis9.datatypes.unqualifieddatatypes,72,71,10,1822
com.ibm.commerce.order.facade.datatypes,464,583,47,6695
com.ibm.commerce.payment.datatypes,219,289,36,13074
com.ibm.commerce.price.facade.datatypes,290,394,50,8063
com.ibm.commerce.promotion.facade.datatypes,140,174,38,4483
com.ibm.commerce.search.facade.datatypes,56,74,38,4046
com.ibm.commerce.store.facade.datatypes,82,104,36,5035
