model,nodes,edges,time,mem
.skriven,22,28,30,274
101companies,15,18,9,254
abapobj,191,213,15,1082
ABase,13,17,8,255
ABC,4,5,14,271
abnf,47,72,7,506
abstractcim,25,40,7,477
AbstractSyntaxStereotypesUML1.4,7,5,6,242
AbstractUI,70,68,8,528
acad,69,68,615,717
accesscontrol,45,70,10,491
accession,11,18,7,664
account,10,10,7,281
accounting,37,60,10,492
ACG,150,264,12,1038
acl,15,16,8,257
ACME,43,73,9,494
ACON,40,57,8,489
acore,31,45,8,290
action,10,10,8,255
actions,43,61,9,928
activestatedebugger,23,30,8,257
ActivitiExtensions,93,106,11,762
activity,13,19,7,257
activityDiagram,35,66,7,494
actor,45,70,83,898
ActorMapping,33,38,7,289
adapter,9,9,9,663
adaptiveSystem,61,102,10,548
AData,36,47,10,288
ada_gen,33,42,10,291
additionalTagMetadata,13,14,5,257
AddressBook,28,44,8,274
addressing,51,68,10,504
ADELFE,41,88,9,509
Adl,125,198,11,799
Ads,177,277,14,1302
After,14,22,7,257
Agate,274,466,19,1819
agents,10,10,15,460
aggregator_0.8.0,109,138,27,794
Agree,285,353,20,1108
AIP,12,14,7,257
AIService,12,19,8,257
AjModel,46,88,9,531
aladim,43,70,10,491
Alf,304,486,20,1857
Altarica,175,308,15,1313
Amble,1,0,23,243
AML,343,445,20,2101
AMN,155,286,19,1055
analysis,11,12,8,254
android,47,78,9,522
Anfelisa,11,16,8,257
annotation,7,7,5,243
annotationModelReference,3,2,6,243
annotations,22,32,8,274
Ant,170,239,14,1077
Antikythera,38,63,7,491
AntScripts,38,63,10,492
AnyLogic,114,148,13,816
APar,27,25,23,272
api2mol,45,61,8,493
apidesc,83,115,11,553
apimodel,70,100,12,543
AppChoco,21,25,10,269
AppDSL,14,23,9,274
ApplauseDsl,126,213,15,799
applet,91,118,11,790
application,152,192,14,1668
AppliedStereotypeProperty,6,6,14,242
appmodel,22,26,8,257
AppWeb,24,27,7,274
apromore,37,58,10,491
ArcadeTongame_editor,30,41,7,289
archi,47,82,11,506
archimate,165,306,13,1274
Architectural_Description,17,30,9,257
architecture,5,4,11,242
ArchitectureDSL,70,105,13,537
arduino,114,167,13,794
ares,31,35,9,286
Arithmetics,34,58,10,290
arm,36,61,9,489
article,80,146,11,789
ASL,294,307,16,967
ASM,1,0,6,446
AsmL,172,329,17,1314
ASMLogo,53,99,10,509
aspectbind,122,205,11,802
aspectj,85,138,11,757
aspectualacme,35,61,8,491
Assert,31,47,8,296
asset,187,268,16,1297
Assignments,14,18,8,260
associationoverride,12,14,6,257
ast,54,76,9,511
aterms,48,54,10,301
AthenaDSL,172,241,14,1067
ATL-0.2,142,318,19,4112
ATL-Profiler,33,41,8,319
ATL,92,172,13,990
atl2java,47,88,11,508
ATLMLM,98,183,13,990
atl_types,45,72,9,494
atm,103,102,610,821
ATOM,1,0,6,240
atomic,23,46,9,274
AtsDsl,142,197,12,864
attributes,9,11,6,257
auction,23,24,8,274
AUIML,1002,1772,64,5575
AutBE,11,12,8,257
autocgmodel,10,14,9,239
Automaton,14,20,8,257
Avm,37,70,9,474
AWKPrograms,1,0,8,270
Axdt,21,39,8,477
B,5,5,5,243
backbone,155,189,13,625
Balanced,197,260,16,1288
banner,14,16,8,260
Base,4,3,7,240
BaseCST,144,274,14,1040
BaseOutputMetamodel,10,14,8,279
BaseUI,15,22,7,274
basic,5,4,6,243
BasicBlocks,15,19,9,259
BatchDsl,25,30,10,278
BD,20,29,6,271
BDDModel,34,50,9,289
Before,97,127,13,557
bf,28,39,7,316
BibTeX,140,139,12,811
BibTeX1.1,34,66,10,492
BIBTEXML,292,323,19,2032
bigpicture,16,23,7,257
binding,25,31,9,681
bindingdialect,18,34,9,272
bio_src,51,62,10,511
bio_tgt,47,57,10,529
BippoMall,10,10,8,243
Bitbucketmgr,10,11,7,257
BlockClassBase,12,17,8,446
blockDomain,33,63,8,492
bluexml,272,391,19,1633
BMM,80,155,10,756
bmmOmg,132,358,16,1056
Bnl,3,2,7,271
bodymodel,57,102,8,526
BON,66,117,9,538
bonide,63,83,9,526
bonide_PandO,83,133,11,552
BONModel_EMF,83,133,10,542
Book,67,90,16,518
books,8,8,6,243
bookStore,32,49,11,311
bool,13,22,9,274
BooleanExpressions,26,37,7,288
bootstrap,46,74,10,494
Bossa,318,510,19,2084
bowling,21,28,8,271
box,55,76,9,506
BoxMM,29,58,8,293
bpeldiag,5,3,6,270
BPM,13,18,8,260
bpmn,107,195,12,786
bpmn20,491,872,30,3293
bpmn20di,34,46,9,491
bpmn20exec,11,12,9,242
bpmn20_ttc,633,1146,35,4090
bpmndi,35,42,11,1724
bpsim,197,291,16,1368
BQL,23,34,8,274
BrnHandlers,361,532,37,2185
BrokerDSL,260,259,16,738
Bugzilla,13,11,6,257
Build,13,12,10,257
BuildDSL,13,16,7,257
builder,31,50,8,475
building,182,225,48,11552
builtins,21,16,7,273
BundleProject,104,124,14,790
business,72,136,11,549
BusinessDomainDsl,91,149,11,790
BusinessEntityModel,19,36,7,262
BusinessObjectDsl,22,31,8,270
BusinessProcessModel,44,87,9,506
Byteman,126,199,12,846
bz377606,9,9,12,262
C,11,18,7,262
cache_model,19,19,7,273
CADM,106,210,11,813
Cal,210,354,16,1366
calc,51,82,10,515
Calendar,31,42,9,282
caltrop,68,97,67,1063
camel-spring,1584,2633,83,10740
canopen,958,1314,47,5864
canvas,14,20,7,253
CaPtah,32,51,10,287
capua,40,78,10,509
car,13,21,8,251
CardTemplate,11,13,8,252
carnot,499,928,33,3803
carrental,22,24,8,263
Cars,22,26,7,276
cartesianCoordinateSystem,27,41,8,263
cascadenotall,17,23,7,253
catalog,26,31,9,261
caz,28,41,10,476
cbe,90,110,13,749
CD,38,61,10,504
CDE,15,22,7,253
cdfg,80,136,10,555
CDPSM,415,628,28,2735
CellCore,13,21,9,253
CellEvol,3,2,17,242
CellInit,3,2,8,239
CEPMeta,23,28,6,463
cf,45,127,10,1093
CFG,15,28,6,252
cgmodel,162,307,14,1266
CharacterScript,65,84,8,519
checklist,25,25,8,276
chess,48,64,9,506
ChocoModel,52,81,11,511
ChooseEditor,72,172,13,562
cim,1167,1454,44,5898
CIM14,3290,5293,186,10013
CIM15,4371,7722,233,15403
CIMLevelZero,1167,1454,43,5872
cinematic,76,130,10,673
city1,15,18,7,244
city2,13,16,8,232
cityfurniture,24,24,29,3661
citygml,62,74,36,4972
cityobjectgroup,39,41,29,10563
CL,90,118,13,1361
claim,19,25,8,278
Class,1,0,18,265
ClassDiagram,42,63,9,504
classDomain,41,71,8,487
ClassicModels,77,120,9,538
classification,16,18,7,287
ClassMM,19,27,9,278
ClassModel,76,112,13,536
class_diagramm,49,72,9,508
class_diagramm_simple,17,16,7,271
class_diagramm_tgg_rule,22,21,15,285
client,84,91,12,575
Clientes,26,30,8,285
closures,8,8,7,286
cloud,8,9,8,271
CloudML,63,102,15,536
cm,54,72,10,520
cmd,24,35,7,474
cmengine,106,195,12,809
CML,1,0,7,467
cmsl,149,183,11,647
cmt.owl,88,204,14,780
Coaster,28,30,7,292
COBOL,64,86,8,529
Cocus.owl,164,345,16,1312
codeAssistStruts,58,74,11,529
codesyncjava,41,38,9,298
codesyncxml,7,11,8,262
Collaborations_Interactions_UML,48,101,9,507
CollaborativeMDEProcess,33,44,7,299
collaviz,43,66,9,507
collection,22,24,7,877
com.ibm.commerce.catalog.facade.datatypes,702,947,61,10475
com.ibm.commerce.content.facade.datatypes,395,545,52,7921
com.ibm.commerce.contract.facade.datatypes,41,54,37,5588
com.ibm.commerce.foundation.datatypes,530,586,44,12795
com.ibm.commerce.giftcenter.facade.datatypes,129,158,44,13793
com.ibm.commerce.infrastructure.facade.datatypes,125,167,40,4419
com.ibm.commerce.installment.facade.datatypes,140,187,40,5114
com.ibm.commerce.inventory.facade.datatypes,132,161,43,6340
com.ibm.commerce.marketing.facade.datatypes,563,740,62,10871
com.ibm.commerce.member.datatypes,74,83,33,12046
com.ibm.commerce.member.facade.datatypes,337,431,46,5238
com.ibm.commerce.oagis9.datatypes.codelists,282,281,14,1410
com.ibm.commerce.oagis9.datatypes,2361,3760,169,8100
