model,ext,nodes,edges,time,mem
result0_10000,xmi,9853,9849,2398,33961
result0_100000,xmi,105633,105627,13312,303055
result0_1000000,xmi,970810,970806,102496,2753650
result0_50000,xmi,48525,48522,4806,139986
result0_500000,xmi,491672,491670,51022,1392064
