model,ext,nodes,edges,time,mem
result0_10000,xmi,9439,28790,3964,81920
result0_100000,xmi,96170,298131,33482,700418
result0_1000000,xmi,939050,2888517,329964,3596290
result0_50000,xmi,53111,164087,17975,389122
result0_500000,xmi,471011,1456091,161589,3417572
