model,ext,nodes,edges,time,mem
result0_10000,xmi,9302,9416,2532,35610
result0_100000,xmi,92701,93756,10815,258050
result0_1000000,xmi,950079,961127,97240,1372165
result0_50000,xmi,51677,52253,5162,143365
result0_500000,xmi,483539,489031,48808,1316118
