model,ext,nodes,edges,time,mem
result0_10000,xmi,9092,9045,664,36866
result0_100000,xmi,107230,107590,6017,323586
result0_1000000,xmi,979250,983492,52439,1092170
result0_50000,xmi,53231,53375,2774,163840
result0_500000,xmi,546060,548584,28998,1622016
