model,ext,nodes,edges,time,mem
result0_10000,xmi,10795,14396,3209,33827
result0_100000,xmi,93289,145311,11426,322740
result0_1000000,xmi,1048408,1526718,102206,1195749
result0_50000,xmi,46144,78348,4874,175555
result0_500000,xmi,528195,774877,48148,1460923
