model,ext,nodes,edges,time,mem
result0_10000,xmi,9786,9782,970,37389
result0_100000,xmi,91298,91686,7605,308548
result0_1000000,xmi,964979,967353,83075,1004701
result0_50000,xmi,50619,50801,4337,171878
result0_500000,xmi,514520,516176,50776,765515
