model,ext,nodes,edges,time,mem
result0_10000,xmi,10634,25157,3097,131863
result0_100000,xmi,109982,255744,62891,556610
result0_1000000,xmi,1035976,2421653,2967852,1554359
result0_50000,xmi,50392,117966,10876,1392360
result0_500000,xmi,529395,1237452,808941,2066228
