model,ext,nodes,edges,time,mem
result0_10000,xmi,9487,9480,439,32285
result0_100000,xmi,95678,95665,5372,267805
result0_1000000,xmi,970475,970467,66996,376395
result0_50000,xmi,48119,48100,2441,131647
result0_500000,xmi,533745,545260,35790,1428054
