operation,metamodel,metric,best_model,consistency,linear_r2,exponential_r2,poly2_r2,poly3_r2,poly4_r2,poly5_r2,worst_file,worst_model
Create,ApplauseDsl,time,linear,0.9333333333333333,0.9984066421079602,0.47606213428379185,0.999837242047578,0.999970945432692,1.0,1.0,Create_run_16.csv,exponential
Create,ApplauseDsl,mem,poly2,0.8333333333333334,0.8693470567155315,0.3061648455730768,0.9935637985905331,0.999917295359649,1.0,1.0,Create_run_2.csv,exponential
Create,AthenaDSL,time,linear,0.8,0.9968682014834588,0.5640252721857575,0.9994900570901262,0.9998900253101393,1.0,1.0,Create_run_28.csv,exponential
Create,AthenaDSL,mem,poly2,0.9666666666666667,0.7084048220248884,0.12960891631815719,0.9975294855977098,0.9999357887706242,1.0,1.0,Create_run_15.csv,exponential
Create,AtsDsl,time,linear,0.9666666666666667,0.9987824291710514,0.40084385664559946,0.9999154563290109,0.9999723131416987,1.0,1.0,Create_run_22.csv,exponential
Create,AtsDsl,mem,poly3,0.8,0.752867882743121,0.2689250292229095,0.9805006315988772,0.9997702527555243,1.0,1.0,Create_run_9.csv,exponential
Create,business,time,linear,0.6333333333333333,0.9931688268889306,0.6239294263680998,0.9990129811604103,0.9996655401067195,1.0,1.0,Create_run_3.csv,exponential
Create,business,mem,poly2,0.9,0.7514130941462244,0.1938276906075932,0.997243557628396,0.9999378476094526,1.0,1.0,Create_run_23.csv,exponential
Create,CoreDsl,time,linear,1.0,0.9999653592485598,0.4815652722442238,0.9999838059709619,0.9999949080661453,1.0,1.0,Create_run_22.csv,exponential
Create,CoreDsl,mem,poly2,1.0,0.5958652669137124,0.05095417335235839,0.998440664349599,0.9999456345658702,1.0,1.0,Create_run_24.csv,exponential
Create,CssExtDsl,time,linear,0.8666666666666667,0.9971082217084283,0.6394229177001823,0.9992489761788986,0.9995789825907156,1.0,1.0,Create_run_27.csv,exponential
Create,CssExtDsl,mem,poly2,1.0,0.8344022157610006,0.22649445649479294,0.9965066136250158,0.9999552040691799,1.0,1.0,Create_run_23.csv,exponential
Create,DialogScript,time,linear,1.0,0.9984363789042562,0.6413742093043123,0.9990654782936802,0.9997958324598832,1.0,1.0,Create_run_13.csv,exponential
Create,DialogScript,mem,poly2,0.9,0.6954992887694704,0.1292911960398016,0.9968320810845485,0.999951498329031,1.0,1.0,Create_run_3.csv,exponential
Create,environment,time,linear,1.0,0.9995863081933226,0.44029354140528704,0.9999438147662354,0.999973200881685,1.0,1.0,Create_run_25.csv,exponential
Create,environment,mem,poly2,1.0,0.6262005018620649,0.06428652624166074,0.9974098951026785,0.9999182998223266,1.0,1.0,Create_run_1.csv,exponential
Create,erlang,time,linear,1.0,0.9994203743822769,0.522320700218262,0.999885263807231,0.9999794062809322,1.0,1.0,Create_run_23.csv,exponential
Create,erlang,mem,poly2,1.0,0.8140736239773083,0.194954356365695,0.9969852726284174,0.9999337889149754,1.0,1.0,Create_run_19.csv,exponential
Create,esb,time,linear,0.9666666666666667,0.9980109462638015,0.7789469459836355,0.9990839645574797,0.9996552913013314,1.0,1.0,Create_run_9.csv,exponential
Create,esb,mem,poly3,0.9333333333333333,0.967407476680114,0.550609086121737,0.9932889188246036,0.9999656827993267,1.0,1.0,Create_run_27.csv,exponential
Create,EventOrientedLanguage,time,linear,1.0,0.9993272663379815,0.3770046455688348,0.9998614105952582,0.9999916722009449,1.0,1.0,Create_run_22.csv,exponential
Create,EventOrientedLanguage,mem,poly2,0.9666666666666667,0.7065913679912948,0.12688264989613465,0.9973059452372046,0.999953847008069,1.0,1.0,Create_run_14.csv,exponential
Create,FlatQVT,time,linear,1.0,0.9992868308496247,0.47662477401495806,0.999952092504746,0.9999929719431973,1.0,1.0,Create_run_1.csv,exponential
Create,FlatQVT,mem,poly2,0.8666666666666667,0.7893858996769679,0.2081888896542625,0.9966008063575471,0.9999136040014406,1.0,1.0,Create_run_1.csv,exponential
Create,FractalItf,time,linear,1.0,0.9996518655112538,0.4232504950177977,0.9999574564382301,0.9999938861560944,1.0,1.0,Create_run_30.csv,exponential
Create,FractalItf,mem,poly2,0.9333333333333333,0.7597864699246922,0.1964657988984446,0.9971152661661532,0.9999318712213465,1.0,1.0,Create_run_7.csv,exponential
Create,Glsl,time,linear,1.0,0.9994985515106298,0.383880668836679,0.9999361583338364,0.999989047447361,1.0,1.0,Create_run_11.csv,exponential
Create,Glsl,mem,poly2,0.5666666666666667,0.843227323100626,0.25393527791302994,0.9950275830343908,0.9999144442015171,1.0,1.0,Create_run_17.csv,exponential
Create,hockeyleague,time,linear,0.9,0.9980856019532017,0.4913912156588329,0.9994037842640099,0.9999317283120485,1.0,1.0,Create_run_17.csv,exponential
Create,hockeyleague,mem,poly2,0.6333333333333333,0.7372538090262215,0.17903251057169783,0.9955968125840361,0.9998844801596392,1.0,1.0,Create_run_23.csv,exponential
Create,Iptables,time,linear,1.0,0.9989317704430362,0.4624468390756996,0.999921259546731,0.999964912905524,1.0,1.0,Create_run_21.csv,exponential
Create,Iptables,mem,poly2,1.0,0.901560788493272,0.3223058733147556,0.9980163163972526,0.9999485704634649,1.0,1.0,Create_run_7.csv,exponential
Create,java5,time,linear,1.0,0.9995956917478199,0.47265637661509813,0.9999653934707863,0.9999851817324165,1.0,1.0,Create_run_5.csv,exponential
Create,java5,mem,poly2,0.7666666666666667,0.8875001274651767,0.3072305138007909,0.9961434165101034,0.9999439298512102,1.0,1.0,Create_run_3.csv,exponential
