operation,metamodel,metric,best_model,consistency,linear_r2,exponential_r2,poly2_r2,poly3_r2,poly4_r2,poly5_r2,worst_file,worst_model
Create,java,time,linear,1.0,0.9988606808444848,0.6692148016833613,0.999956219521659,0.9999690008126764,0.9999954282403946,1.0,Create_run_27.csv,exponential
Create,java,mem,poly3,0.5666666666666667,0.8767689163940592,0.34451941098373734,0.9735901811011034,0.9985656333383344,0.9999517067988859,1.0,Create_run_22.csv,exponential
Delete,java,time,poly2,0.7,0.9269936648034371,0.2522345287828306,0.9958865519571306,0.9991780943552523,0.9999390577429534,1.0,Delete_run_1.csv,exponential
Delete,java,mem,poly5,0.7,0.8215300204951131,0.8287727612089579,0.8778750561409076,0.9225662348982516,0.9767972513729449,1.0,Delete_run_1.csv,exponential
Read,java,time,linear,1.0,0.9985926639713212,0.76204099997182,0.9990666513541175,0.9993533004462953,0.999948473472003,1.0,Read_run_17.csv,exponential
Read,java,mem,linear,1.0,0.9987811302900658,0.708254651691947,0.9994581008584871,0.9998238837443215,0.9999687907897303,1.0,Read_run_7.csv,exponential
Update,java,time,linear,1.0,0.9993748000668398,0.7464045309495874,0.9997202498168861,0.9997873969866817,0.9999468119642301,1.0,Update_run_26.csv,exponential
Update,java,mem,poly3,1.0,0.9756218798570945,0.4268194728462744,0.9864525576420969,0.9994428569563977,0.999993368181534,1.0,Update_run_23.csv,exponential
