model,ext,nodes,edges,time,mem
result0_10000,xmi,10530,21059,2646,95404
result0_100000,xmi,102151,204300,9068,185588
result0_1000000,xmi,1004107,3003216,90306,1489723
result0_50000,xmi,51363,102724,4066,232615
result0_500000,xmi,503849,1007696,35993,763489
