model,ext,nodes,edges,time,mem
result0_10000,xmi,11014,11013,1524,38607
result0_100000,xmi,99460,99455,10136,293364
result0_1000000,xmi,1067916,1565301,129153,674651
result0_50000,xmi,45589,46678,4014,137960
result0_500000,xmi,517948,959902,74206,862211
